sentence,page,topic,similarity
JTグループは引き続き従業員とその家族の安 業一本化の最終段階である基幹システム統合が完了し、 引き続きグループの利益成長を補完しています。,4,健康と安全,0.3383
"2024年からの3カ年においては、
Q.経営計画2024について、環境認識と併せて く戦略的な投資を加速させていきます。",5,空気の汚染,0.3283
"2024年からの3カ年においては、
Q.経営計画2024について、環境認識と併せて く戦略的な投資を加速させていきます。",5,水の汚染,0.3646
"2024年からの3カ年においては、
Q.経営計画2024について、環境認識と併せて く戦略的な投資を加速させていきます。",5,生物および食料資源の汚染,0.329
"2024年からの3カ年においては、
Q.経営計画2024について、環境認識と併せて く戦略的な投資を加速させていきます。",5,海洋資源の使用,0.3264
"2024年からの3カ年においては、
Q.経営計画2024について、環境認識と併せて く戦略的な投資を加速させていきます。",5,海洋資源の採取と利用,0.3144
"2024年からの3カ年においては、
Q.経営計画2024について、環境認識と併せて く戦略的な投資を加速させていきます。",5,循環経済,0.3238
"D-LABの活動は、JTグループの利益成長 れに向かうための羅針盤としての「4Sモデル」の追求を通 戦略に通底するのは、「人の暮らしや社会、企業の活動、 についても、その運用の中で定期的に点検し、進化させ
への貢献も目指しており、トライ・アンド・エラーを繰り じて、我々のあらゆる活動を進化させ、超長期にわたる あらゆる人の営みは、生態系を紡いでいく一部であり、 ていきます。",6,労働時間,0.3587
"D-LABの活動は、JTグループの利益成長 れに向かうための羅針盤としての「4Sモデル」の追求を通 戦略に通底するのは、「人の暮らしや社会、企業の活動、 についても、その運用の中で定期的に点検し、進化させ
への貢献も目指しており、トライ・アンド・エラーを繰り じて、我々のあらゆる活動を進化させ、超長期にわたる あらゆる人の営みは、生態系を紡いでいく一部であり、 ていきます。",6,健康と安全,0.3236
"D-LABの活動は、JTグループの利益成長 れに向かうための羅針盤としての「4Sモデル」の追求を通 戦略に通底するのは、「人の暮らしや社会、企業の活動、 についても、その運用の中で定期的に点検し、進化させ
への貢献も目指しており、トライ・アンド・エラーを繰り じて、我々のあらゆる活動を進化させ、超長期にわたる あらゆる人の営みは、生態系を紡いでいく一部であり、 ていきます。",6,児童労働,0.3265
"D-LABの活動は、JTグループの利益成長 れに向かうための羅針盤としての「4Sモデル」の追求を通 戦略に通底するのは、「人の暮らしや社会、企業の活動、 についても、その運用の中で定期的に点検し、進化させ
への貢献も目指しており、トライ・アンド・エラーを繰り じて、我々のあらゆる活動を進化させ、超長期にわたる あらゆる人の営みは、生態系を紡いでいく一部であり、 ていきます。",6,ロビー活動,0.3017
"そのため て今私がすべきことやできることを考え全力で取り組んで
我々は、「自然や社会が持続可能であってはじめて、 を設定しました。",6,健康と安全,0.3858
"そのため て今私がすべきことやできることを考え全力で取り組んで
我々は、「自然や社会が持続可能であってはじめて、 を設定しました。",6,平等と機会,0.3571
"そのため て今私がすべきことやできることを考え全力で取り組んで
我々は、「自然や社会が持続可能であってはじめて、 を設定しました。",6,児童労働,0.3103
"人の暮らしや企業の活動も持続可能になる」という考 めに、生物多様性の保全も⾒据え、まずはJTグループ
を進めていく必要があります。",6,生物および食料資源の汚染,0.3127
"人の暮らしや企業の活動も持続可能になる」という考 めに、生物多様性の保全も⾒据え、まずはJTグループ
を進めていく必要があります。",6,健康と安全,0.3237
