sentence,page,topic,similarity
"そのために、公平・ 社会
公正で人権に配慮した職場環境をつくります。",4,労働条件,0.3348
"そのために、公平・ 社会
公正で人権に配慮した職場環境をつくります。",4,適切な賃金,0.3099
"そのために、公平・ 社会
公正で人権に配慮した職場環境をつくります。",4,労働時間,0.3223
"そのために、公平・ 社会
公正で人権に配慮した職場環境をつくります。",4,健康と安全,0.3666
"そのために、公平・ 社会
公正で人権に配慮した職場環境をつくります。",4,平等と機会,0.4562
"そのために、公平・ 社会
公正で人権に配慮した職場環境をつくります。",4,児童労働,0.3308
"そのために、公平・ 社会
公正で人権に配慮した職場環境をつくります。",4,プライバシー,0.3117
"一つ目は「成長加速に ちに新たな気づきや問題意識を持たせ、意思決定に
向けた具体的アクションプランの策定」、二つ目が「長 向けた背中を大きく押すものでした。",8,非常に懸念の高い物質,0.3138
"一つ目は「成長加速に ちに新たな気づきや問題意識を持たせ、意思決定に
向けた具体的アクションプランの策定」、二つ目が「長 向けた背中を大きく押すものでした。",8,健康と安全,0.3715
"世界のセブン-イレブン事業においても、フレッシュ ど、グローバルな「食のコンビニ」への進化は着実に
これは、SEJのオリジナルフレッシュフードやファス フードの売上構成比と来店客数には強い相関関係 成果を生んでいます。",9,生物および食料資源の汚染,0.3587
"ピーディーに議論していくために、今回、取締役会の ROE、ROIC（除く金融）を、財務の健全性の観点で とともに、成長に向けた資源配分について、投資とリ
一方、グループ全体のEBITDAの約9割を占め 議長と執行の責任者を分離することとしました。",10,健康と安全,0.3267
CVS事業とSST事業がそれぞれの事業に専念でき ル経験と高い知見を有し、かつ戦略委員会委員長と 的指標にあたるROE、ROICの改善です。,10,生物および食料資源の汚染,0.3041
CVS事業とSST事業がそれぞれの事業に専念でき ル経験と高い知見を有し、かつ戦略委員会委員長と 的指標にあたるROE、ROICの改善です。,10,健康と安全,0.3415
"同様に、「信頼と誠実」
を重視した投資基準に基づき投資判断を行い、グ す。",11,健康と安全,0.3369
"同様に、「信頼と誠実」
を重視した投資基準に基づき投資判断を行い、グ す。",11,平等と機会,0.317
"すさを感じられる職場へと進化していくことが必要 安全・安心の取り組みをはじめ、環境領域における 「株主として応援したい」「一緒に仕事をしたい、働
また、株主還元については、持続的な利益成長に です。",11,健康と安全,0.3243
"つねにお客様の立場に立って挑戦し続けられる企業 本社会のインフラとなったセブン-イレブン事業を世
これらキャピタルアロケーションの考え方を踏ま 文化（カルチャー）をつくっていくことが重要です。",11,企業文化,0.348
