sentence,page,topic,similarity
"グネットや、光ファイバーの原料などに使用される高純度の 金属ケイ素、液状フッ素エラストマー、ペリクル、負極材など、 の製造工場の設計、建設事業を手掛けるとともに、真空重ね
合成石英等も供給しています。",3,マイクロプラスチック,0.3277
"グネットや、光ファイバーの原料などに使用される高純度の 金属ケイ素、液状フッ素エラストマー、ペリクル、負極材など、 の製造工場の設計、建設事業を手掛けるとともに、真空重ね
合成石英等も供給しています。",3,健康と安全,0.3052
"現在では、塩ビ、半導体シリコンをはじめ、多くの素材・製品で世 6,000
界トップシェアを有しています。",4,生物および食料資源の汚染,0.3462
"現在では、塩ビ、半導体シリコンをはじめ、多くの素材・製品で世 6,000
界トップシェアを有しています。",4,マイクロプラスチック,0.3402
"貢献してまいります この点につき、私たちはお客さまの課題解決に資する製
品の提供を使命とし、そこに力を集中しています。",7,児童労働,0.3275
当社は引き続き、生産能力の 当社は2023年5月に2050年までに温室効果ガス排 売上高の約7割がこの分野に向けたものです。,8,エネルギー,0.3329
"当社は、半導体材料 た生産における原単位の削減、製造プロセスから発生 する感性を高め、リスクを速やかに排除するという３つ
のオールラウンドの専門家として半導体産業に貢献して する熱の回収能力の向上、そしてエネルギー効率を高 の行動指針を徹底しています。",8,エネルギー,0.3145
"当社は、半導体材料 た生産における原単位の削減、製造プロセスから発生 する感性を高め、リスクを速やかに排除するという３つ
のオールラウンドの専門家として半導体産業に貢献して する熱の回収能力の向上、そしてエネルギー効率を高 の行動指針を徹底しています。",8,健康と安全,0.3041
"その過程でエネルギー消費の絶対量は 働く人のプロの職業人としての能力を高め強化する
の例として、当社は重希土類を全く使用せずに従来より 増加します。",8,エネルギー,0.3086
"その過程でエネルギー消費の絶対量は 働く人のプロの職業人としての能力を高め強化する
の例として、当社は重希土類を全く使用せずに従来より 増加します。",8,水の消費と取水,0.305
原料とエネルギーを使って生産を行う素材 ために、私たちはさまざまな方法による人財への投資 取締役会は企業統治の中核です。,8,エネルギー,0.3603
原料とエネルギーを使って生産を行う素材 ために、私たちはさまざまな方法による人財への投資 取締役会は企業統治の中核です。,8,生物および食料資源の汚染,0.3149
原料とエネルギーを使って生産を行う素材 ために、私たちはさまざまな方法による人財への投資 取締役会は企業統治の中核です。,8,水の消費と取水,0.3438
原料とエネルギーを使って生産を行う素材 ために、私たちはさまざまな方法による人財への投資 取締役会は企業統治の中核です。,8,海洋資源の使用,0.3086
原料とエネルギーを使って生産を行う素材 ために、私たちはさまざまな方法による人財への投資 取締役会は企業統治の中核です。,8,海洋資源の採取と利用,0.3472
しかしながら、当社は生産性の向上と省エネ 性の独立社外取締役・監査役と女性社員による座談会 国人1名、女性1名）です。,8,水の消費と取水,0.3142
当社グループは100年に届こうとする 望に応えることができる製品を開発する力、製品を 組んでいます。,9,エネルギー,0.3266
当社グループは100年に届こうとする 望に応えることができる製品を開発する力、製品を 組んでいます。,9,健康と安全,0.3567
"歴史の中で、常に技術を研鑽しその革新に挑戦して 安定して量産する力、規格を充たすだけでなく規格
きました。",9,健康と安全,0.3518
"これは地球環境の保護や持続的成長にとり 界の第一人者を社外役員として招聘することで、執
マに据えました。",9,海洋資源の採取と利用,0.3403
"これは地球環境の保護や持続的成長にとり 界の第一人者を社外役員として招聘することで、執
マに据えました。",9,健康と安全,0.3098
"資源とエネルギーを使い生産を行う製造業にと 今後とも技術力の研鑽と適正な企業統治に注力
取り入れています。",9,エネルギー,0.3701
"資源とエネルギーを使い生産を行う製造業にと 今後とも技術力の研鑽と適正な企業統治に注力
取り入れています。",9,水の消費と取水,0.3691
"資源とエネルギーを使い生産を行う製造業にと 今後とも技術力の研鑽と適正な企業統治に注力
取り入れています。",9,海洋資源の採取と利用,0.3215
"資源とエネルギーを使い生産を行う製造業にと 今後とも技術力の研鑽と適正な企業統治に注力
取り入れています。",9,健康と安全,0.3681
"資源とエネルギーを使い生産を行う製造業にと 今後とも技術力の研鑽と適正な企業統治に注力
取り入れています。",9,平等と機会,0.3177
"Ｇ委員会 ※ シックスシグマ（Six Sigma）：1980年代に米国モトローラ社によって開発された品質
管理の手法。",13,健康と安全,0.3076
"これにより磯部工場と松井田工場の電力の
1,000 自給率は100%になることが見込まれ、さらなるエネルギーコスト・生産コストの圧縮に寄与することができます。",13,エネルギー,0.3509
"これにより磯部工場と松井田工場の電力の
1,000 自給率は100%になることが見込まれ、さらなるエネルギーコスト・生産コストの圧縮に寄与することができます。",13,生物および食料資源の汚染,0.355
"これにより磯部工場と松井田工場の電力の
1,000 自給率は100%になることが見込まれ、さらなるエネルギーコスト・生産コストの圧縮に寄与することができます。",13,水の消費と取水,0.3543
"これにより磯部工場と松井田工場の電力の
1,000 自給率は100%になることが見込まれ、さらなるエネルギーコスト・生産コストの圧縮に寄与することができます。",13,健康と安全,0.3347
"また、人事制度を公正かつ適切に
ており「、人間尊重、人材育成、多様性の推進」および「働く人の 図っています。",14,適切な賃金,0.34
"また、人事制度を公正かつ適切に
ており「、人間尊重、人材育成、多様性の推進」および「働く人の 図っています。",14,健康と安全,0.3277
"また、人事制度を公正かつ適切に
ており「、人間尊重、人材育成、多様性の推進」および「働く人の 図っています。",14,平等と機会,0.4148
"また、人事制度を公正かつ適切に
ており「、人間尊重、人材育成、多様性の推進」および「働く人の 図っています。",14,児童労働,0.3555
知識と技能の習得 ・一人当たりの年間研修時間 研修 ・特別研修（国際/DX/AI/MI） く業務をこなせる「T字型人材」の育成です。,14,労働時間,0.3148
"そして、労働市場環境の変化や個人の価値観の 員数の増加率を大きく上回り、従業員1人当たりの生産性の大
多様化に対応しつつ、重点テーマに関連する施策を推進するこ 幅な向上につながっています。",14,気候変動への適応,0.3837
"ここには日本人だけでなく、ドイツ、ス ではなく、AIやデータを適切に活用できる人材の育成
りました。",15,健康と安全,0.3191
"ここには日本人だけでなく、ドイツ、ス ではなく、AIやデータを適切に活用できる人材の育成
りました。",15,平等と機会,0.3073
"そこで、パソコンのログなどで正確な勤務時間を把握する仕組 する配偶者に帯同する場合、最長3年間休職できる配偶者海外
日本における外国人の採用にも注力しています。",16,労働時間,0.3292
"また、フレックスタイム制や在宅 赴任帯同休職制度や、退職から最大10年を再雇用対象とする
勤務の運用など、柔軟で生産性の高い働き方を可能にする制 退職者登録制度（リターン雇用制度）も導入しました。",16,労働条件,0.3212
"また、フレックスタイム制や在宅 赴任帯同休職制度や、退職から最大10年を再雇用対象とする
勤務の運用など、柔軟で生産性の高い働き方を可能にする制 退職者登録制度（リターン雇用制度）も導入しました。",16,労働時間,0.3044
"また、フレックスタイム制や在宅 赴任帯同休職制度や、退職から最大10年を再雇用対象とする
勤務の運用など、柔軟で生産性の高い働き方を可能にする制 退職者登録制度（リターン雇用制度）も導入しました。",16,健康と安全,0.3157
"従業員が安心して仕事に打ち込み、良い仕事をして良 職することなく、仕事と家庭生活の両立を実現できるよう就業
い成果を上げることが会社の成長につながります。",16,労働条件,0.3375
"従業員が安心して仕事に打ち込み、良い仕事をして良 職することなく、仕事と家庭生活の両立を実現できるよう就業
い成果を上げることが会社の成長につながります。",16,労働時間,0.3576
"従業員が安心して仕事に打ち込み、良い仕事をして良 職することなく、仕事と家庭生活の両立を実現できるよう就業
い成果を上げることが会社の成長につながります。",16,健康と安全,0.4424
"従業員が安心して仕事に打ち込み、良い仕事をして良 職することなく、仕事と家庭生活の両立を実現できるよう就業
い成果を上げることが会社の成長につながります。",16,児童労働,0.3748
"2021 2022 2023 （年度）
当社グループの19人の女性社員が参加しました。",16,エネルギー,0.3396
"2021 2022 2023 （年度）
当社グループの19人の女性社員が参加しました。",16,水の汚染,0.3461
"2021 2022 2023 （年度）
当社グループの19人の女性社員が参加しました。",16,水の消費と取水,0.3031
"また、新型コロナウイルス感染症をはじめ重要な感染症 保険組合が保険会社と提携し、従業員の家族も利用できる24
に関しては対策マニュアルを作成し、予防に努めています。",16,健康と安全,0.3717
"QSTTM基板はGaNと熱膨張係数が同等であるため、エピタキシャル層の反りやクラックを
戦略的な知財管理を推進 抑制し、大口径で高品質な厚膜GaNエピタキシャル成長を可能とする基板材料です。",17,健康と安全,0.3207
"当社グループの研究開発部門は、お客さまのニーズに合 に、お客さまのニーズを満たし、新たなシーズを生むために
わせた製品を迅速に開発するとともに、製品開発後の量産 社長直轄の研究開発プロジェクトも推進しています。",17,健康と安全,0.35
"2019年5月に「信越化学グループ人権方針」を策定し、その 軟かつ生産性の高い働き方を可能にする環境整備を進めまし
していました。",18,マイクロプラスチック,0.3033
"また研究開発の現場でAIやMI※３の技術を担う人材の 研究開発における
育成にも注力しています。",18,健康と安全,0.3027
"2023年度は、人権尊重に関する研修を46回実施し、1,125
※２ 人権尊重に関する事項：強制労働および児童労働の禁止、適正な労働時間、適正 人の従業員が研修に参加しました。",18,労働条件,0.3072
"2023年度は、人権尊重に関する研修を46回実施し、1,125
※２ 人権尊重に関する事項：強制労働および児童労働の禁止、適正な労働時間、適正 人の従業員が研修に参加しました。",18,適切な賃金,0.3723
"2023年度は、人権尊重に関する研修を46回実施し、1,125
※２ 人権尊重に関する事項：強制労働および児童労働の禁止、適正な労働時間、適正 人の従業員が研修に参加しました。",18,労働時間,0.3949
"2023年度は、人権尊重に関する研修を46回実施し、1,125
※２ 人権尊重に関する事項：強制労働および児童労働の禁止、適正な労働時間、適正 人の従業員が研修に参加しました。",18,健康と安全,0.3459
"2023年度は、人権尊重に関する研修を46回実施し、1,125
※２ 人権尊重に関する事項：強制労働および児童労働の禁止、適正な労働時間、適正 人の従業員が研修に参加しました。",18,平等と機会,0.3653
"2023年度は、人権尊重に関する研修を46回実施し、1,125
※２ 人権尊重に関する事項：強制労働および児童労働の禁止、適正な労働時間、適正 人の従業員が研修に参加しました。",18,障害者の雇用,0.3693
"2023年度は、人権尊重に関する研修を46回実施し、1,125
※２ 人権尊重に関する事項：強制労働および児童労働の禁止、適正な労働時間、適正 人の従業員が研修に参加しました。",18,児童労働,0.4237
"半導体シリコンは、モータの回転数を制御するインバーターなどのパワー半導体デバイス、自動運転、AI向けロジック半
電気自動車、 導体デバイス等に使用される。",19,エネルギー,0.3036
"半導体シリコンは、モータの回転数を制御するインバーターなどのパワー半導体デバイス、自動運転、AI向けロジック半
電気自動車、 導体デバイス等に使用される。",19,健康と安全,0.3281
"高性能で小型のレア・アースマグネットは、車両全体の重量を軽くし、燃費性能を上げら
ハイブリッド車、 れることから、電気自動車やハイブリッド車、燃料電池車の駆動モータや車両のさまざまなモータへの利用が広がる。",19,エネルギー,0.3433
"シ 大
燃料電池車 リコーンの放熱材料は、リチウムイオン電池や各種電子制御装置などの熱対策に使用されている。",19,エネルギー,0.304
"シ 大
燃料電池車 リコーンの放熱材料は、リチウムイオン電池や各種電子制御装置などの熱対策に使用されている。",19,健康と安全,0.3296
"シ 大
燃料電池車 リコーンの放熱材料は、リチウムイオン電池や各種電子制御装置などの熱対策に使用されている。",19,プライバシー,0.3068
"レア・アースマグネットは、洋上風力発電機の高効率化および発電機のメンテナンスコストの削減に寄与するため、需要
重要課題 風力発電機 の拡大が見込まれる。",19,エネルギー,0.3232
"レア・アースマグネットは、エアコンのコンプレッサーモータのエネル 中
ギー効率を高め消費電力量を削減するため、需要の拡大が見込まれる。",19,エネルギー,0.3361
