sentence,page,topic,similarity
"に、2024年度も、それ以降も、よりいっそう
2023年度は、米国での3つの新製品の承認 力強いものにしていきたいと願っています。",3,水の汚染,0.3538
"に、2024年度も、それ以降も、よりいっそう
2023年度は、米国での3つの新製品の承認 力強いものにしていきたいと願っています。",3,生物および食料資源の汚染,0.3385
"に、2024年度も、それ以降も、よりいっそう
2023年度は、米国での3つの新製品の承認 力強いものにしていきたいと願っています。",3,マイクロプラスチック,0.324
"に、2024年度も、それ以降も、よりいっそう
2023年度は、米国での3つの新製品の承認 力強いものにしていきたいと願っています。",3,水の消費と取水,0.3109
"に、2024年度も、それ以降も、よりいっそう
2023年度は、米国での3つの新製品の承認 力強いものにしていきたいと願っています。",3,健康と安全,0.3789
"そして私自身 をお届けしようとする研究開発チームの
も、世界各地に足を運び、その努力を実 たゆまぬ努力があります。",4,児童労働,0.3249
"開催された「Health Day」ではさまざま
な議論が交わされました。",4,生物および食料資源の汚染,0.3104
"開催された「Health Day」ではさまざま
な議論が交わされました。",4,労働時間,0.3353
"開催された「Health Day」ではさまざま
な議論が交わされました。",4,健康と安全,0.4995
"開催された「Health Day」ではさまざま
な議論が交わされました。",4,児童労働,0.3027
"開催された「Health Day」ではさまざま
な議論が交わされました。",4,プライバシー,0.3082
"2023年度の売上収益、研究開発費、 欧州およびカナダ
および従業員数は、2024年3月31日時点の数値です。",6,水の消費と取水,0.3287
"2023年度の売上収益、研究開発費、 欧州およびカナダ
および従業員数は、2024年3月31日時点の数値です。",6,海洋資源の使用,0.3005
"2023年度の売上収益、研究開発費、 欧州およびカナダ
および従業員数は、2024年3月31日時点の数値です。",6,海洋資源の採取と利用,0.3265
"2023年度の売上収益、研究開発費、 欧州およびカナダ
および従業員数は、2024年3月31日時点の数値です。",6,労働時間,0.3339
"2023年度の売上収益、研究開発費、 欧州およびカナダ
および従業員数は、2024年3月31日時点の数値です。",6,健康と安全,0.3145
"2023年度の売上収益、研究開発費、 欧州およびカナダ
および従業員数は、2024年3月31日時点の数値です。",6,児童労働,0.3178
"そして、「すべての患者さんのため （Business）」という行動指針をこの
上で誠実に守られてきました。",7,健康と安全,0.327
"そして、「すべての患者さんのため （Business）」という行動指針をこの
上で誠実に守られてきました。",7,児童労働,0.3065
"そして、「すべての患者さんのため （Business）」という行動指針をこの
上で誠実に守られてきました。",7,プライバシー,0.3225
"世界中の従業員は、常に最大限に倫
束」は、存在意義を果たすために注力す 理的な行動をとる責任を担っています。",7,労働時間,0.3004
"私たちの存在意義 世界中の人々の健康と、輝かしい未来に貢献する
私たちの価値観︓ タケダイズムとは、まず誠実であること。",10,健康と安全,0.447
"私たちの存在意義 世界中の人々の健康と、輝かしい未来に貢献する
私たちの価値観︓ タケダイズムとは、まず誠実であること。",10,平等と機会,0.303
"私たちはこれを道しるべとしながら、
タケダイズム 「1. 患者さんに寄り添い（Patient）2. 人々と信頼関係を築き（Trust）3. 社会的評価を向上させ（Reputation） 4. 事業を発展させる（Business）」を日々の行動指針とします。",10,健康と安全,0.3348
"これは、よりいっそう患者さんのニーズを満 先進的なテクノロジーに精通した人材のスキルアップ
たす医薬品を開発することにもつながるのです。",11,健康と安全,0.317
"3 この指標の測定方法は、従業員体験アンケートの結果をより幅広
く反映させるために、「従業員体験アンケートの質問に対する好意的な回答の割合」から現在のものに変更されました。",11,気候変動への適応,0.3363
"3 この指標の測定方法は、従業員体験アンケートの結果をより幅広
く反映させるために、「従業員体験アンケートの質問に対する好意的な回答の割合」から現在のものに変更されました。",11,健康と安全,0.3109
"3 この指標の測定方法は、従業員体験アンケートの結果をより幅広
く反映させるために、「従業員体験アンケートの質問に対する好意的な回答の割合」から現在のものに変更されました。",11,児童労働,0.3023
* 最新の有価証券報告書の中でも、「サステナビリティに関する考え方及び取組」の一部として企業理念に基づく私たちの指標（corporate philosophy metrics）を紹介しています。,11,健康と安全,0.3076
"るHealth Equity Compact（HEC）と連
健康の公平性への取り組みは、道徳的に 携した取り組みも実施しています。",13,健康と安全,0.4164
"るHealth Equity Compact（HEC）と連
健康の公平性への取り組みは、道徳的に 携した取り組みも実施しています。",13,平等と機会,0.377
"そのため私たち 抱える、健康格差の問題に取り組む団体
は、研究開発から製造、医薬品へのアク です。",13,健康と安全,0.394
"具体的 健康の公平性は、1つの組織が単独で実現で
には、医療が十分に行き届いていない地域 きるものではありません。",14,適切な賃金,0.3454
"具体的 健康の公平性は、1つの組織が単独で実現で
には、医療が十分に行き届いていない地域 きるものではありません。",14,健康と安全,0.4357
"であるPartners In Health（PIH）¹との長
公平性を促進するためには、まず社内に多 期にわたる提携を例に挙げましょう。",14,健康と安全,0.3212
"よりよく理解し、個人に合った情報を提
「学びに意義を見出す文化の醸成は、ま 供するようになります。",17,企業文化,0.3431
