sentence,page,topic,similarity
"「Focus 1：提供価値（社会へのインパクト）の考え方と評価」P28参照
それが中外製薬の企業活動のすべての根底にあります。",5,生物および食料資源の汚染,0.3144
"「Focus 1：提供価値（社会へのインパクト）の考え方と評価」P28参照
それが中外製薬の企業活動のすべての根底にあります。",5,水の消費と取水,0.324
"「Focus 1：提供価値（社会へのインパクト）の考え方と評価」P28参照
それが中外製薬の企業活動のすべての根底にあります。",5,健康と安全,0.3206
「TOP I 2030」始動から3年が経過し、ここまでの進捗は概ね順調です。,7,健康と安全,0.3434
"さらに治療手段や医療技術の進歩に伴い、患者さ このように多くの成果を上げることができたのは、各部門・機
ん自身がまだ気づいていないけれども提供できる価値が存在 能において各社員が主体的に変革課題に取り組んだ結果です。",10,健康と安全,0.3026
"この高い目標の達成 剤選択が進み、真に価値ある医薬品やソリューションの選択が
に向けて「、世界最高水準の創薬実現」と「先進的事業モデルの 加速するでしょう。",10,生物および食料資源の汚染,0.3255
"この高い目標の達成 剤選択が進み、真に価値ある医薬品やソリューションの選択が
に向けて「、世界最高水準の創薬実現」と「先進的事業モデルの 加速するでしょう。",10,健康と安全,0.332
"革新的医薬 じ「、LUNA18」を筆頭にプロジェクト数は約30と非常に充実し 「TOP I 2030」のキードライバーは、価値創造エンジンであ
追求する 品による提供価値は、疾患の治療効果にとどまらず、日常生活 ています。",10,健康と安全,0.3192
"Value Delivery ング技術のさらなる進化を図るとともに、マルチモダリティ創
が社会全体にとっても価値あることであり、社会と当社の共有 ど、患者さんの生活を変えうる医薬品は、その患者さん本人や では、眼科領域に初参入し、サイエンスと安全性を強みに確実 薬に向け創薬技術基盤を強化していきます。",10,健康と安全,0.3932
"私たち 現や地域医療の活性化などの社会課題解決にもつながると期 の進化や知的財産確保に向けた基盤構築のほか、AI創薬や業 創薬機能を拡充し、恒久的な海外創薬研究拠点とすることで
は、これらの価値に加え、患者さんがまだ気づいていない価値も 待されます。",10,健康と安全,0.3188
"ただし現状では、活用状況にばらつきがあるた れ、自分たちの技術と融合してさらに革新的な医薬品を生み出 業務プロセスの革新と効率化の取り組みに加え、積極的な採用
め、リテラシーの底上げを図るとともに、より付加価値の高い していくことも重要です。",11,健康と安全,0.3041
