sentence,page,topic,similarity
"Integrity（誠実）̶̶ 企業理念を胸に
私たちは、人々のいのちや健康に関わる企業のアソシエイトとして、常に、誠実に使命感をもって行動します。",2,健康と安全,0.4615
"Integrity（誠実）̶̶ 企業理念を胸に
私たちは、人々のいのちや健康に関わる企業のアソシエイトとして、常に、誠実に使命感をもって行動します。",2,プライバシー,0.358
"Care（ケア）̶̶ 患者さんへの想い
私たちは、自らの活動が、患者さんにつながっていることを常に忘れず行動します。",2,水の消費と取水,0.3032
"Care（ケア）̶̶ 患者さんへの想い
私たちは、自らの活動が、患者さんにつながっていることを常に忘れず行動します。",2,労働時間,0.3465
"Care（ケア）̶̶ 患者さんへの想い
私たちは、自らの活動が、患者さんにつながっていることを常に忘れず行動します。",2,健康と安全,0.343
"Care（ケア）̶̶ 患者さんへの想い
私たちは、自らの活動が、患者さんにつながっていることを常に忘れず行動します。",2,児童労働,0.3669
"Care（ケア）̶̶ 患者さんへの想い
私たちは、自らの活動が、患者さんにつながっていることを常に忘れず行動します。",2,プライバシー,0.3052
"Care（ケア）̶̶ 患者さんへの想い
私たちは、自らの活動が、患者さんにつながっていることを常に忘れず行動します。",2,ロビー活動,0.3218
"Quality（品質）̶̶ 優れた仕事へのこだわり
私たちは、安全と安心の医療を提供するために、常に現場視点で課題を捉え、解決策を見つけ出します。",2,健康と安全,0.5347
"併せて、グループ全体の情報共有、人的連携、お 21世紀の新しい医療に貢献していく
よび開発プロセスの標準化などを進めています。",5,健康と安全,0.3688
"企業の継続的成長を支える
持続的な利益ある成長を確実なものにするため、テルモではGS26と同時に全社収益改善プロジェク ものは、やはり人財です。",5,健康と安全,0.301
"カンパニー別ではメディカル
を上乗せしたハードルレートを設定し、事業戦略とリスクを踏まえて正味現在価値（NPV）や内部収益率 ケアソリューションズカンパニーの利益率を二桁に戻すことを目指します。",8,健康と安全,0.3256
"売上収益は、グローバルでの成長を継続し、為替影響を除いて前年を上回る成長率6％を見込んで
ROICをはじめ、GS26の財務目標を達成するためには、事業とコーポレートの進む方向性を一致さ います。",8,健康と安全,0.3474
"営業利益については、①高収益品の売上拡大、②価格政策のさらなる積極化、③グローバル
せながら、事業環境の変化や業績の状況を踏まえて適切な施策をタイムリーに実行していくことが必 生産最適化・効率化により、額・率共に改善を図ります。",8,気候変動への適応,0.3438
"グローバル生産最適化・効率化については、
Planning & Analysis）機能を担う組織を設立しました。",8,健康と安全,0.3237
"CSVの活動テーマでは、予防から診断・治療、 アル手技を心臓（冠動脈）から下肢動脈、がん、脳血管の治療にも広めるべく、治療対象に応じた最適な製品ラインアップの
予後に至るペイシェント・ジャーニーにおいて、テルモグループが有する幅広い製品・サービスや技術を活かして医療現場 拡充や医療トレーニングの提供にも尽力しています。",9,健康と安全,0.3122
"ESGの活動テーマ 患者さん固有の特徴やリスクに応じて最適な医療を提供する「個別化医療」を実現するための製品・ソリューションの開発
では、製品・サービスの品質と安全性、安定供給の確保や、多様な人財の活躍など、CSVを支える基盤となる活動を中心に、 にも取り組んでいます。",9,健康と安全,0.4353
"テルモが提供する主な医療価値 メディカルケアソリューションズカンパニー
医療に関わる全ての人に「質の高い時間（とき）」を創出することをカンパニーのブランドプロミスとして掲げています。",9,労働時間,0.333
"テルモが提供する主な医療価値 メディカルケアソリューションズカンパニー
医療に関わる全ての人に「質の高い時間（とき）」を創出することをカンパニーのブランドプロミスとして掲げています。",9,健康と安全,0.383
"TRIによって患者さんの負担が軽減され、日帰り診断・治療が可能になり、QOLの改善と医療経済
幅 広い治療ソリューションの提供： 欧州で薬剤溶出型冠動脈ステント「Ultimaster Nagomi」 性の向上につながっています。",14,健康と安全,0.3409
製 品ポートフォリオの拡充： 脳梗塞、脳動脈瘤で新製品・品種を追加。,14,健康と安全,0.3032
"昨年、テルモのホスピタルカンパニーはメディカルケアソリューションズカンパニーへと名称を変更するとともに、
Women’s Healthソリューション： 低侵襲手術への寄与が期待されるスプレー式癒着防止材「アドスプレー」の普及に加え、 Terumo Medical Care Solutionsという新たなビジネスブランドの展開を開始しました。",16,健康と安全,0.4526
"予 防・重症化領域ソリューション： 体温計のリブランディングを進めるとともに、フルモデルチェンジしたテルモ史上最速
の体温計の販売を開始します。",16,健康と安全,0.3134
私たちは「Coalition of Blood for Africa (CoBA)」*2にも投資しています。,18,空気の汚染,0.3193
私たちは「Coalition of Blood for Africa (CoBA)」*2にも投資しています。,18,水の汚染,0.3158
私たちは「Coalition of Blood for Africa (CoBA)」*2にも投資しています。,18,生物および食料資源の汚染,0.3284
私たちは「Coalition of Blood for Africa (CoBA)」*2にも投資しています。,18,水の消費と取水,0.3003
私たちは「Coalition of Blood for Africa (CoBA)」*2にも投資しています。,18,健康と安全,0.3699
"づき、医療の進化と患者さんのQOL向上に取り組むことを社会 これらサステナビリティの取り組みを通じて、持続可能な社会
的使命（パーパス）と考えます。",20,健康と安全,0.4083
"これらの実現のため、全ての活 の実現に寄与するとともに、新たなテルモの強み、テルモらしさ サステナビリティ重点活動テーマ
動におけるクオリティーへの徹底的なこだわりと、新たなテクノ をつくり上げ、自社の持続的な成長につなげていきます。",20,健康と安全,0.3029
"さまざまな社会的要請にも応えながら、テルモ独
■ アソシエイト・ビジネスパートナーの命と人権 自の活動を通して強固な事業基盤をつくり上げていきます。",20,健康と安全,0.3015
"認証取
減は、企業としての社会的責任であり、また持続的な成長を支え 2015）と労働安全衛生（ISO45001：2018）の国際規格に準拠した 得比率は、生産事業所ベースで37％です。",25,生物および食料資源の汚染,0.3491
"認証取
減は、企業としての社会的責任であり、また持続的な成長を支え 2015）と労働安全衛生（ISO45001：2018）の国際規格に準拠した 得比率は、生産事業所ベースで37％です。",25,健康と安全,0.4463
"認証取
減は、企業としての社会的責任であり、また持続的な成長を支え 2015）と労働安全衛生（ISO45001：2018）の国際規格に準拠した 得比率は、生産事業所ベースで37％です。",25,児童労働,0.3119
