sentence,page,topic,similarity
"第5期中計の戦略が順調に進捗していることから、2025年 の紛争、AIによるDXの加速と生活・仕事の変化など、持続可能
度目標「がんに強みを持つ先進的グローバル創薬企業」の達成 な社会に向けてさまざまな変化と多くの課題に直面しています。",4,生物および食料資源の汚染,0.3
患者さんのため る挑戦と、多くの失敗を繰り返しながらも、そこからの学びを 提携を行いましたが、これは持続的成長を実現するための最 を進めています。,5,水の消費と取水,0.3086
患者さんのため る挑戦と、多くの失敗を繰り返しながらも、そこからの学びを 提携を行いましたが、これは持続的成長を実現するための最 を進めています。,5,健康と安全,0.3648
患者さんのため る挑戦と、多くの失敗を繰り返しながらも、そこからの学びを 提携を行いましたが、これは持続的成長を実現するための最 を進めています。,5,児童労働,0.3504
直近では、がんや新興・再興感染症への いが“Patient Centric Mindset（患者中心の考え方）”です。,5,健康と安全,0.3161
"薬づ 者のみならず、各組織の個々人が“Patient Centric Mindset”を ス「世界中の人々の健康で豊かな生活に貢献する」、ミッショ ＆Trust」「Develop＆Grow」の3つの行動様式からなる“Core
くりの技術や新薬創出の成功経験が組織に蓄積・引き継がれ、 持って、バリューチェーン全体でPatient Centricityの取り組み ン「革新的医薬品を継続的に創出し、多様な医療ニーズに応え Behaviors”です。",5,健康と安全,0.4109
"提携により、 信頼し合いながら、一人ひとりの能力やスキルが発揮される、働
培ってきました。",5,健康と安全,0.3119
DXd ADC 3製品の開発を加速するとともに、米国メルク社が持 きやすい会社を目指し、企業文化の醸成に取り組んでいます。,5,企業文化,0.3154
"また、日本では、日本の事業 価値創造の根幹となる“One DS Culture”の醸成が何より重 社グループを取り巻く社会、事業環境も絶え間なく変化してお
持続的に循環させる、長期的視点に立った経営を実践していま 環境変化に対応し、より生産性の高い、効率的な組織へのトラ 要であると考えています。",6,企業文化,0.3413
強みである「サイエンス＆テクノロジー」は、持続的な価 ンスフォーメーションに向けた取り組みを推進するとともに、 ながりますが、Patient Centric Mindsetは当社と私たちの成 責任も一段と高まっています。,6,健康と安全,0.3863
"世界のライフサイエンスにおける研究イノ う上で、アンメットメディカルニーズへの対応、医薬品アクセ あり、そこで患者中心のアプローチの重要性に気づかされま 株主・投資家の皆さま向けには、定期的にR&D説明会、エン
ベーションの中心地である米国ボストンエリアおよび欧州圏の スの向上、地球環境問題への対応、生命関連企業としての高い した。",6,生物および食料資源の汚染,0.314
"その現場では、医師が最良の診断、治療を行えるよう ハーツ事業説明会、ESG説明会などを開催しており、今後も情
研究拠点の設立を通じて、外部とのパートナーシップやリソー 倫理観をもった企業経営、ESGへの取り組みなどの社会からの に、病理をはじめとする院内のさまざまな部門が連携してお 報開示とダイアログの充実化に取り組んでいきます。",6,健康と安全,0.3044
"その連携の中心には常に「患者 患者さんをはじめとするステークホルダーの皆さまと共創する
「サイエンス＆テクノロジー」を強みとした持続的な価値創 め、新たな社会課題や社会環境変化に柔軟に対応し、外部の視 さん」がいました。",6,健康と安全,0.3449
"製薬会社の目標は有効性が高く安全な薬 価値についてもさらに議論を深め、パーパスの実現に全社一丸
造の原動力となるのが最重要資本である人材です。",6,健康と安全,0.3544
がん事業の 点を経営戦略に取り入れるために、患者さんや投資家の皆さま を作ることであると考えていた私には、私たちのゴールが単 となって取り組んでいきます。,6,健康と安全,0.3268
"グローバル展開に向けて、多様な人材を獲得・育成し、効果的 をはじめとしたさまざまなステークホルダーとのダイアログを に医薬品を製造することではなく、患者さんに貢献すること
促進しています。",6,健康と安全,0.3312
"新たな
安定した利益を生み出す製品であるリクシアナ®は、日本、欧 し、自社拠点における使用電力を再生可能エネルギー化すると 的な医薬品を創出する力につながっています。",11,エネルギー,0.3806
"新たな
安定した利益を生み出す製品であるリクシアナ®は、日本、欧 し、自社拠点における使用電力を再生可能エネルギー化すると 的な医薬品を創出する力につながっています。",11,健康と安全,0.3149
"中でも、100年超の歴史を持つ第一三共の DNA について
を「5DXd ADCs and Next Wave」へと進化させ、研究開発を加 の達成を目指します。",11,健康と安全,0.3085
また、第二世代ADCであるDS-9606の臨床試験 は目標である16％以上の達成を目指すとともに、株主還元のさ あるDevelop & Growの実践を通じて、これまでの経験・知識に とには非常に大きな意義があると考えています。,11,健康と安全,0.3047
"これは、自分たちにとっ ダーが受けられることが、社会から評価され、期待され続ける企
進的グローバルヘルスケアカンパニー」の実現と、その先の持 迅速に適応しなければなりません。",11,健康と安全,0.3647
"当社の強みであ 営と事業を推進する「人材」の獲得・育成・活躍に向けて、環 ルチステークホルダーと価値を共創するとの考え方であり、即ち クホルダーの皆さまとの積極的なコミュニケーションを積み重
るS&Tを生み出すのは「人」であり、生み出したイノベーショ 境整備や社内変革を進めています。",11,健康と安全,0.3134
ンを発展させ、製品として患者さんに届けるまでのバリュー 育成を進めるとともに、組織体制のグローバル化やグローバ 患者さんにより多く貢献し、企業として成長していくこと。,11,健康と安全,0.3407
"そして、これをパーパス、ミッション、ビジョン、Core 外の職場文化に迎合しすぎることなく、それぞれのカルチャーの いますが、循環器領域からがん領域への道筋が見つかるまでに
域事業の急速な拡大により、これまで経験したことのないスピード Value（s 価値観）に加えOne DS Cultureとして改めて言語化しま 良い点・違う点を互いに認識し合い、相互の融和を図り、One DS は相当な苦労があったはずです。",12,企業文化,0.3075
"そのような中、One DS Cultureを作
イノベーティブな製薬企業の根幹には「患者さんのために」という いて理解を深めていきました。",12,企業文化,0.3037
私は、今後、当社グ られますし、ナショナリティやダイバーシティの考え方のグローバ 進していきたいと思っています。,13,健康と安全,0.3074
"テクノロジーを活用した変 Behaviorsからなる組織文化を「One DS Culture」と定め、それ
を創っているのは間違いなく私たちの社員です。",13,労働時間,0.3213
"テクノロジーを活用した変 Behaviorsからなる組織文化を「One DS Culture」と定め、それ
を創っているのは間違いなく私たちの社員です。",13,健康と安全,0.3185
"テクノロジーを活用した変 Behaviorsからなる組織文化を「One DS Culture」と定め、それ
を創っているのは間違いなく私たちの社員です。",13,児童労働,0.3199
"テクノロジーを活用した変 Behaviorsからなる組織文化を「One DS Culture」と定め、それ
を創っているのは間違いなく私たちの社員です。",13,企業文化,0.4093
全体最適のための議論と意思決定をするOne Teamを作り上げ かせになると思います。,13,健康と安全,0.3102
"将来、より多くの患者さんを助けるために、 してそれぞれの価値観を持つ人材を獲得し、インクルードできる
さまざまな場面でバイオ人材が不足するため、国内外でバイオ という長期的な価値が全社でシェアされているからこそできたこ 職場になっていくことが重要だと思います。",13,健康と安全,0.3047
"アドレナリンの抽出やオリザニン®の発 もに、グローバルな研究イノベーション拠点を活用し、研究
見、サルバルサンの国産化から歩みを始め、自社創薬を核とし 機能の生産性を継続的に向上し続けていきます。",14,海洋資源の使用,0.3166
"アドレナリンの抽出やオリザニン®の発 もに、グローバルな研究イノベーション拠点を活用し、研究
見、サルバルサンの国産化から歩みを始め、自社創薬を核とし 機能の生産性を継続的に向上し続けていきます。",14,海洋資源の採取と利用,0.401
"アドレナリンの抽出やオリザニン®の発 もに、グローバルな研究イノベーション拠点を活用し、研究
見、サルバルサンの国産化から歩みを始め、自社創薬を核とし 機能の生産性を継続的に向上し続けていきます。",14,健康と安全,0.3209
