sentence,page,topic,similarity
"」は、全事業を通じて創っていき
環境/健康/生活/働き方 だけでなく基盤となる非財務資本も重要です。",4,循環経済,0.3277
"」は、全事業を通じて創っていき
環境/健康/生活/働き方 だけでなく基盤となる非財務資本も重要です。",4,健康と安全,0.3742
"うパーパスは、当社グループの歴史・文化・働く人々の心 話を通じ、それぞれが「自分はこれを実現したい」という自ら 事業ポートフォリオの観点から振り返ると、ヘルスケア
の中にすでに存在したコンセプトだったということです。",9,企業文化,0.3466
"2024年6月には、エレクトロニクスのディスプレ ミュニケーション事業をビジネスイノベーションに統合し
る環境変化に対して柔軟かつ迅速に対応できるレジリエン イ材料事業、産業機材事業、ファインケミカル事業を統合 ました。",10,気候変動への適応,0.3647
"2024年6月には、エレクトロニクスのディスプレ ミュニケーション事業をビジネスイノベーションに統合し
る環境変化に対して柔軟かつ迅速に対応できるレジリエン イ材料事業、産業機材事業、ファインケミカル事業を統合 ました。",10,生物および食料資源の汚染,0.3479
"2024年6月には、エレクトロニクスのディスプレ ミュニケーション事業をビジネスイノベーションに統合し
る環境変化に対して柔軟かつ迅速に対応できるレジリエン イ材料事業、産業機材事業、ファインケミカル事業を統合 ました。",10,マイクロプラスチック,0.4048
"まず、VISION2030 サステナビリティの観点で推進する
に、さらなる事業成長を実現していきます。",11,健康と安全,0.3246
"NURAは、富士フイル ある製品・サービスの提供を通じて医療アクセスの向上を
て、この活動を末永く継続していくことが当社の使命と考 ムグループの最先端の医療機器や画像診断AI技術を活 図り、多くの方の笑顔を生み出していきます。",12,健康と安全,0.3612
"富士フイルムビジ NURAを同国の複合企業「Tavan Bogd Group（タバン により多くの製品・サービスが、持続可能な社会を⽀える
ネスイノベーションが1990年代から構築してきた資源循 ボグドグループ）」とのパートナーシップの下で開設し、私 基盤として世の中に定着することを目指しています。",12,健康と安全,0.3311
その一環として、がんや生活習慣病 共に 力を発揮できる環境を整えることが重要です。,12,生物および食料資源の汚染,0.3367
その一環として、がんや生活習慣病 共に 力を発揮できる環境を整えることが重要です。,12,健康と安全,0.3264
"当社グループの事業
会社が発展していくためには、従業員が心身ともに健や クを提供しています。",13,健康と安全,0.3781
"その結果、2020年か 時代においても社会にとって存在価値のある企業である
立した富士フイルムグループ従業員向け健診施設「富士フ ら4年連続で健康経営銘柄に選出されています。",13,健康と安全,0.3171
"バイオCDMOや半導体材料などの成長領域に対する大 年度をゴールとする長期目標であり、当社グループが持続的 グループパーパスの実現には、①事業の持続的成長につ
型投資のリターンを確実に創出し、市場や社会の構造変化に に発展していくための経営の根幹をなす計画です。",17,マイクロプラスチック,0.3165
"して、そこに向けた道筋を具体化すべきと考え、VISION2030は 従業員の高いエンゲージメントにつながる人材投資が欠か
2030年度までの7年間をスコープに置きました。",17,健康と安全,0.3043
世界 業および医薬品事業を位置づけましたが、その背景 ンパートナー」として事業価値をさらに高めます。,18,生物および食料資源の汚染,0.3074
"これに対し、2024年度よりビジネスイノ 医薬品事業では、抗菌薬・リポソーム製剤の受託ビジネス
ROIC9％以上、ROE10%以上を目指します。",18,水の汚染,0.3017
"これに対し、2024年度よりビジネスイノ 医薬品事業では、抗菌薬・リポソーム製剤の受託ビジネス
ROIC9％以上、ROE10%以上を目指します。",18,生物および食料資源の汚染,0.3892
"これに対し、2024年度よりビジネスイノ 医薬品事業では、抗菌薬・リポソーム製剤の受託ビジネス
ROIC9％以上、ROE10%以上を目指します。",18,水の消費と取水,0.3125
"これに対し、2024年度よりビジネスイノ 医薬品事業では、抗菌薬・リポソーム製剤の受託ビジネス
ROIC9％以上、ROE10%以上を目指します。",18,健康と安全,0.3488
"効率的かつ高品質なバイオ医薬 ライフサイエンス事業では、バイオ医薬品の需要に牽引され、 VISION2030では前中期経営計画におけるマテリアルズ
品の供給を目指すことで、価値再構築事業から基盤事業へシ 創薬⽀援・医薬品製造向け材料も継続的な成長が見込まれます。",19,生物および食料資源の汚染,0.38
"効率的かつ高品質なバイオ医薬 ライフサイエンス事業では、バイオ医薬品の需要に牽引され、 VISION2030では前中期経営計画におけるマテリアルズ
品の供給を目指すことで、価値再構築事業から基盤事業へシ 創薬⽀援・医薬品製造向け材料も継続的な成長が見込まれます。",19,健康と安全,0.3441
"半導体材料の売上目標は、2026年度に3,000億円、 や低採算製品からの撤退・整理などを進めることで、キャッシュ ます。",20,生物および食料資源の汚染,0.3166
"半導体材料の売上目標は、2026年度に3,000億円、 や低採算製品からの撤退・整理などを進めることで、キャッシュ ます。",20,マイクロプラスチック,0.3524
"前述の通り、 instax“チェキ”とデジタルカメラは、前中期経営計画期間で 取り込むべく、当初計画値を大きく上回る額の大型設備投資
オフィスから商業印刷・産業印刷まで全領域をカバーできる 収益の柱として大きく成長しました。",20,健康と安全,0.3344
"例 単層／多層／3次元構造のフィルム 高精度な⾦型への材料を精 高機能材料をフィルム上にミクロン単位で多 ナノサイズの微粒子を安定に液中に 有機化合物／無機化合物の連続的
な ら顔料まで、ナノサイズで粒 材料を設計・合成する技術。",25,水の汚染,0.3098
"例 単層／多層／3次元構造のフィルム 高精度な⾦型への材料を精 高機能材料をフィルム上にミクロン単位で多 ナノサイズの微粒子を安定に液中に 有機化合物／無機化合物の連続的
な ら顔料まで、ナノサイズで粒 材料を設計・合成する技術。",25,マイクロプラスチック,0.3906
例え えば色と光をコントロールする分子設 を成形する技術。,25,生物および食料資源の汚染,0.3505
"が 子をコントロールして形成す ば、マイクロカプセルやミクロ 計に基づき化合物を合成し、各種製品 り、さまざまなポリマーのフィルム成 ンズ、医療機器、化粧品容器 光学特性などの機能を制御してフィルムを 液の安定化から染料、インク、化粧品 “チェキ”などのインスタントカメラに
る る技術。",25,マイクロプラスチック,0.4201
"が 子をコントロールして形成す ば、マイクロカプセルやミクロ 計に基づき化合物を合成し、各種製品 り、さまざまなポリマーのフィルム成 ンズ、医療機器、化粧品容器 光学特性などの機能を制御してフィルムを 液の安定化から染料、インク、化粧品 “チェキ”などのインスタントカメラに
る る技術。",25,健康と安全,0.3063
"事業を通じて社会課題の ヘルスケア
解決に貢献する精神は、現在の当社のビジネスにも息づいています。",27,労働時間,0.3094
"事業を通じて社会課題の ヘルスケア
解決に貢献する精神は、現在の当社のビジネスにも息づいています。",27,健康と安全,0.3964
"事業を通じて社会課題の ヘルスケア
解決に貢献する精神は、現在の当社のビジネスにも息づいています。",27,児童労働,0.3051
"事業を通じて社会課題の ヘルスケア
解決に貢献する精神は、現在の当社のビジネスにも息づいています。",27,企業文化,0.3223
"この頃から業務改善に ラーフィルター材料などの製造にも着手し、エレクトロニクス
つながるアプリケーションにも注力しはじめ、ソリュー マテリアルズ事業として発展を遂げていきました。",27,マイクロプラスチック,0.3539
"他産業との比較では、医療機器産業のCAGRは2018年
❹ 健康増進、美への貢献 ～2022年実績、2023年～2027年予測ともに5%以上を示し、持続的に成長する産業分野と期待されています。",36,生物および食料資源の汚染,0.3354
"他産業との比較では、医療機器産業のCAGRは2018年
❹ 健康増進、美への貢献 ～2022年実績、2023年～2027年予測ともに5%以上を示し、持続的に成長する産業分野と期待されています。",36,健康と安全,0.4485
"現
基本戦略とアクション 在、インドで4拠点、モンゴルで2拠点、ベトナムで1拠点を展開しています。",45,エネルギー,0.3113
"現
基本戦略とアクション 在、インドで4拠点、モンゴルで2拠点、ベトナムで1拠点を展開しています。",45,水の消費と取水,0.3174
"現
基本戦略とアクション 在、インドで4拠点、モンゴルで2拠点、ベトナムで1拠点を展開しています。",45,健康と安全,0.3771
"（予想） （VISION2030） （予想） ※ グラフィックコミュニケーション事業を「エレクトロニクス（旧マテリアルズ）」セグメントから
「ビジネスイノベーション」セグメントに組み替えて表示しています。",48,マイクロプラスチック,0.3087
※3 ※3 ントボリュームの長期的な減少傾向のリスクが挙げられます。,51,絶滅リスク,0.3501
"「プリンティング＆ソ データ活用
リューション」事業として一体運営。",52,水の消費と取水,0.3089
"「プリンティング＆ソ データ活用
リューション」事業として一体運営。",52,海洋資源の採取と利用,0.3332
"「 instax Biz」
「instax Biz」は、イベント主催者などの企業のマーケティングに活用いただいている「撮影アプリ」です。",54,健康と安全,0.332
"時間の経過による抗体の分 さらに、将来的な成長が見込まれる次世代の抗体医薬品である「ADC（抗体薬物複合体）」や「細胞
解・変質などを抑制し、連続的かつ効率的に高品質な原薬を製造することができます。",59,健康と安全,0.3433
"顧客から受託する治療法や治療 私たちは、北米で最大規模の細胞培養バイオ製造施設を一から建築するという素晴らしい機会に
薬を効果的かつ効率的に開発・商業化することで、顧客とともに患者さんのQOL向上に寄与してい 恵まれました。",60,健康と安全,0.3672
"私たちは、患者の生活をより良いものとするため、人々の生命を
ことにより、ほかに類を見ない実績を積み重ねており、従業員やパートナー企業、規制当局、顧客との 支える医薬品の製造設備の稼働を楽しみに、使命感と誇りを持って貢献していきます。",60,健康と安全,0.362
"そのため、中長期的な価値 さらに、先進研究所は、将来を見据えた先端技術研究を目指し、 たり、世界で初めてフルデジタルカメラを開発したりするなど、早い
創出のためには、長期CSR計画「Sustainable Value Plan 技術分野や組織の壁を取り払った“開かれた研究の場”です。",62,健康と安全,0.3006
"また、長年さまざ
2030」の重点分野である「、環境「」健康「」生活「」働き方」におけ 知・創新”による新たな価値の創生」をコンセプトに、各分野の研究 まな事業分野においてAIの研究開発に取り組んできました。",62,健康と安全,0.3946
