sentence,page,topic,similarity
"優れた製品･サービスの提供を通じて､
3 常に世界最高の技術とものづくりの力を追求します。",8,健康と安全,0.337
"4 変化を先取りし､自らの変革に努め､
社会の発展に貢献します。",8,気候変動への適応,0.3411
"4 変化を先取りし､自らの変革に努め､
社会の発展に貢献します。",8,健康と安全,0.3375
発展の歴史 当社グループは､これらを有機的に結合し､ 事業活動を通じた経済的価値､ 社会的価値を創出しています。,11,循環経済,0.3124
発展の歴史 当社グループは､これらを有機的に結合し､ 事業活動を通じた経済的価値､ 社会的価値を創出しています。,11,健康と安全,0.347
発展の歴史 当社グループは､これらを有機的に結合し､ 事業活動を通じた経済的価値､ 社会的価値を創出しています。,11,企業文化,0.3975
"固定資産に相当する資金の調達は､自己資本･長期借入金でカバーして財務の安定性を確保して
生する副生ガスを鋼材加熱や構内発電所のエネルギー源として100%有効活用し､製品や製造設備の います。",11,エネルギー,0.3425
"固定資産に相当する資金の調達は､自己資本･長期借入金でカバーして財務の安定性を確保して
生する副生ガスを鋼材加熱や構内発電所のエネルギー源として100%有効活用し､製品や製造設備の います。",11,水の消費と取水,0.3237
"固定資産に相当する資金の調達は､自己資本･長期借入金でカバーして財務の安定性を確保して
生する副生ガスを鋼材加熱や構内発電所のエネルギー源として100%有効活用し､製品や製造設備の います。",11,健康と安全,0.3461
"また､当社の鉄鋼製品は製造業向け､資源エネルギー分野､土木･建築向け
国内および外国特許出願の厳選を行うとともに､質･量の両面で継続して拡充･蓄積し､事業収益や社 等､産業のあらゆる分野にわたり､お客様における価値創造に役立っています。",11,エネルギー,0.3254
"また､当社の鉄鋼製品は製造業向け､資源エネルギー分野､土木･建築向け
国内および外国特許出願の厳選を行うとともに､質･量の両面で継続して拡充･蓄積し､事業収益や社 等､産業のあらゆる分野にわたり､お客様における価値創造に役立っています。",11,健康と安全,0.3291
"*3 当社が購入するコークスについて、その製造に要するエネルギー消費量
およびCO2排出量を集計に含む。",12,エネルギー,0.3043
"*3 当社が購入するコークスについて、その製造に要するエネルギー消費量
およびCO2排出量を集計に含む。",12,水の消費と取水,0.4477
"*3 当社が購入するコークスについて、その製造に要するエネルギー消費量
およびCO2排出量を集計に含む。",12,海洋資源の採取と利用,0.3139
"*4 サンソセンター3社については、当社グループが購入した酸素の製造に
要するエネルギー消費量およびCO2排出量を集計に含む。",12,エネルギー,0.3291
"*4 サンソセンター3社については、当社グループが購入した酸素の製造に
要するエネルギー消費量およびCO2排出量を集計に含む。",12,水の消費と取水,0.4232
"*4 サンソセンター3社については、当社グループが購入した酸素の製造に
要するエネルギー消費量およびCO2排出量を集計に含む。",12,海洋資源の採取と利用,0.3408
"*4 サンソセンター3社については、当社グループが購入した酸素の製造に
要するエネルギー消費量およびCO2排出量を集計に含む。",12,健康と安全,0.3087
"*3 当社が購入するコークスについて、その製造に要するエネルギー消費量
およびCO2排出量を集計に含む。",12,エネルギー,0.3043
"*3 当社が購入するコークスについて、その製造に要するエネルギー消費量
およびCO2排出量を集計に含む。",12,水の消費と取水,0.4477
"*3 当社が購入するコークスについて、その製造に要するエネルギー消費量
およびCO2排出量を集計に含む。",12,海洋資源の採取と利用,0.3139
"*4 サンソセンター3社については、当社グループが購入した酸素の製造に
要するエネルギー消費量およびCO2排出量を集計に含む。",12,エネルギー,0.3291
"*4 サンソセンター3社については、当社グループが購入した酸素の製造に
要するエネルギー消費量およびCO2排出量を集計に含む。",12,水の消費と取水,0.4232
"*4 サンソセンター3社については、当社グループが購入した酸素の製造に
要するエネルギー消費量およびCO2排出量を集計に含む。",12,海洋資源の採取と利用,0.3408
"*4 サンソセンター3社については、当社グループが購入した酸素の製造に
要するエネルギー消費量およびCO2排出量を集計に含む。",12,健康と安全,0.3087
5 91 年度 7 3 目 7 標 3 7 3 8 い 0 て 現 7 3 9 も 行 D の /E 中 = 長 0.7 期 を- 計 1.上2 画 回 の ら 目 2な0 標 い は こ 、 と 環 5 と 境 8 し 悪 て 化 い 52 時 ま に す お 5 。,12,水の汚染,0.3315
