sentence,page,topic,similarity
"より速く、 で仕事探しを「ボタンを押す」くらい簡単にし、人々がより速く
シンプルに、もっと近くに。",3,健康と安全,0.3197
"より速く、 で仕事探しを「ボタンを押す」くらい簡単にし、人々がより速く
シンプルに、もっと近くに。",3,児童労働,0.327
"」を企業ミッションに掲げ、世界中で 仕事に就けるようにすることで、我々はこの問題の解決に貢献
「個人ユーザーと企業クライアントをより速く簡単につなぐ できると考えています。",3,労働時間,0.3008
"」を企業ミッションに掲げ、世界中で 仕事に就けるようにすることで、我々はこの問題の解決に貢献
「個人ユーザーと企業クライアントをより速く簡単につなぐ できると考えています。",3,健康と安全,0.3412
"」を企業ミッションに掲げ、世界中で 仕事に就けるようにすることで、我々はこの問題の解決に貢献
「個人ユーザーと企業クライアントをより速く簡単につなぐ できると考えています。",3,児童労働,0.3668
"これが、すなわち私たちの長期戦
略であるHelp Businesses Work Smarterです。",7,労働時間,0.3969
"これが、すなわち私たちの長期戦
略であるHelp Businesses Work Smarterです。",7,健康と安全,0.3427
"これが、すなわち私たちの長期戦
略であるHelp Businesses Work Smarterです。",7,児童労働,0.3138
"」を 、桁違い *2023年9月末時点でマッチング&ソリューション事業が日本国内で提供する有料および無料のSaaSサービス別累計アカウント数であり、各サービス登録加盟店舗数および事業所数を指し、
アクティブおよびノンアクティブを含みます。",7,種の個体数,0.3127
"動画を再生する
*1 販促マッチングプラットフォームとSaaSからなるリクルートが提供する仕組みの圏内における *2 顧客当たりの中長期観点での当社プロダクトやサービスの利用数や収益の総量。",7,水の消費と取水,0.3233
"動画を再生する
*1 販促マッチングプラットフォームとSaaSからなるリクルートが提供する仕組みの圏内における *2 顧客当たりの中長期観点での当社プロダクトやサービスの利用数や収益の総量。",7,健康と安全,0.3242
"世界中があっと驚く未来のあたりまえを創りた
になれるとき、人や組織は、より良い未来を い。",11,健康と安全,0.3266
社会の「 不」 を解消し、誰もが自分自身に最適な選択肢と出会える機会を提供すること。,12,生物および食料資源の汚染,0.3012
社会の「 不」 を解消し、誰もが自分自身に最適な選択肢と出会える機会を提供すること。,12,生物多様性の損失,0.3211
社会の「 不」 を解消し、誰もが自分自身に最適な選択肢と出会える機会を提供すること。,12,健康と安全,0.3151
社会の「 不」 を解消し、誰もが自分自身に最適な選択肢と出会える機会を提供すること。,12,平等と機会,0.4449
"時間で給与を受け取れる「Instant Pay」の機能を
できます。",18,適切な賃金,0.424
"時間で給与を受け取れる「Instant Pay」の機能を
できます。",18,労働時間,0.3666
"自分らしいお店づくり、思い描いた事業 日本の人と組織に関する研究を20年以上続
運営ができるように。",21,企業文化,0.3143
"Staffmark Groupは、米国とカナダに
スタッフサービスグループの2社で事業を展開しており、日本で おいて、大企業や中小企業に人材派遣サービスを提供しています。",22,労働時間,0.3019
"Staffmark Groupは、米国とカナダに
スタッフサービスグループの2社で事業を展開しており、日本で おいて、大企業や中小企業に人材派遣サービスを提供しています。",22,健康と安全,0.3789
"Staffmark Groupは、米国とカナダに
スタッフサービスグループの2社で事業を展開しており、日本で おいて、大企業や中小企業に人材派遣サービスを提供しています。",22,児童労働,0.3656
"おける事務職派遣などの分野において強い事業基盤を確立して CSI Companiesは、IT、金融、ヘルスケア、製薬など、幅広い業界の
います。",22,健康と安全,0.3686
"スタッフサービスは、日本各地の地方都市における地元 企業クライアントに向けて、事務職や専門家などの人材派遣サービス
企業との強固な関係をベースに、事務職やエンジニアを含めた を提供しています。",22,健康と安全,0.3252
"今後は、テクノロジー教育に力を入れ
通じて、これまで公平な機会を得られなかった人 います。",23,平等と機会,0.3163
