sentence,page,topic,similarity
"また、経営
2.規範の遵守 •法令や社会規範、社内ルールを遵守し、誠実な企業活動を継続します。",2,健康と安全,0.3479
"また、経営
2.規範の遵守 •法令や社会規範、社内ルールを遵守し、誠実な企業活動を継続します。",2,企業文化,0.3193
"また、経営
2.規範の遵守 •法令や社会規範、社内ルールを遵守し、誠実な企業活動を継続します。",2,ロビー活動,0.3065
"顧客の利便性を
1949 行及び（株）かんぽ生命保険を中心とした 一部に同時上場しました。",3,健康と安全,0.3023
"2012
2001 年 向上のために活用されます。",3,気候変動への適応,0.3226
"2012
2001 年 向上のために活用されます。",3,健康と安全,0.3065
ビリティ重要課題への対応を進め、Well-beingの向 に配置するのかという従来の思考ではなく優秀な人材 していく必要があると考えています。,4,健康と安全,0.3119
"小学校が廃校になったり、地域の産業が撤退してい
まったことについて深くおわびを申し上げるとともに、 環境問題といった社会全般の変化が加速し、事業に 成 長 これらのドライバーにより、成長ステージへの転 力していくかが、社会全体にとっても重要となります。",4,水の汚染,0.301
"小学校が廃校になったり、地域の産業が撤退してい
まったことについて深くおわびを申し上げるとともに、 環境問題といった社会全般の変化が加速し、事業に 成 長 これらのドライバーにより、成長ステージへの転 力していくかが、社会全体にとっても重要となります。",4,生物および食料資源の汚染,0.3327
各事業の直面 性向上に資するサービスの構築と事業成長を図ってい プがいる、そんな未来を創っていきます。,4,健康と安全,0.3206
これらが一定程度進捗する一方で、 する課題や成長機会を踏まえ、収益力の強化及び くこととしました。,4,健康と安全,0.341
これらが一定程度進捗する一方で、 する課題や成長機会を踏まえ、収益力の強化及び くこととしました。,4,平等と機会,0.326
労働人口の減少に伴う人手不足や 国に広がるネットワークを、地域やお客さまにとって大 タル化を通じたサービスレベルの向上、社員の働きや 視点で設定し、ニーズを「先読み」、「後追い」する把握 ネスモデルに取り組んでいるスタートアップ等との協 考えています。,4,児童労働,0.3115
協業だけでなく、地域の公共あるいは公益的なところ に受けられるのは魅力的なことであり、お客さまに 時代において、「人的資本」は競争力の源泉になるもの と信じています。,4,平等と機会,0.3116
ビリティ重要課題への対応を進め、Well-beingの向 に配置するのかという従来の思考ではなく優秀な人材 していく必要があると考えています。,5,健康と安全,0.3119
"小学校が廃校になったり、地域の産業が撤退してい
まったことについて深くおわびを申し上げるとともに、 環境問題といった社会全般の変化が加速し、事業に これらのドライバーにより、成長ステージへの転 力していくかが、社会全体にとっても重要となります。",5,水の汚染,0.3088
"小学校が廃校になったり、地域の産業が撤退してい
まったことについて深くおわびを申し上げるとともに、 環境問題といった社会全般の変化が加速し、事業に これらのドライバーにより、成長ステージへの転 力していくかが、社会全体にとっても重要となります。",5,生物および食料資源の汚染,0.3444
各事業の直面 性向上に資するサービスの構築と事業成長を図ってい プがいる、そんな未来を創っていきます。,5,健康と安全,0.3206
これらが一定程度進捗する一方で、 する課題や成長機会を踏まえ、収益力の強化及び くこととしました。,5,健康と安全,0.341
これらが一定程度進捗する一方で、 する課題や成長機会を踏まえ、収益力の強化及び くこととしました。,5,平等と機会,0.326
労働人口の減少に伴う人手不足や 国に広がるネットワークを、地域やお客さまにとって大 タル化を通じたサービスレベルの向上、社員の働きや 基 視点で設定し、ニーズを「先読み」、「後追い」する把握 ネスモデルに取り組んでいるスタートアップ等との協 考えています。,5,児童労働,0.3099
協業だけでなく、地域の公共あるいは公益的なところ に受けられるのは魅力的なことであり、お客さまに 時代において、「人的資本」は競争力の源泉になるもの と信じています。,5,平等と機会,0.3116
ビリティ重要課題への対応を進め、Well-beingの向 に配置するのかという従来の思考ではなく優秀な人材 していく必要があると考えています。,6,健康と安全,0.3119
"小学校が廃校になったり、地域の産業が撤退してい
まったことについて深くおわびを申し上げるとともに、 環境問題といった社会全般の変化が加速し、事業に これらのドライバーにより、成長ステージへの転 力していくかが、社会全体にとっても重要となります。",6,水の汚染,0.3088
"小学校が廃校になったり、地域の産業が撤退してい
まったことについて深くおわびを申し上げるとともに、 環境問題といった社会全般の変化が加速し、事業に これらのドライバーにより、成長ステージへの転 力していくかが、社会全体にとっても重要となります。",6,生物および食料資源の汚染,0.3444
各事業の直面 性向上に資するサービスの構築と事業成長を図ってい プがいる、そんな未来を創っていきます。,6,健康と安全,0.3206
これらが一定程度進捗する一方で、 する課題や成長機会を踏まえ、収益力の強化及び くこととしました。,6,健康と安全,0.341
これらが一定程度進捗する一方で、 する課題や成長機会を踏まえ、収益力の強化及び くこととしました。,6,平等と機会,0.326
労働人口の減少に伴う人手不足や 国に広がるネットワークを、地域やお客さまにとって大 タル化を通じたサービスレベルの向上、社員の働きや 視点で設定し、ニーズを「先読み」、「後追い」する把握 ネスモデルに取り組んでいるスタートアップ等との協 考えています。,6,児童労働,0.3115
協業だけでなく、地域の公共あるいは公益的なところ に受けられるのは魅力的なことであり、お客さまに 時代において、「人的資本」は競争力の源泉になるもの と信じています。,6,平等と機会,0.3116
画「JP ビジョン2025＋」でお示ししたように、見直しにお ROEを達成し、中長期的にさらなる向上を目指します。,11,健康と安全,0.3105
"物流施設といった「場」のネットワークという側面を有して レンジし、新しい商品・サービスを創造し、より便利、より
います「。",15,健康と安全,0.3039
"店舗」の側面では、商品やサービスの提供を通じ 安心、より快適、より豊かな価値を提供し、日本中のお客さ
てお客さまにより一層の便利と安心を「、場」の側面では、 まの生活と人生を支えることを目指します。",15,健康と安全,0.4045
"の改善 ※貯金・保険に関する事案につきましては、ゆうちょ銀行・かんぽ
生命と連携して、改善に向けた取り組みを進めています。",19,健康と安全,0.3613
"合う」職場の実現を目指し、社員が健康かつ安心して働
加えて、労働人口の減少に伴う人手不足や価値観・ライ き続けられる環境を提供していきます。",20,労働条件,0.3598
"合う」職場の実現を目指し、社員が健康かつ安心して働
加えて、労働人口の減少に伴う人手不足や価値観・ライ き続けられる環境を提供していきます。",20,労働時間,0.3179
"合う」職場の実現を目指し、社員が健康かつ安心して働
加えて、労働人口の減少に伴う人手不足や価値観・ライ き続けられる環境を提供していきます。",20,健康と安全,0.4319
"合う」職場の実現を目指し、社員が健康かつ安心して働
加えて、労働人口の減少に伴う人手不足や価値観・ライ き続けられる環境を提供していきます。",20,児童労働,0.3089
"適切なリスク管理による危機の予兆把握・未然防止、顕在化した場合の早期把握、影響の極小化
そのため、2023年度から、グループの危機管理態勢の 4つ目は、リスク管理の高度化です。",21,健康と安全,0.3256
"また、日本郵便との間で業務委託契約等を締結し、
保険業 開始しました。",27,健康と安全,0.301
"MBRMでは、かんぽ生命が有限責任組合員として出資する旗艦ファンド
0% を組成し、投資対象の規模拡大や投資運用戦略の幅を広げ、新たな投資機会の創出に努めています。",27,海洋資源の採取と利用,0.3122
"これらの郵便局は、地域の 地域と個人のWell-beingの向上
ハブとして、多様な人々や地域の活動をつなぐ身近なタッチポイントとなっています。",31,生物および食料資源の汚染,0.3112
"これらの郵便局は、地域の 地域と個人のWell-beingの向上
ハブとして、多様な人々や地域の活動をつなぐ身近なタッチポイントとなっています。",31,健康と安全,0.3816
"日本郵政グループは、「個人のWell-being」を、健康・安全、経済基盤、キャリア・生きがい、社会参画の4つの視点から
また、郵便・物流ネットワークによる配送を通じてだけでなく、身近な接点である郵便局を活用した情報発信等を とらえています。",31,健康と安全,0.4034
"日本郵政グループは、気候変動への対応をはじめ、資源循環、生物多様性等の課題に対し、サプライチェーン全体で取り
日本郵政グループは「、個人のWell-being」と 組みを進め、低環境負荷社会への貢献を目指します。",31,気候変動への適応,0.4118
"日本郵政グループは、気候変動への対応をはじめ、資源循環、生物多様性等の課題に対し、サプライチェーン全体で取り
日本郵政グループは「、個人のWell-being」と 組みを進め、低環境負荷社会への貢献を目指します。",31,生物および食料資源の汚染,0.3022
"日本郵政グループは、気候変動への対応をはじめ、資源循環、生物多様性等の課題に対し、サプライチェーン全体で取り
日本郵政グループは「、個人のWell-being」と 組みを進め、低環境負荷社会への貢献を目指します。",31,生物多様性の損失,0.3253
"近年ではその対象は高齢者、生活困窮者等にも広がり、多様な人々の生活の質の向上につながる
日本郵政グループは、生産者等と消費者をつなぐ郵便・物流ネットワークと消費者にとって身近な接点である郵便局を ことが期待されています。",32,健康と安全,0.3247
"参加した社員は、日々の業務・ 郵便局を不要品の身近な回収拠点として活用
プライベートな生活のなかでエシカルな行動に取り組みました。",32,ロビー活動,0.3256
"日本郵便では、東京電力ホールディングスとの戦略的提携に基づき、小山郵便局（栃木県）及び沼津郵便局（静岡県）に
グループの温室効果ガス排出量のうち日本郵便と郵便・物流関係の子会社が9割超を占めているため、郵便・荷物の おいて2021年から、EV車両の航続距離延伸を図る実証実験を行っています。",33,エネルギー,0.3218
"日本郵便では、東京電力ホールディングスとの戦略的提携に基づき、小山郵便局（栃木県）及び沼津郵便局（静岡県）に
グループの温室効果ガス排出量のうち日本郵便と郵便・物流関係の子会社が9割超を占めているため、郵便・荷物の おいて2021年から、EV車両の航続距離延伸を図る実証実験を行っています。",33,空気の汚染,0.3033
"この実証実験には三菱自動車工業も参画し、集配用のEV車両だけではなく、商用EV全体の走行性能向上にも
一方で、目標達成のためには、我が国における再生可能エネルギーの普及などカーボンニュートラル化が相当程度 取り組んでおり、日本社会全体のＥＶ普及に貢献しています。",33,エネルギー,0.3407
"これらの実証実験により、自社グループとサプライチェーンの温室
● 温室効果ガス排出量の ● 温室効果ガス排出量可視化ツールの開発に着手 効果ガス排出量削減、社会全体の脱炭素化に貢献し、低環境負荷社会を実現していきます。",33,空気の汚染,0.3147
"※廃植物油などを原料としたバイオディーゼル燃料の1つで「、地球温暖化対策の推進に関する
法律」 上、CO2排出量はゼロ（カーボンニュートラル）となります。",33,空気の汚染,0.3079
"これは、再生可能エネルギーを導入して 日本郵政グループは、大企業・スタートアップ、大学・研究機関、国・自治体、NPO・NGOなど多様なステークホルダーと、
いる郵便局だけではなく、社会全体としても課題となっています。",34,エネルギー,0.3263
"また、日本郵政キャピタルは、アパレル分野でミニマル（最小限の購買）やシェアリング（レンタルで代替）などの新たな 戦 略
建物の省エネ性を高めるとともに、太陽光発電設備及び蓄電池設備を導入し、エネルギー自立が可能な郵便局となります。",34,エネルギー,0.3293
"Nearly ZEBとは「、ZEB」に限りなく近い建物として、従来の建物と比較して50％ 郵便局を回収拠点として活用
以上の省エネルギーを達成しつつ、再生可能エネルギーによる創エネによって年間の一次エネルギー消費量を25％以下とした建物のことです。",34,エネルギー,0.3479
"Nearly ZEBとは「、ZEB」に限りなく近い建物として、従来の建物と比較して50％ 郵便局を回収拠点として活用
以上の省エネルギーを達成しつつ、再生可能エネルギーによる創エネによって年間の一次エネルギー消費量を25％以下とした建物のことです。",34,生物および食料資源の汚染,0.3109
"Nearly ZEBとは「、ZEB」に限りなく近い建物として、従来の建物と比較して50％ 郵便局を回収拠点として活用
以上の省エネルギーを達成しつつ、再生可能エネルギーによる創エネによって年間の一次エネルギー消費量を25％以下とした建物のことです。",34,水の消費と取水,0.3554
"また、SBTiは、WWF、CDP、世界資源研究所 回収・選別から再流通までを一括で担い、
（WRI）、国連グローバル・コンパクトによる共同イニシアティブ。",34,生物および食料資源の汚染,0.3371
"また、SBTiは、WWF、CDP、世界資源研究所 回収・選別から再流通までを一括で担い、
（WRI）、国連グローバル・コンパクトによる共同イニシアティブ。",34,海洋資源の採取と利用,0.3589
"また、SBTiは、WWF、CDP、世界資源研究所 回収・選別から再流通までを一括で担い、
（WRI）、国連グローバル・コンパクトによる共同イニシアティブ。",34,健康と安全,0.3139
"● 2023年度は、特に重視する課題及び関連課題が及ぼすリスクと機会の識別・評価及び管理方法を審議し、
関係部署やグループ各社が連携して適切な対応を行っています。",36,健康と安全,0.3383
"● 2023年度は、特に重視する課題及び関連課題が及ぼすリスクと機会の識別・評価及び管理方法を審議し、
関係部署やグループ各社が連携して適切な対応を行っています。",36,平等と機会,0.3123
"・ 郵便・物流事業
はがきをはじめ、紙製品に関する調達要件を、森林などの自然への影響や人権の尊重の観点で定めています。",36,生物および食料資源の汚染,0.341
"・ 郵便・物流事業
はがきをはじめ、紙製品に関する調達要件を、森林などの自然への影響や人権の尊重の観点で定めています。",36,健康と安全,0.3001
"能力を 強みを
● こうした取り組みで「異なる互いを認め合うこと、能力を高めること、強みを発揮 環境 高める 環境 発揮する 働きやすく、健康的かつライフイベントと仕事の両立ができる、多様な働き方を推進します。",37,健康と安全,0.3396
"さらに、2024年度は、子の看護休暇を請求できる期間を小学校3年生終了時までとすることに加え、介護部分休業の期間を
の抑制」、「生活習慣病の予防・改善に向けた保健指導」、 3年間から5年間への期間延長を行い、両立支援を拡充しました。",38,生物および食料資源の汚染,0.3581
"さらに、2024年度は、子の看護休暇を請求できる期間を小学校3年生終了時までとすることに加え、介護部分休業の期間を
の抑制」、「生活習慣病の予防・改善に向けた保健指導」、 3年間から5年間への期間延長を行い、両立支援を拡充しました。",38,健康と安全,0.3747
"さらに、2024年度は、子の看護休暇を請求できる期間を小学校3年生終了時までとすることに加え、介護部分休業の期間を
の抑制」、「生活習慣病の予防・改善に向けた保健指導」、 3年間から5年間への期間延長を行い、両立支援を拡充しました。",38,児童労働,0.3086
働きやすい環境整備に向けた取り組みを行って 高 2 齢 02 者 1年 の 度 就 よ 業 り定 促 年 進 年齢を65歳へ引き上げました。,38,労働条件,0.3774
働きやすい環境整備に向けた取り組みを行って 高 2 齢 02 者 1年 の 度 就 よ 業 り定 促 年 進 年齢を65歳へ引き上げました。,38,健康と安全,0.3045
働きやすい環境整備に向けた取り組みを行って 高 2 齢 02 者 1年 の 度 就 よ 業 り定 促 年 進 年齢を65歳へ引き上げました。,38,障害者の雇用,0.3186
働きやすい環境整備に向けた取り組みを行って 高 2 齢 02 者 1年 の 度 就 よ 業 り定 促 年 進 年齢を65歳へ引き上げました。,38,児童労働,0.3043
"た
● 関連するすべての法令や社会規範を遵守し、誠実な調達活動を実施します。",41,水の消費と取水,0.3014
"た
● 関連するすべての法令や社会規範を遵守し、誠実な調達活動を実施します。",41,健康と安全,0.375
"● お取引先さまとの良好なコミュニケーションにより、強い信頼関係を築き、共に発展することを
５ 信頼関係の構築 目指します。",41,健康と安全,0.3583
"すべての人生 資する事業や技術 グ
を、守り続けたい。",42,健康と安全,0.3516
"21／3 22／3 23／3 24／3 26／3 ※1：上記目標は、現時点の将来見通しに基づいたものであり、社会動向や技術革新の
今後も適切なリスク管理のもと、運用資産の収益向上を （計画） 状況の変化によって見直す可能性があります。",42,気候変動への適応,0.3264
"21／3 22／3 23／3 24／3 26／3 ※1：上記目標は、現時点の将来見通しに基づいたものであり、社会動向や技術革新の
今後も適切なリスク管理のもと、運用資産の収益向上を （計画） 状況の変化によって見直す可能性があります。",42,健康と安全,0.3319
"再投入するという、社会と企業のサステナビリティの好循
従業員を抱える巨大組織の民営化を成功させるために、 ユニバーサルサービスと企業価値向上の 環を実現させることが当社グループに期待されています。",43,健康と安全,0.3496
"以下の表は、各取締役が有する主なスキル・経験等の分野を
当社グループの持続的な成長と中長期的な企業価値の創出 示したものです。",45,健康と安全,0.3308
"引き続き、当
（注） 1. 取締役と執行役の兼務者に対しては、取締役としての報酬等は支給しておりません。",46,適切な賃金,0.3016
"2. 取締役４名は、主要な連結子会社の取締役及び執行役(員)を兼務しており、主要な連結子会社に属し専ら主要な連結子会社の業務執行を行った期間について、当社取締役
としての報酬等は支給しておりません。",46,水の消費と取水,0.3081
"その保有の狙い・合理性について取締役会において毎年
1. 取締役と執行役を兼務する場合は、執行役としての報酬を支給します。",47,平等と機会,0.3295
法及び関連法令により、被保険者１人について加 ニ．払込保険料総額の加入限度額 なっております。,48,適切な賃金,0.3066
法及び関連法令により、被保険者１人について加 ニ．払込保険料総額の加入限度額 なっております。,48,健康と安全,0.3156
"2 ユニバーサルサービス提供に係るリスク 収益力向上、業務効率化に向けた取り組みが奏功しない、インフレ等事業環境の変化に伴い、ユニバーサル
サービス維持のための費用負担が増大する。",50,気候変動への適応,0.3156
"2 ユニバーサルサービス提供に係るリスク 収益力向上、業務効率化に向けた取り組みが奏功しない、インフレ等事業環境の変化に伴い、ユニバーサル
サービス維持のための費用負担が増大する。",50,健康と安全,0.3189
"● 経営理念・リスクカルチャー 当社グループで取り扱う保険商品や投資信託について、新商品の開発やお客さまの利便性を考慮した営業 資
● 事業環境とトップリスク整理 4 金融商品の営業活動に関するリスク 活動が奏功せず販売実績が低迷し、当社グループの収益が大幅に減少する。",50,健康と安全,0.3106
リスクテイク モニタリング 見直し検討 急激な市場変動により金融２社の経営が悪化し、保有資産の価値が大幅に下落する。,50,生物および食料資源の汚染,0.3142
"担当役員から構成されるグループサイバーセキュリティ 統括する体制としており、取り組み状況について、定期的
利用に伴い生じるリスクを極小化し、グループの経営の 委員会を設置し、グループのサイバーセキュリティ戦略 に取締役会/経営会議に報告しています。",52,健康と安全,0.3774
"− システム構成の最適化を進め、柔軟に対応可能な新たな CSIRTを中心とした対応体制を整備しており、サイバー攻撃などが発生した時に原因の把握を迅速に行い、被害を最小化
IT基盤を構築 すると同時に、経営に対し迅速に報告します。",52,健康と安全,0.3398
"2016年（第36回)に初優勝し、その後2019年（第39回)と2020年 医学博士である「ひろみちお兄さん」こと佐
（第40回)には二連覇を果たしています。",55,生物および食料資源の汚染,0.3204
"2016年（第36回)に初優勝し、その後2019年（第39回)と2020年 医学博士である「ひろみちお兄さん」こと佐
（第40回)には二連覇を果たしています。",55,健康と安全,0.3625
"2016年（第36回)に初優勝し、その後2019年（第39回)と2020年 医学博士である「ひろみちお兄さん」こと佐
（第40回)には二連覇を果たしています。",55,平等と機会,0.3109
"本協定に基づく連携として、今後、 business」を運営する株式会社ティー・プロ・イノベーションでは、子どもたちに交通安全の大 め の
陸上競技をはじめとするスポーツの振興に関する取り組み、子どもの健全育成・教育及び市民の健康増進に関する取り組みなどを実践 切さを伝えるため、2018年から「ぽすくまの親子バイク教室」を開催しています。",56,健康と安全,0.371
"本協定に基づく連携として、今後、 business」を運営する株式会社ティー・プロ・イノベーションでは、子どもたちに交通安全の大 め の
陸上競技をはじめとするスポーツの振興に関する取り組み、子どもの健全育成・教育及び市民の健康増進に関する取り組みなどを実践 切さを伝えるため、2018年から「ぽすくまの親子バイク教室」を開催しています。",56,児童労働,0.3284
"支払利息又は資金調達費用 920 0 9,077 698,339 4,993 713,331 92 713,423
であります。",69,水の消費と取水,0.3109
"支払利息又は資金調達費用 920 0 9,077 698,339 4,993 713,331 92 713,423
であります。",69,適切な賃金,0.3112
"･ ･
信用リスク削減手法とは、担保や保証等の信用リスク削減 した。",72,健康と安全,0.3283
･ ･ 変化等のモニタリングを行っております。,72,気候変動,0.4064
･ ･ 変化等のモニタリングを行っております。,72,気候変動への適応,0.4317
･ ･ 変化等のモニタリングを行っております。,72,気候変動の緩和,0.4094
"なお、加重平均リスク・ウェイトは2023年度末73.99%（2022年度末は75.26%）であり 成
ます。",75,水の汚染,0.315
"なお、加重平均リスク・ウェイトは2023年度末73.99%（2022年度末は75.26%）であり 成
ます。",75,絶滅リスク,0.3565
① 対象役員の報酬等の決定について 記載しておりません。,77,適切な賃金,0.3005
"･ ･ ･ 当社は、当社の役員の報酬体系、報酬等の内容を
（注3）･計測した金利リスクに対し、自己資本の余裕を十分に確保していることを確認しています。",77,適切な賃金,0.3171
"当グループは、法令等で定める保有個人データに関 長
ります。",78,プライバシー,0.4031
"資料編 | 9. 日本郵政グループにおける利益相反管理方針
2 日本郵政グループにおけるお客さまの個人データの共同利用について 日本郵政グループ（以下「当グループ」といいます。",79,プライバシー,0.3329
（2）法令・社会規範の遵守 （6）･お取引先さまへのお願い･ ･ て一切の関係を持たない。,79,水の汚染,0.3005
（2）法令・社会規範の遵守 （6）･お取引先さまへのお願い･ ･ て一切の関係を持たない。,79,生物および食料資源の汚染,0.3331
"・･調達活動において、市民社会の秩序や安全に脅威 める4分野（人権、労働、環境、腐敗防止）10原則
を与える反社会的勢力との関係を遮断します。",79,空気の汚染,0.3089
"・･調達活動において、市民社会の秩序や安全に脅威 める4分野（人権、労働、環境、腐敗防止）10原則
を与える反社会的勢力との関係を遮断します。",79,水の汚染,0.3003
"・･調達活動において、市民社会の秩序や安全に脅威 める4分野（人権、労働、環境、腐敗防止）10原則
を与える反社会的勢力との関係を遮断します。",79,生物および食料資源の汚染,0.3494
"・･調達活動において、市民社会の秩序や安全に脅威 める4分野（人権、労働、環境、腐敗防止）10原則
を与える反社会的勢力との関係を遮断します。",79,健康と安全,0.3301
"・･調達活動において、市民社会の秩序や安全に脅威 める4分野（人権、労働、環境、腐敗防止）10原則
を与える反社会的勢力との関係を遮断します。",79,児童労働,0.3127
"ト
保険が提供する各種サービスは、多くのお客さまにご 認識し、情報セキュリティに配慮した行動に努めます。",80,健康と安全,0.4031
"ト
保険が提供する各種サービスは、多くのお客さまにご 認識し、情報セキュリティに配慮した行動に努めます。",80,プライバシー,0.3675
わたしたちがお取り扱 このためには、不正な侵入による情報の流出、紛失、 責任を果たし、信頼を確保することを定めています。,80,健康と安全,0.3029
わたしたちがお取り扱 このためには、不正な侵入による情報の流出、紛失、 責任を果たし、信頼を確保することを定めています。,80,プライバシー,0.3229
"） 成
（2）概要（計測手法の種類、信頼水準、保有期間、観測期間、PDの前提及びエクスポージャーのネッティングの方法を含む。",82,労働時間,0.3104
"以 ー
下11.及び12.において同じ。",85,水の汚染,0.3206
"以 ー
下11.及び12.において同じ。",85,生物および食料資源の汚染,0.3484
"以 ー
下11.及び12.において同じ。",85,水の消費と取水,0.3351
"以 ー
下11.及び12.において同じ。",85,健康と安全,0.4437
"以 ー
下11.及び12.において同じ。",85,平等と機会,0.3694
