sentence,page,topic,similarity
"このPDFファイルは、関連する ウ ェ ブサ イ ト や 動画 ペ ー ジ に
豊田自動織機グループの経営方針に加え、事業、環境、社会、コーポレート・ガバナンスの リンクしています。",4,健康と安全,0.329
"参考にした ● ISO26000 またQRコードをスマートフォンで読み取ると、関連するサイト
● 環境省「環境会計ガイドライン2005年版」 をご覧いただけます。",4,循環経済,0.3387
"1）特定の販売先への依存度（、2）商品開発力（、3）知的財産権（、4）商品の欠陥（、5）価格
＊ ： 自社調べ。",4,生物多様性の損失,0.3435
"そして、その実施と継続性を確保するために必要なしくみづくり、人づくりにおいて、ITデジタルを積極
これまでの取り組みを通じて築いてきた当社の強みを、今後ますますそのスタイルや価値が変わって 的に活用し、基盤固めに取り組んでまいります。",6,健康と安全,0.3086
"ソリューションでは、国内のいわゆる物流2024年問題をはじめとする働き方改革などの大きな変化や、
二つ目は、ソリューション分野での貢献です 。",6,気候変動,0.3103
"ソリューションでは、国内のいわゆる物流2024年問題をはじめとする働き方改革などの大きな変化や、
二つ目は、ソリューション分野での貢献です 。",6,気候変動への適応,0.3122
"ソリューションでは、国内のいわゆる物流2024年問題をはじめとする働き方改革などの大きな変化や、
二つ目は、ソリューション分野での貢献です 。",6,水の汚染,0.301
"当社は、M&Aの活用なども通じて
人づくり、信頼性を高めた量産品のつくり込みの経験を土台に、販売、サービスなどのバリューチェーンの 製品の総合力を一層高め、事業力の強化と企業価値の向上を実現させていきます。",6,健康と安全,0.3428
"物流ソリューション事業を中心に、内部投資・バリューチェーン 環境への取り組みに関しては、さらなる生産面における環境技術の導入、環境貢献製品の開発と生産・販売
開発に加え、次世代の成長を実現するために積極的なM&Aも活用することで、成長を加速していきたいと を通じて、カーボンニュートラル実現への取り組みをさらに推進したいと考えています。",7,気候変動への適応,0.3083
"物流ソリューション事業を中心に、内部投資・バリューチェーン 環境への取り組みに関しては、さらなる生産面における環境技術の導入、環境貢献製品の開発と生産・販売
開発に加え、次世代の成長を実現するために積極的なM&Aも活用することで、成長を加速していきたいと を通じて、カーボンニュートラル実現への取り組みをさらに推進したいと考えています。",7,生物および食料資源の汚染,0.3443
"物流ソリューション事業を中心に、内部投資・バリューチェーン 環境への取り組みに関しては、さらなる生産面における環境技術の導入、環境貢献製品の開発と生産・販売
開発に加え、次世代の成長を実現するために積極的なM&Aも活用することで、成長を加速していきたいと を通じて、カーボンニュートラル実現への取り組みをさらに推進したいと考えています。",7,水の消費と取水,0.3031
"物流ソリューション事業を中心に、内部投資・バリューチェーン 環境への取り組みに関しては、さらなる生産面における環境技術の導入、環境貢献製品の開発と生産・販売
開発に加え、次世代の成長を実現するために積極的なM&Aも活用することで、成長を加速していきたいと を通じて、カーボンニュートラル実現への取り組みをさらに推進したいと考えています。",7,海洋資源の採取と利用,0.3311
"物流ソリューション事業を中心に、内部投資・バリューチェーン 環境への取り組みに関しては、さらなる生産面における環境技術の導入、環境貢献製品の開発と生産・販売
開発に加え、次世代の成長を実現するために積極的なM&Aも活用することで、成長を加速していきたいと を通じて、カーボンニュートラル実現への取り組みをさらに推進したいと考えています。",7,健康と安全,0.3296
"ワーク ・ウェアハウスマネジメントシステムなどソフトウェアの開発力 商品開発は日本・北米・欧州の3極で行い、地域のニーズや特性 また、お客様の現場の安全に貢献する商品を継続
＊１： 自社調べ。",13,健康と安全,0.3146
"に合った商品をそれぞれの地域で生産・販売することを基本とし、 してご提案するとともに、省エネ性能の向上や電動車の
機会 お客様に商品をスピーディにお届けしています。",13,健康と安全,0.3311
"2023年のフォークリフト市場は、前年までの高水準な需要は落ち着きをみせたものの引き続き堅調に推移し、200万台程度 トヨタブランドでは、市場の電動化ニーズに応える電動
となりました。",14,水の消費と取水,0.3003
"フォーク リフトについては、屋外での使用に耐えることができる新しい
リフトの分野では、各地域で商品ラインナップの拡充に取り組むとともに、外部機関などとも連携した自動運転分野の開発を推進 48Vと80Vの商品の販売を開始しました。",14,健康と安全,0.3361
"IT技術を活用したサービスの強化や安全性向上、電動化など環境面の競争力強化にも取り組み、お客様のニーズ を背景とした物流自動化ニーズの高まりに対し、大規模な
により的確に対応できるよう努めています。",14,気候変動への適応,0.3424
"IT技術を活用したサービスの強化や安全性向上、電動化など環境面の競争力強化にも取り組み、お客様のニーズ を背景とした物流自動化ニーズの高まりに対し、大規模な
により的確に対応できるよう努めています。",14,健康と安全,0.3975
こうした中、当社は、前年から により、欧州全拠点での再生可能エネルギー電力への切り される新たな中継点（物流結節点）でのトラック荷役作業の しています。,15,エネルギー,0.3657
"変化や新排ガス規制の影響もあり、前年度を11%下回る販売 今後も、物流現場の多様なニーズにお応えするトータル
■Vanderlande社 回復し、複数の大型受注も獲得することができました。",15,気候変動,0.3233
"変化や新排ガス規制の影響もあり、前年度を11%下回る販売 今後も、物流現場の多様なニーズにお応えするトータル
■Vanderlande社 回復し、複数の大型受注も獲得することができました。",15,気候変動への適応,0.388
"変化や新排ガス規制の影響もあり、前年度を11%下回る販売 今後も、物流現場の多様なニーズにお応えするトータル
■Vanderlande社 回復し、複数の大型受注も獲得することができました。",15,気候変動の緩和,0.3507
"Vanderlande社製 セキュリティスクリーニングシステム
Asia, Latin America, Oceania, Middle East, Africaの略。",15,健康と安全,0.317
近年、労働力不足やeコマース市場拡大に伴う荷量の増加 リフトやAGV(無人搬送車)などの物流システムから、大型EC 製造、物流、食品まで幅広い業種向けに提供しています。,15,健康と安全,0.3045
"特に 欧州では、TMHEと連携し中小案件を複数受注、北米でも
などを背景に、物流業界ではより効率的なオペレーションが 物流センター対応の最先端物流システムに至るまで製品ライン 保管と輸送など、複数の工程を最適な物流機器とソフトウェア Bastian社と連携を積極的に進め、実績を積み重ねています。",15,健康と安全,0.3004
・環境規制の緩和による、省エネ商品に対する購買意欲の減退 ・サプライチェーン（供給網）の寸断による生産の停止 橋梁で接続したことで、周辺道路の交通量の緩和が期待されます。,16,生物および食料資源の汚染,0.3632
・環境規制の緩和による、省エネ商品に対する購買意欲の減退 ・サプライチェーン（供給網）の寸断による生産の停止 橋梁で接続したことで、周辺道路の交通量の緩和が期待されます。,16,水の消費と取水,0.3483
"当社開発のツインターボを採用すること
カーエアコン用コンプレッサーの市場は、自動車生産現場 増加し、持続的に成長を続けていくと予想されます。",17,健康と安全,0.3204
地域、国の燃費・排気規制に対応することでアジア・中南米を ＊1： Innovative International Multipurpose Vehicleの略。,17,気候変動への適応,0.3501
地域、国の燃費・排気規制に対応することでアジア・中南米を ＊1： Innovative International Multipurpose Vehicleの略。,17,空気の汚染,0.3276
地域、国の燃費・排気規制に対応することでアジア・中南米を ＊1： Innovative International Multipurpose Vehicleの略。,17,生物および食料資源の汚染,0.3138
地域、国の燃費・排気規制に対応することでアジア・中南米を ＊1： Innovative International Multipurpose Vehicleの略。,17,水の消費と取水,0.3201
"TNGA＊2の考え方に基づいて開発され Engine India Pvt. Ltd（. TIEI）でもM15A型(1.5L)および 60
たこれらのエンジンは高い走行性能と環境性能を両立させて M20A型(2.0L)の生産を2022年8月より開始しています。",17,気候変動への適応,0.3002
"TNGA＊2の考え方に基づいて開発され Engine India Pvt. Ltd（. TIEI）でもM15A型(1.5L)および 60
たこれらのエンジンは高い走行性能と環境性能を両立させて M20A型(2.0L)の生産を2022年8月より開始しています。",17,空気の汚染,0.3386
"TNGA＊2の考え方に基づいて開発され Engine India Pvt. Ltd（. TIEI）でもM15A型(1.5L)および 60
たこれらのエンジンは高い走行性能と環境性能を両立させて M20A型(2.0L)の生産を2022年8月より開始しています。",17,水の汚染,0.3048
"TNGA＊2の考え方に基づいて開発され Engine India Pvt. Ltd（. TIEI）でもM15A型(1.5L)および 60
たこれらのエンジンは高い走行性能と環境性能を両立させて M20A型(2.0L)の生産を2022年8月より開始しています。",17,生物および食料資源の汚染,0.3372
"TNGA＊2の考え方に基づいて開発され Engine India Pvt. Ltd（. TIEI）でもM15A型(1.5L)および 60
たこれらのエンジンは高い走行性能と環境性能を両立させて M20A型(2.0L)の生産を2022年8月より開始しています。",17,水の消費と取水,0.3022
