sentence,page,topic,similarity
"日立のさらなる成長を実現する「Value Creation」、それを支える「Business Sustainability」、そして、企業価値創出の源泉である「Corporate Governance」
の3つのパートで構成しています。",3,健康と安全,0.3124
"他社にない社会イノベーション事業の強みをつくるためにはデジタル化の加速が不可欠と考え、2016年に
「Lumada 」を立ち上げました。",8,健康と安全,0.3097
"DX、GXの追い風を生かしたトップライン成長、Lumada事業の拡大による利益率向上、リスクマネジメント
強化 による当期利益の安定化、そして最も重視しているキャッシュ創出力 の強化に取り組んできました。",8,健康と安全,0.3032
"日立は、このような社会課題
を解決すべく、生成AI時代に沿った、IT×OT×プロダクトを活用したOne Hitachiでのソリューションを展開していきます。",10,健康と安全,0.3235
"これからのリーダーに求められる役割は、One Hitachiでのチーム戦を世界中で展開するために、従業員一人一人がもつそれぞれの「ワクワク
すること「」やりたいこと」を一つの強いエネルギーにすることです。",12,エネルギー,0.3673
"そして、社会イノベーション事業の基盤となるデジタル技術や ンの創出（PLAN：右上）から始まり、IT×OT×プロダクトを組み合わせたソリューションの実装
ナレッジ、ビジネスモデルなどを結集した仕掛け・仕組みがLumada です。",14,健康と安全,0.3146
"これまでに日立エナ システム開発の分野 では、ミッションクリティカルなシステム開発の知見と生成AIとを組
ジー、日立レール、GlobalLogic、Hitachi Vantara、Hitachi Digital Services各社CEOを み合わせ、高い品質を確保しながらシステム開発の生産性向上に取り組んでいます。",15,健康と安全,0.3078
"2024年度からは、日立デジタル やプロダクトのナレッジやデータと生成AIをかけ合わせ、フロントラインワーカーの生産性向
やGlobalLogic、Hitachi Digital 上に向けた取り組み も始めています。",15,健康と安全,0.3571
"さらに、NVIDIA DGX BasePOD™の認定を取得した
的なデジタルソリューションを、Hitachi Vantara、Hitachi Digital Servicesによる高信頼・高効 「Hitachi iQ 」を新たに開発し、生成AI基盤の強化も継続的に推進しています。",17,健康と安全,0.3572
"また、データセンターなどの 国初となる完全自動運転都市鉄道システムをホノルルで運行開始 し、ボルチモアをはじめと
新たな成長セグメントへの進出においては、DSSセクターと協業し、さらなる製品・サービスの した各都市への鉄道システムの納入を進めています。",19,健康と安全,0.3518
"また、新たな成長軌道に向けて、高成長の製造・ヘルスケア・ 「産業系プロダクト＋ターゲット市場向けインテグレーション」の強化で Lumada 事業を拡大
サービス分野に投資を集中していきます。",21,健康と安全,0.3907
"安全安心な モビリティ、セキュリティ分野などのソリューション提供を通じて、
社会づくりに貢献 人々の快適で活動的な生活の実現に貢献します。",23,健康と安全,0.5533
"社会環境の変化およびステークホ 豊かな人生に貢献 未来をより大きく花開かせる大地であるという思いから、従業員
の幸せとウェルビーイングの実現を追求し続けます。",23,健康と安全,0.3266
"生き生きと活躍できる お互いを尊重し、あらゆる違いに価値を置くことを通じて、市
ナビリティへの取り組みをグループ全体で推進しています。",23,生物多様性の損失,0.3065
"生き生きと活躍できる お互いを尊重し、あらゆる違いに価値を置くことを通じて、市
ナビリティへの取り組みをグループ全体で推進しています。",23,健康と安全,0.3051
"生き生きと活躍できる お互いを尊重し、あらゆる違いに価値を置くことを通じて、市
ナビリティへの取り組みをグループ全体で推進しています。",23,平等と機会,0.3005
"ネジメントのトップダウンと従業員からのボトムアップに加え、地域および年齢横断的な複数の
2050年度までにバリューチェーンを通じてカーボンニュートラル達成という目標は日立1社では アプローチが重要となります。",25,生物および食料資源の汚染,0.3398
"社会課題の解決にはテクノロジーの進化が不可欠ですが、生成AIの出現やそれに伴う電力需 組織横断のOne Hitachiでのサステナビリティへの取り組みや投資は、中長期的なリターンの
要の増大など、大きな社会変化への対応も必要です。",25,気候変動への適応,0.3218
"社会課題の解決にはテクノロジーの進化が不可欠ですが、生成AIの出現やそれに伴う電力需 組織横断のOne Hitachiでのサステナビリティへの取り組みや投資は、中長期的なリターンの
要の増大など、大きな社会変化への対応も必要です。",25,健康と安全,0.315
"そのために日立は、マテリアリティ評価を 向上や、リスク低減による資本コストの低減にもつながり、日立全体のイノベーションの創出や
継続的に見直すことでサステナビリティへの対応力を高めます。",25,健康と安全,0.3007
"テクノロジーを活用し、データを用いた経営および事業運営の効率化
また、テクノロジーの進化とサステナブル社会を両立するためには、バリューチェーン全体へ に加え、サステナビリティ開示基準への対応を含む透明性の確保にも取り組んでいきます。",25,健康と安全,0.3513
取り組みの一例として、One Hitachi コラボレーション・ワークショップ*1 が挙げられます。,27,労働時間,0.3262
"後は①キャッシュ創出力の強化、②規律ある成長投資の支援、 コアFCFの増加に関する4つのKPIとして「売上成長「」利益
③成長と還元においてバランスの取れたキャピタルアロケー 率「」キャッシュ効率「」CFPS成長」を設定しています。",28,健康と安全,0.3335
"この結果、1株当たりのコアFCFであ 拡大と事業ポートフォリオ見直しによる向上に加え、デジタル
るCFPSが年率で22%成長する見込みとなっています。",29,健康と安全,0.3015
"ROIC（Return on Invested Capital、投下資本利益率）10％
ています。",29,生物および食料資源の汚染,0.3105
"日立では執行役社長兼CEOを議長、CRMO（Chief Risk Management 日立は2021年2月にAI倫理原則を定め、AI倫理の観点からリスク管理を図るAIガバナンス
Officer）を 副議長とした「リスクマネジメント会議」において、事業環境を定量面・定性面から の仕組みの整備を推進しています。",32,健康と安全,0.3212
2024年度からブリス・コッホ執行役副社長がCSO（Chief Strategy Officer）と 守るとともに、社会イノベーション事業のグローバル成長を加速します。,32,健康と安全,0.3031
"CRMOを兼務し、各地域の成長機会を取り込んだ全社の地域戦略とグローバルリスクを捉えた 本ポリシーの定着に向け、グループガバナンスの状況や課題の見える化を各BUにて行うため
経営戦略の両輪で、One Hitachiでのグローバル成長を加速していきます。",32,気候変動への適応,0.3023
