sentence,page,topic,similarity
"本報告では、三菱電機グループが取り組む価値
005 社長メッセージ 64 気候変動対策の取組み（TCFD に基づく開示） 創出に向けた活動を、今後の方針や戦略も含めて具体的に掲載しています。",2,気候変動への適応,0.3396
"私たちの価値観 コミットメント
信 頼： 社会・顧客・株主・取引先、及び共に働く従業員との信頼関係を大切にする。",3,労働時間,0.3297
"私たちの価値観 コミットメント
信 頼： 社会・顧客・株主・取引先、及び共に働く従業員との信頼関係を大切にする。",3,健康と安全,0.3132
"私たちの価値観 コミットメント
信 頼： 社会・顧客・株主・取引先、及び共に働く従業員との信頼関係を大切にする。",3,児童労働,0.3047
品 質： 社会と顧客の満足が得られる製品・サービスを最高の品質で提供する。,3,生物および食料資源の汚染,0.3288
品 質： 社会と顧客の満足が得られる製品・サービスを最高の品質で提供する。,3,水の消費と取水,0.3244
品 質： 社会と顧客の満足が得られる製品・サービスを最高の品質で提供する。,3,健康と安全,0.429
品 質： 社会と顧客の満足が得られる製品・サービスを最高の品質で提供する。,3,文化的権利,0.319
品 質： 社会と顧客の満足が得られる製品・サービスを最高の品質で提供する。,3,企業文化,0.3386
技 術： 技術力・現場力の向上を図り、新たな価値を提供する。,3,エネルギー,0.3614
技 術： 技術力・現場力の向上を図り、新たな価値を提供する。,3,健康と安全,0.3192
"“Changes for the Better”は「常により良いものをめざし、変革して
倫理・遵法： 社会規範及び法令を遵守し、高い倫理観を持ち行動する。",3,気候変動への適応,0.3121
"“Changes for the Better”は「常により良いものをめざし、変革して
倫理・遵法： 社会規範及び法令を遵守し、高い倫理観を持ち行動する。",3,健康と安全,0.3615
環 境： 自然との調和を図り、地球環境の保護と向上に努める。,3,気候変動,0.3172
環 境： 自然との調和を図り、地球環境の保護と向上に努める。,3,気候変動への適応,0.4015
環 境： 自然との調和を図り、地球環境の保護と向上に努める。,3,気候変動の緩和,0.324
環 境： 自然との調和を図り、地球環境の保護と向上に努める。,3,エネルギー,0.3018
環 境： 自然との調和を図り、地球環境の保護と向上に努める。,3,空気の汚染,0.3556
環 境： 自然との調和を図り、地球環境の保護と向上に努める。,3,水の汚染,0.3205
環 境： 自然との調和を図り、地球環境の保護と向上に努める。,3,土壌汚染,0.3528
環 境： 自然との調和を図り、地球環境の保護と向上に努める。,3,生物および食料資源の汚染,0.4071
環 境： 自然との調和を図り、地球環境の保護と向上に努める。,3,水の消費と取水,0.321
環 境： 自然との調和を図り、地球環境の保護と向上に努める。,3,海洋資源の使用,0.3102
環 境： 自然との調和を図り、地球環境の保護と向上に努める。,3,海洋資源の採取と利用,0.3617
環 境： 自然との調和を図り、地球環境の保護と向上に努める。,3,循環経済,0.3261
環 境： 自然との調和を図り、地球環境の保護と向上に努める。,3,健康と安全,0.428
環 境： 自然との調和を図り、地球環境の保護と向上に努める。,3,平等と機会,0.3509
環 境： 自然との調和を図り、地球環境の保護と向上に努める。,3,動物福祉,0.3031
社 会： 企業市民として、より良い社会づくりに貢献する。,3,水の汚染,0.3119
社 会： 企業市民として、より良い社会づくりに貢献する。,3,健康と安全,0.3696
社 会： 企業市民として、より良い社会づくりに貢献する。,3,企業文化,0.3482
"「Serendie」は、偶然の巡り合い
がもたらすひらめきを意味するSerendipity（セレンディピティ）と、Digital Engineering（デジタル・エンジニアリング）を掛け合わせた造語です。",6,健康と安全,0.3001
"本事業の一例としては、デジタル技術によりお客様から得られるデータを蓄積・解析し、エネルギーとファシリティーに関するお客様の課題をまるごと解決す
るE&F（Energy & Facility）ソリューションが挙げられます。",6,エネルギー,0.406
"本事業の一例としては、デジタル技術によりお客様から得られるデータを蓄積・解析し、エネルギーとファシリティーに関するお客様の課題をまるごと解決す
るE&F（Energy & Facility）ソリューションが挙げられます。",6,水の消費と取水,0.4168
"本事業の一例としては、デジタル技術によりお客様から得られるデータを蓄積・解析し、エネルギーとファシリティーに関するお客様の課題をまるごと解決す
るE&F（Energy & Facility）ソリューションが挙げられます。",6,海洋資源の採取と利用,0.3236
"本事業の一例としては、デジタル技術によりお客様から得られるデータを蓄積・解析し、エネルギーとファシリティーに関するお客様の課題をまるごと解決す
るE&F（Energy & Facility）ソリューションが挙げられます。",6,健康と安全,0.3828
"「Serendie」は、偶然の巡り合い
がもたらすひらめきを意味するSerendipity（セレンディピティ）と、Digital Engineering（デジタル・エンジニアリング）を掛け合わせた造語です。",7,健康と安全,0.3001
"本事業の一例としては、デジタル技術によりお客様から得られるデータを蓄積・解析し、エネルギーとファシリティーに関するお客様の課題をまるごと解決す
るE&F（Energy & Facility）ソリューションが挙げられます。",7,エネルギー,0.406
"本事業の一例としては、デジタル技術によりお客様から得られるデータを蓄積・解析し、エネルギーとファシリティーに関するお客様の課題をまるごと解決す
るE&F（Energy & Facility）ソリューションが挙げられます。",7,水の消費と取水,0.4168
"本事業の一例としては、デジタル技術によりお客様から得られるデータを蓄積・解析し、エネルギーとファシリティーに関するお客様の課題をまるごと解決す
るE&F（Energy & Facility）ソリューションが挙げられます。",7,海洋資源の採取と利用,0.3236
"本事業の一例としては、デジタル技術によりお客様から得られるデータを蓄積・解析し、エネルギーとファシリティーに関するお客様の課題をまるごと解決す
るE&F（Energy & Facility）ソリューションが挙げられます。",7,健康と安全,0.3828
"「Serendie」は、偶然の巡り合い
がもたらすひらめきを意味するSerendipity（セレンディピティ）と、Digital Engineering（デジタル・エンジニアリング）を掛け合わせた造語です。",8,健康と安全,0.3001
"本事業の一例としては、デジタル技術によりお客様から得られるデータを蓄積・解析し、エネルギーとファシリティーに関するお客様の課題をまるごと解決す
るE&F（Energy & Facility）ソリューションが挙げられます。",8,エネルギー,0.406
"本事業の一例としては、デジタル技術によりお客様から得られるデータを蓄積・解析し、エネルギーとファシリティーに関するお客様の課題をまるごと解決す
るE&F（Energy & Facility）ソリューションが挙げられます。",8,水の消費と取水,0.4168
"本事業の一例としては、デジタル技術によりお客様から得られるデータを蓄積・解析し、エネルギーとファシリティーに関するお客様の課題をまるごと解決す
るE&F（Energy & Facility）ソリューションが挙げられます。",8,海洋資源の採取と利用,0.3236
"本事業の一例としては、デジタル技術によりお客様から得られるデータを蓄積・解析し、エネルギーとファシリティーに関するお客様の課題をまるごと解決す
るE&F（Energy & Facility）ソリューションが挙げられます。",8,健康と安全,0.3828
"「Serendie」は、偶然の巡り合い
がもたらすひらめきを意味するSerendipity（セレンディピティ）と、Digital Engineering（デジタル・エンジニアリング）を掛け合わせた造語です。",9,健康と安全,0.3001
"本事業の一例としては、デジタル技術によりお客様から得られるデータを蓄積・解析し、エネルギーとファシリティーに関するお客様の課題をまるごと解決す
るE&F（Energy & Facility）ソリューションが挙げられます。",9,エネルギー,0.406
"本事業の一例としては、デジタル技術によりお客様から得られるデータを蓄積・解析し、エネルギーとファシリティーに関するお客様の課題をまるごと解決す
るE&F（Energy & Facility）ソリューションが挙げられます。",9,水の消費と取水,0.4168
"本事業の一例としては、デジタル技術によりお客様から得られるデータを蓄積・解析し、エネルギーとファシリティーに関するお客様の課題をまるごと解決す
るE&F（Energy & Facility）ソリューションが挙げられます。",9,海洋資源の採取と利用,0.3236
"本事業の一例としては、デジタル技術によりお客様から得られるデータを蓄積・解析し、エネルギーとファシリティーに関するお客様の課題をまるごと解決す
るE&F（Energy & Facility）ソリューションが挙げられます。",9,健康と安全,0.3828
