sentence,page,topic,similarity
"2024
「統合報告書 」を通じて、私たちの成長戦略と価値創造力をご理解いただければ幸いです。",3,健康と安全,0.3075
言わずもがな、そうして供給された電力は我々の製 関連の需要、特に熱マネジメントや電力供給を止めない います。,5,エネルギー,0.3603
言わずもがな、そうして供給された電力は我々の製 関連の需要、特に熱マネジメントや電力供給を止めない います。,5,生物および食料資源の汚染,0.3195
言わずもがな、そうして供給された電力は我々の製 関連の需要、特に熱マネジメントや電力供給を止めない います。,5,水の消費と取水,0.4075
"その例と このように我々の社会では、動力から熱へ、熱から電 当社は祖業である 用モータを皮切りに、空冷 多様なソリューションを提供し 社会の実現を支えて
して冷却システムやファンモータといった熱マネジメント 力へ、電力から動力へと、エネルギーが次々と転換して ファン、水冷モジュールと顧客のニーズを取り込みな いきます。",5,気候変動への適応,0.3204
"その例と このように我々の社会では、動力から熱へ、熱から電 当社は祖業である 用モータを皮切りに、空冷 多様なソリューションを提供し 社会の実現を支えて
して冷却システムやファンモータといった熱マネジメント 力へ、電力から動力へと、エネルギーが次々と転換して ファン、水冷モジュールと顧客のニーズを取り込みな いきます。",5,エネルギー,0.3391
"その例と このように我々の社会では、動力から熱へ、熱から電 当社は祖業である 用モータを皮切りに、空冷 多様なソリューションを提供し 社会の実現を支えて
して冷却システムやファンモータといった熱マネジメント 力へ、電力から動力へと、エネルギーが次々と転換して ファン、水冷モジュールと顧客のニーズを取り込みな いきます。",5,水の消費と取水,0.3352
"AI NIDEC
に関わる製品群・技術があります。",5,健康と安全,0.3544
人種も国籍もバッグ は、 グループが有する多様な人材を分析・発掘 使命であると認識しています。,7,種の個体数,0.3644
人種も国籍もバッグ は、 グループが有する多様な人材を分析・発掘 使命であると認識しています。,7,平等と機会,0.3011
ト、発電・蓄電・充電・変電）や未来の柱となる つの事 あり続けられるよう日々努めていきます。,7,エネルギー,0.3363
"これまで創業者である永守の経営哲学 に追求するための取り組みが「 コミッ
や企業文化を受け継いでいく中、従業員一人ひとりが ティ」です。",7,企業文化,0.3444
"M&A
積極的な と自律成長を通じて世の中になくてはならない製品を次々と送り出すことで、暮らしや産業の発展に寄与したいと考えています。",10,生物および食料資源の汚染,0.3757
"M&A
積極的な と自律成長を通じて世の中になくてはならない製品を次々と送り出すことで、暮らしや産業の発展に寄与したいと考えています。",10,健康と安全,0.4457
こうした資本配分が更なるキャッ で製造工程および設備に対する安全確認 を持ち、各技術やノウハウを有機的に結合 た、次の 年を見据えた集団経営体制を た、 サプライヤー セルフアセス 認定を取得しています。,12,健康と安全,0.3488
"社会的課題解決への道筋が一致していること」が大前提で セスで使用するエネルギーと資源の使用量を最小化する責務
ある今日、当社を取り巻く様々な声にこれまで以上に耳を があります。",14,水の消費と取水,0.303
"社会的課題解決への道筋が一致していること」が大前提で セスで使用するエネルギーと資源の使用量を最小化する責務
ある今日、当社を取り巻く様々な声にこれまで以上に耳を があります。",14,海洋資源の使用,0.3053
なお、マテリアリティや取り組みテーマ、 は今後の事業環境に応じて妥当性を考慮し、内容を 環境 電 動パワーステアリング用モータ（ EPS-PP/ 用駆動モータの開発・生産体制を整備。,15,マイクロプラスチック,0.3048
なお、マテリアリティや取り組みテーマ、 は今後の事業環境に応じて妥当性を考慮し、内容を 環境 電 動パワーステアリング用モータ（ EPS-PP/ 用駆動モータの開発・生産体制を整備。,15,健康と安全,0.341
抽出された優先課題は取締役 の削減 提言に沿った気候変動シナリオの年 り組みを推進。,15,気候変動への適応,0.3385
