sentence,page,topic,similarity
"過去 年間に、非コア事業の分社化や譲渡を実施
し、成長領域への経営資源の集中と効率化が進(cid:7743)した結果、収益性が向上しています。",8,海洋資源の採取と利用,0.3532
"お客様向けサービスを
管理するソリューション）、CRM（Customer Relationship Management。",14,水の消費と取水,0.3269
"お客様向けサービスを
管理するソリューション）、CRM（Customer Relationship Management。",14,健康と安全,0.327
"お客様向けサービスを
管理するソリューション）、CRM（Customer Relationship Management。",14,児童労働,0.3367
"を中心とするテクノロジーをもっとス 化がさらに進むほか、システムの保守・運用のしやすさ、シ
ピーディに実用化しなければなりません。",14,健康と安全,0.3669
"独自のテクノロ ステム更新・改版を通じた環境変化への対応力やスピード 幾度も壁を乗り越える中で得た
ジーを Fujitsu Uvance に融合してお客様に提供する付加 も格段に上がります。",14,気候変動への適応,0.338
"特に通称「 3S 」、すなわち SAP 、
た取り組みを通じてどのように品質が改善しているか、デー ServiceNow 、 Salesforce*2を導入する過程で当社が 私は確信しています。",14,健康と安全,0.3912
2024 年 4 月に、私に加え 5 人の副社長 私たちは挑戦し続けなければ です。,15,水の汚染,0.3063
5 人がチームとして協力し、 げ、社員の行動変容を促し続けることです。,15,児童労働,0.3247
"• GDCにおける人材リソースマネジメントの高度化とリスキリング 59%から64%に、オフショア化率（＝GDC活用率）を11% • JGG・開発基盤の活用で標準化・自動化が拡大 • 商 談状況に応じて効率的・機動的にリソースをアサ
• GDC／ジャパン・グローバルゲートウェイ（JGG）の人員規模とケ から18%に、標準化・自動化適用を30%から45%に引き • モダナイゼーション需要に対応するためのリソース インする体制を強化する。",19,水の消費と取水,0.302
"• GDCにおける人材リソースマネジメントの高度化とリスキリング 59%から64%に、オフショア化率（＝GDC活用率）を11% • JGG・開発基盤の活用で標準化・自動化が拡大 • 商 談状況に応じて効率的・機動的にリソースをアサ
• GDC／ジャパン・グローバルゲートウェイ（JGG）の人員規模とケ から18%に、標準化・自動化適用を30%から45%に引き • モダナイゼーション需要に対応するためのリソース インする体制を強化する。",19,海洋資源の採取と利用,0.3372
*2 Vertical areasのクロスインダストリーのサービスを支えるDigital Shifts、Business Applications、Hybrid ITの3つのテクノロジー基盤。,19,気候変動への適応,0.3298
社内人材のリスキリングと人材採用を強化 • さらなる戦略アライアンスを推進する。,20,海洋資源の採取と利用,0.3506
"• 価 値ベースのプライシング戦略をグローバル
• グローバルな市場からの人材獲得を加速する。",20,海洋資源の採取と利用,0.3153
"• CQO・CISOの統率の下で情報セキュリティや品質マネジメントをお客様フロント組織全 利益率は前年度比4.5ポイント改善の16.9% • お客様への提供価値の訴求、レートカードの適
体で強化し、情報セキュリティインシデントやシステム品質問題発生を抑制する。",20,健康と安全,0.3325
"年度6,000億円に、同1.8%から同3.3%に伸 ジネスが拡大し収益が安定化 • Asia Pacificリージョンの構造改革を実行する。",20,気候変動の緩和,0.3114
"年度6,000億円に、同1.8%から同3.3%に伸 ジネスが拡大し収益が安定化 • Asia Pacificリージョンの構造改革を実行する。",20,循環経済,0.3109
• OneCRMやOneERP+などのデータを利活用するための • OneFujitsuプログラムの社内実践を通じて、IT・デジタルの高度人材を育成する。,21,エネルギー,0.3058
• OneCRMやOneERP+などのデータを利活用するための • OneFujitsuプログラムの社内実践を通じて、IT・デジタルの高度人材を育成する。,21,健康と安全,0.3296
"2023 年度はより具体的に、非財務に関する取り組みが他の非財務指標や財務指標にどの このような取り組みは、当社が標榜するデータドリブン経営を実践する活動であり、社内実
ようにインパクトを与えるかというストーリーを明確にするために、当社の施策としての重要 践で得られたノウハウを活用したお客様へのサービス提供につなげています。",24,水の消費と取水,0.3121
"事業成長と生産性の向上により、キャッシュ・フロー創出 株主還元は、配当と自己株式取得を合わせた総還元額 2023 年度は、サービスソリューション事業の成長で着
力も確実に拡大しています。",28,水の消費と取水,0.3406
"事業成長と生産性の向上により、キャッシュ・フロー創出 株主還元は、配当と自己株式取得を合わせた総還元額 2023 年度は、サービスソリューション事業の成長で着
力も確実に拡大しています。",28,健康と安全,0.3445
"2024年度も2023年度並みの水準で
においては5Gの投資は継続するもののLTE市場の急速 となりましたが、ネットワークの高速化、大容量化、低電 当社の豊富なオファリングと顧客ニーズをいち早く捉 推移すると見込んでいます。",32,水の消費と取水,0.3607
"2024年度も2023年度並みの水準で
においては5Gの投資は継続するもののLTE市場の急速 となりましたが、ネットワークの高速化、大容量化、低電 当社の豊富なオファリングと顧客ニーズをいち早く捉 推移すると見込んでいます。",32,健康と安全,0.3139
"そのために、 年度は約
200 用開始に至りました。",36,エネルギー,0.3175
"2024 グローバル展開 Horizontal areas
続します。",40,海洋資源の使用,0.3018
"な状況において、サプライチェーン
Management データ活用とプロセス変革を進め 合により、サプライチェーンマネジメントの共 中心。",42,海洋資源の採取と利用,0.3049
"• サ プライチェーンマネジメントは、
HorizontalのDI PaaSを活用。",42,海洋資源の使用,0.3497
"継続的に売上を拡大することが
• 経 済的合理性や効率化だけでなく、レジリ 期待できる。",42,循環経済,0.3115
"継続的に売上を拡大することが
• 経 済的合理性や効率化だけでなく、レジリ 期待できる。",42,健康と安全,0.303
"1980 年代から研究開発を行って は、開発した技術を迅速にお客様に提供し、お客様のフィー
や改善が行えるよう提供しています。",43,健康と安全,0.3358
"AI 2023
にリソースを集中し、技術開発に注力しています。",43,エネルギー,0.3514
"AI 2023
にリソースを集中し、技術開発に注力しています。",43,生物および食料資源の汚染,0.3361
"AI 2023
にリソースを集中し、技術開発に注力しています。",43,海洋資源の採取と利用,0.3446
"AI 2023
にリソースを集中し、技術開発に注力しています。",43,健康と安全,0.3676
このような考えに基づき、当社は 2023 年度 きます。,48,エネルギー,0.3122
"引 き続き、SAP、Salesforce、ServiceNow（3S）のスキル
を有するエンジニアの育成に注力。",51,健康と安全,0.3709
"中川 朋美 て教育を受けるまたとない機会と考え、
努めました。",53,平等と機会,0.3291
"3つ目は、仕 ポスティングを経て現在は急性期医療現場へのソリューション
激しいマーケットにおいてトライ＆エラーを繰り返しながら日々の 事に対するプライドです。",53,健康と安全,0.3866
"まずは、そうした課題を正しく理解・分析し、実態に基づ 強化され、アウトプットの質を向上させられるというサイクルがあ 課題解決に貢献し、私のパーパスである「対話を通じて、安心、安
いたお客様の課題ドリブン型アプローチを通じて、今後もFujitsu ることに気づきました。",53,健康と安全,0.3039
"年 月、気候関連財務情報開示のためのタスクフォース（ ）の提言に賛同し、投資家など様々なステークホルダーに対する効果的な情
報開示にも取り組んでいます。",61,気候変動への適応,0.388
"2050 2030 2025
年あるべき姿と 年中期目標、 年短期目標を策定しました。",62,生物および食料資源の汚染,0.3031
"導する「 倫理ガバナンス室」を設置し、以下のとおりグローバルでの浸透と実践を推進して
社員における「労働環境」「非差別と機会均等」に関しては、ワークライフバランスの向上や います。",63,労働条件,0.3021
"導する「 倫理ガバナンス室」を設置し、以下のとおりグローバルでの浸透と実践を推進して
社員における「労働環境」「非差別と機会均等」に関しては、ワークライフバランスの向上や います。",63,健康と安全,0.3132
"導する「 倫理ガバナンス室」を設置し、以下のとおりグローバルでの浸透と実践を推進して
社員における「労働環境」「非差別と機会均等」に関しては、ワークライフバランスの向上や います。",63,平等と機会,0.3544
"導する「 倫理ガバナンス室」を設置し、以下のとおりグローバルでの浸透と実践を推進して
社員における「労働環境」「非差別と機会均等」に関しては、ワークライフバランスの向上や います。",63,児童労働,0.3307
"AI のデリバリープロセスについては、既存の品質やセキュリティ
専門家を外部有識者として招き、人権推進に対する評価と示唆を得ました *1。",63,健康と安全,0.3887
2005 年に「富 ついて、意義や方法論等の共有を行っています。,64,平等と機会,0.3136
"Global Compliance Top Commitment & Resources 当社の全役員・全社員を対象としたコンプライアンス e ラーニングを毎年実施しています
Program では、様々なコンプライアンスに関す トップコミットメントおよびリソース確保 （約 12 万人を対象に、 14 言語で実施）。",65,生物および食料資源の汚染,0.3105
"Global Compliance Top Commitment & Resources 当社の全役員・全社員を対象としたコンプライアンス e ラーニングを毎年実施しています
Program では、様々なコンプライアンスに関す トップコミットメントおよびリソース確保 （約 12 万人を対象に、 14 言語で実施）。",65,水の消費と取水,0.3178
"Global Compliance Top Commitment & Resources 当社の全役員・全社員を対象としたコンプライアンス e ラーニングを毎年実施しています
Program では、様々なコンプライアンスに関す トップコミットメントおよびリソース確保 （約 12 万人を対象に、 14 言語で実施）。",65,海洋資源の採取と利用,0.3483
"Global Compliance Top Commitment & Resources 当社の全役員・全社員を対象としたコンプライアンス e ラーニングを毎年実施しています
Program では、様々なコンプライアンスに関す トップコミットメントおよびリソース確保 （約 12 万人を対象に、 14 言語で実施）。",65,健康と安全,0.3128
"説明責任、透明性、リスク管理、公正さ、責 ことは、当社の事業ポートフォリオの転換と事業モデルの
任を重視しながら、コーポレートガバナンスの向上に努める 変革が順調に進んでいる表れだと捉えています。",68,健康と安全,0.319
"品質上の問題が起きた 長が当社の成長にもつながると考えていることが実感でき
て、非常に頼もしく思いました。",69,健康と安全,0.3011
"• 業 務執行取締役の総報酬における業績連動報酬（賞与および業績連動型株式報酬）の割合は、職責
の重い取締役ほど高くなるように決定し、業績および株主価値との連動性を高めるものとする。",77,適切な賃金,0.3175
"• 業 務執行取締役の総報酬における業績連動報酬（賞与および業績連動型株式報酬）の割合は、職責
の重い取締役ほど高くなるように決定し、業績および株主価値との連動性を高めるものとする。",77,健康と安全,0.3105
"独立に際しては、当該事業の持続的な成長の担保、当社資産価値
有株主でない取引先と同様 の最大化、最善の独立タイミングの観点で、検討します。",80,平等と機会,0.3077
"を徹底するとともに、リスク・コンプライアンス委員会を毎月開催することで、施策実行の迅
リスク・コンプライアンス委員会は、代表取締役社長（ CEO ）を委員長として業務執行取締 速性と実効性を担保するよう努めています。",83,健康と安全,0.3276
"リ スク・コンプライアンス委員会事務局（全社リスクマネジメント室、第2線）にて、当社グループを取
り巻く環境変化を踏まえたグループにおける重要リスク（16項目）の抽出・見直しを実施。",84,健康と安全,0.3006
"2023 2024
リスクを「重点対策リスク」として選定しています。",84,絶滅リスク,0.3317
"当社グループの事業戦略およびビジネス目標達成の観点から積極的に取るべきリスクと回避 セキュリティに関するリスク
すべきリスクを選別。",84,海洋資源の採取と利用,0.3079
