sentence,page,topic,similarity
"次にこれらについて、当社グループおよびステークホルダーの視点で評価し、11の重要課 サステナビリティ経営の推進体制（2024年8月現在）
題を抽出しました。",7,健康と安全,0.3385
"これを2027年度以降は、10％以上のROIC
脱炭素社会に向けた規制強化により、長期的に市場は確実に拡大していきますが、グローバルのバッ を維持できる体質に変えるべく、以下の取り組みを進めてまいります。",10,循環経済,0.3081
"その結果、当初想定に比べて、2030年時点で 加え、2024年3月にはマツダ社と供給に向けた
のBEV比率は減少し、拡大ペースはやや鈍化。",10,生物および食料資源の汚染,0.3022
"国内の大阪工場（住之江・貝塚） 当初のプランを見直し、足元の2023～2025年の3年間を2億ドルの追加戦略投資期間と位置付けて、
については、2170サイズへの切り替えと最先端ラインの導入を進めることにより、GWhあたりの人生 事業基盤の強化を図ります。",11,生物および食料資源の汚染,0.3177
"円筒形電池のさらなる性能向上により航続距離の長さが求め の成長可能性や市場でのポジション・シェア、収益性などに基づいて定量面と定性面の両軸で判断しま
られる北米市場における競争優位性を盤石なものにしていくとともに、北米と同様に高性能・高品質 す。",16,健康と安全,0.3107
"私は、次期中期で強い事業の集合体を構築、2030年に向けて これらは今中期で収益を大きく向上、今後一層の高収益・収益拡大へのチャレンジが可能で、さらな
定めた領域でNo.1、2のポジションを獲得し、強い事業同士の掛 る成長を目指していきます。",19,健康と安全,0.34
"一人ひとりが心身ともに健康で挑戦の機会を通じて幸せと働きがいを感じている状態
グループ共通の人事戦略： やりがいを持って、はたらく。",25,労働条件,0.3488
"一人ひとりが心身ともに健康で挑戦の機会を通じて幸せと働きがいを感じている状態
グループ共通の人事戦略： やりがいを持って、はたらく。",25,労働時間,0.3522
"一人ひとりが心身ともに健康で挑戦の機会を通じて幸せと働きがいを感じている状態
グループ共通の人事戦略： やりがいを持って、はたらく。",25,健康と安全,0.3938
"一人ひとりが心身ともに健康で挑戦の機会を通じて幸せと働きがいを感じている状態
グループ共通の人事戦略： やりがいを持って、はたらく。",25,平等と機会,0.3186
"社員のウェルビーイング
方針 安全・安心・健康に、はたらく。",25,労働条件,0.315
"社員のウェルビーイング
方針 安全・安心・健康に、はたらく。",25,健康と安全,0.4217
"社員のウェルビーイング
方針 安全・安心・健康に、はたらく。",25,プライバシー,0.3234
"現在、このグループタレントマネジメントコミッティでは、短期・中期・長期それ
健康投資を強化する方針を明確化するとともに、各事業会社においても従来からの「健康パナソニッ ぞれの視点から選出された100名規模の後継者のキャリア開発に取り組んでいます。",27,健康と安全,0.3544
"事業部門が公表して
様な人材を、現在担っている「仕事・役割の大きさ」により処遇することで、処遇の透明性と納得性を いる募集要項をもとに、個人がチャレンジするかどうかを判断します。",29,児童労働,0.3109
"また、フルリモート勤務の推進に
―Diversity, Equity & Inclusion（DEI）の推進 より通勤圏外からの勤務を可能とするなど、働く場所の選択肢拡大にも取り組んでいます。",30,平等と機会,0.3311
"また、フルリモート勤務の推進に
―Diversity, Equity & Inclusion（DEI）の推進 より通勤圏外からの勤務を可能とするなど、働く場所の選択肢拡大にも取り組んでいます。",30,障害者の雇用,0.3088
"また、フルリモート勤務の推進に
―Diversity, Equity & Inclusion（DEI）の推進 より通勤圏外からの勤務を可能とするなど、働く場所の選択肢拡大にも取り組んでいます。",30,児童労働,0.3413
"これは、経営者自らがDEI推 することに加えて、労働時間中に一定時間業務から離れる、いわゆる「中抜け」や、それに対する休暇
進にコミットし、事業戦略に織り込んで推進することです。",30,労働時間,0.3113
"選択的週休3日制※（23年度） 通勤圏外リモートワーク（23年度） 社外副業（23年度）
3つ目は社員一人ひとりへのサポートです。",30,労働条件,0.3091
"選択的週休3日制※（23年度） 通勤圏外リモートワーク（23年度） 社外副業（23年度）
3つ目は社員一人ひとりへのサポートです。",30,労働時間,0.3599
"選択的週休3日制※（23年度） 通勤圏外リモートワーク（23年度） 社外副業（23年度）
3つ目は社員一人ひとりへのサポートです。",30,障害者の雇用,0.3528
"選択的週休3日制※（23年度） 通勤圏外リモートワーク（23年度） 社外副業（23年度）
3つ目は社員一人ひとりへのサポートです。",30,児童労働,0.3707
"一方で、 また、2021年度末には、管理職登用における機会の公平性や登用選考プロセスの負荷軽減への配慮・
働く「時間と場所」の選択肢の拡大は個人の視点でウェルビーイングを実現することにもつながりま 工夫を求めるガイドラインを策定しグループ内に徹底しています。",30,平等と機会,0.3129
"そのよ 一律の期間ではなく、それぞれの勤務した期間や時間に応じた評価を実施するなど多様な働き方に
うな一人ひとりの挑戦と成長を後押しし、誰もがあきらめることなく、キャリアをつないでいけるよう、 対応しています。",30,労働時間,0.3618
"このことから、まず当社グループの製造拠点およびサプライチェーンの人権課題への取 バルな通報窓口として、社員およびお取引先を含む社外のステークホルダーが対象のホットライン（32
り組みから開始しています。",32,健康と安全,0.3031
"また、取り組みについては、公式ウェブサイトおよび 使用し、通報の秘守を徹底するとともに、社内外の通報者が通報を理由に報復行為や不利益な扱いを受
関連する報告書やその他のコミュニケーション手段を通じて適切に開示しています。",32,健康と安全,0.3539
"当社グループは、国内、国際機関との渉外を通じて人権の尊重の活動についての意見を積極的に発信
人権デュー・ディリジェンスを通じて特定した課題については、その防止を目的とし、地域やテーマ しています。",32,平等と機会,0.301
"当社グループは、人権や環境への配慮、 当社グループは、紛争地域で武装勢力の資金源となるリスク、および高リスク地域での人権侵害、採掘現場
良好な労働環境、公正な取引等、社会的責任を果たされている購入先様と取引を行うよう努めています。",33,健康と安全,0.3235
"当社グループは、人権や環境への配慮、 当社グループは、紛争地域で武装勢力の資金源となるリスク、および高リスク地域での人権侵害、採掘現場
良好な労働環境、公正な取引等、社会的責任を果たされている購入先様と取引を行うよう努めています。",33,平等と機会,0.3409
