sentence,page,topic,similarity
"私は1998年にアドバンテストに入社して以来、さまざまな役 私は、幸運にもこれまでアドバンテストを率いてきた歴代の
職経験を通じて、非常に優秀な方々から多くのことを学ばせて リーダーとともに働く機会に恵まれました。",7,健康と安全,0.3161
"私は1998年にアドバンテストに入社して以来、さまざまな役 私は、幸運にもこれまでアドバンテストを率いてきた歴代の
職経験を通じて、非常に優秀な方々から多くのことを学ばせて リーダーとともに働く機会に恵まれました。",7,平等と機会,0.3352
信頼とイノベーションは当社の 三つ目は、半導体産業が盛んな主要地域に戦略的に当社拠 私たちの世界は大きな変化の中にあります。,8,健康と安全,0.3213
"開発、R&D、営業、サポートの各分野で 進歩は、持続可能な世界を実現しようとする取り組みと相まっ
れらの柱をもとに前進してまいります。",8,健康と安全,0.3513
"係を構築することができ、それが業界内における現在の当社の さらに、地政学的リスクの高まりは、半導体製造能力の増強と
ポジショニング優位性につながっています。",8,健康と安全,0.3062
"過去の中期経営計画を振り返って MTP1およびMTP2では、事業ポートフォリオ、製品提供、 高度な製造技術が求められる高性能半導体の需要増加と、
およびグローバル展開の拡大に重点を置いていました。",8,生物および食料資源の汚染,0.3174
"過去の中期経営計画を振り返って MTP1およびMTP2では、事業ポートフォリオ、製品提供、 高度な製造技術が求められる高性能半導体の需要増加と、
およびグローバル展開の拡大に重点を置いていました。",8,マイクロプラスチック,0.3591
"過去の中期経営計画を振り返って MTP1およびMTP2では、事業ポートフォリオ、製品提供、 高度な製造技術が求められる高性能半導体の需要増加と、
およびグローバル展開の拡大に重点を置いていました。",8,水の消費と取水,0.3039
"過去の中期経営計画を振り返って MTP1およびMTP2では、事業ポートフォリオ、製品提供、 高度な製造技術が求められる高性能半導体の需要増加と、
およびグローバル展開の拡大に重点を置いていました。",8,健康と安全,0.3585
"このよ バリューチェーンの多様化は、半導体産業に「複雑性の時代」
過去二つの中期経営計画（MTP1、MTP2）において、当社 うな取り組みを通してお客さまからの信頼をより一層獲得したこ をもたらしています。",8,マイクロプラスチック,0.3501
"そのため、AI技 日常生活にAIが深く組み込まれるようになり、ハイエンド半導 として参画し、半導体バリューチェーン全体のGHG排出量削減
術の発展には品質と信頼性が不可欠であり、不良品ゼロ 体の需要がさらに高まると予想されます。",9,健康と安全,0.3593
"製造コストが高いため、歩留まりを向上させるために製造プロ 日常生活において大きな役割を果たしており、その影響はAIア
セス全体を通して、より多くのテストを行う必要性が高まってい プリケーションの発展によってさらに深まることが予想されます。",9,健康と安全,0.3201
"多様な価値観を受け入れ、永続的な成
独自の企業文化を築き上げた70年 応えています。",10,企業文化,0.3857
"それから70年、長年の努力と技術革新に に資する先進的な半導体の開発をサポートし、最先端技術を支 私たちは、自信と決意を胸に、ともに未来に立ち向かってま
より、半導体試験装置のグローバル・リーダーへと成長しまし えるという当社の使命に誇りをもち、挑み続けています。",10,健康と安全,0.3037
"当社の経 アドバンテストの一番の強みは、グローバルなチームワーク
営理念（パーパス＆ミッション）は「先端技術を先端で支える」 力だと私は考えています。",13,エネルギー,0.3299
"当社の経 アドバンテストの一番の強みは、グローバルなチームワーク
営理念（パーパス＆ミッション）は「先端技術を先端で支える」 力だと私は考えています。",13,健康と安全,0.3098
いつ ・私たちは、企業倫理に反する行為は ・私たちは、多様性を取り入れること ・私たちは、お互いに心を開いて切磋 です。,13,企業文化,0.3029
"2000年のインターネットバブル 業拡大など、新しい顧客価値創造を通じて100年企業を目指
の崩壊や、2008年の世界金融危機といった大きな景気後退も します。",15,生物および食料資源の汚染,0.3375
"業界の先端を行く顧客の声に耳 顧客との関係強化の好循環
が故に品質や信頼性に課題があることが少なくありません。",16,健康と安全,0.3316
"AI半導体が急速に普 フィールド・サービス、さらには開発も加わり、地域横断でチー
及したように、半導体市場は非常に変化の激しい市場です。",17,健康と安全,0.3085
"当社グループは 倫理の徹底を含めた責任ある事業活動の遂行、リスクマネジメ
ます。",20,健康と安全,0.3193
Applied Research Teamによる事業機会創生にも挑戦します。,20,労働時間,0.3219
"また、当社グルー MTP３では、上記の４つの戦略を通じて収益拡大、収益性改
ア市場としながらさらなる成長に取り組みます。",20,健康と安全,0.3157
また研究開発投資や人的 体のさらなる高性能化に即して当社グループの将来キャッシュ 期間の３年間合計で50％以上を目途とします。,21,健康と安全,0.3122
他方で、世界経済や当社の市場環境における将来 ク成長投資、および近縁市場への事業展開の加速に振り向け 得を通じて株主に還元します。,21,生物および食料資源の汚染,0.3244
他方で、世界経済や当社の市場環境における将来 ク成長投資、および近縁市場への事業展開の加速に振り向け 得を通じて株主に還元します。,21,循環経済,0.332
他方で、世界経済や当社の市場環境における将来 ク成長投資、および近縁市場への事業展開の加速に振り向け 得を通じて株主に還元します。,21,健康と安全,0.3872
"より微細な回路をシリコン上 このような技術的・社会的な期待や要請を背景とし、半導体の高性能化とエネルギー消費効率
に形成するための技術改良が露光技術を中心に継続的かつ意欲的に行われてきました。",22,マイクロプラスチック,0.3048
"より微細な回路をシリコン上 このような技術的・社会的な期待や要請を背景とし、半導体の高性能化とエネルギー消費効率
に形成するための技術改良が露光技術を中心に継続的かつ意欲的に行われてきました。",22,水の消費と取水,0.304
"より微細な回路をシリコン上 このような技術的・社会的な期待や要請を背景とし、半導体の高性能化とエネルギー消費効率
に形成するための技術改良が露光技術を中心に継続的かつ意欲的に行われてきました。",22,健康と安全,0.3439
"すなわち、複雑化した半導体の試験プロセス
前に完全に予測することは不可能であり、良かれと思って部分的に導入した新技術が半導体全体の動 においては、業界を横断する学際的なアプローチが必要です。",23,マイクロプラスチック,0.3182
"び将来に存在するリスクを特定し、備え、適切な対応をするこ コンプライアンスに関するリスクはChief Compliance また、コンプライアンスに関するリスクはCCOに情報が集約
とが必要不可欠であると考えています。",26,健康と安全,0.3081
"その他、取締役会、 され、CCOを通じて取締役会・経営会議に定期的に報告されて
営戦略とリスクマネジメントを結び付ける方法でリスクを抽出し、 経営会議に直接報告されるリスク情報もあります。",26,健康と安全,0.318
"リスクの性質に応じて、取
害する要因としてのリスクを俯瞰的に特定し、リスクの重要度 締役会または経営会議に直接報告されるリスク情報もあります。",26,健康と安全,0.334
"サステナビリティ課題に対する考え方 それぞれに提供すべき価値を定義し、新たな目標を設定してい 同時に、持続可能な社会の実現と自社の成長を両立させる
ます。",28,健康と安全,0.3562
"半導体の小型化・高性能化と省エネルギー化が進む クホルダーの尊重と持続可能な社会の実現を目指すと同時に、
ことで消費電力の伸びは抑制されています。",29,水の消費と取水,0.3542
（注2） 女性管理職比率および労働者の男女の賃金の差異は、2024年3月期有価証券報告書「第１ 企業の概況 ５．従業員の状況」に記載しています。,31,生物および食料資源の汚染,0.3059
（注2） 女性管理職比率および労働者の男女の賃金の差異は、2024年3月期有価証券報告書「第１ 企業の概況 ５．従業員の状況」に記載しています。,31,労働条件,0.3325
（注2） 女性管理職比率および労働者の男女の賃金の差異は、2024年3月期有価証券報告書「第１ 企業の概況 ５．従業員の状況」に記載しています。,31,適切な賃金,0.3216
当社グループは、「サステナビリティ基本方針」に基づき、 その統括リーダーはGroup CEOが務めています。,32,健康と安全,0.3246
"Scope 3の内訳で大部分を占めるのはC1 ネルギー導入率の増加の協力を求めることで、GHG排出量の 3,000 ■Other Categories
（購入した製品・サービス）とC11(販売した製品の使用）とな 削減を推進します。",36,水の消費と取水,0.33
"これに
「GoGreen Plus」を導入しています。",37,健康と安全,0.3317
"SAFは、持続可能な原料(トウモロコ より、GHG排出量Scope 3のカテゴリー4 (輸送、配送(上流))、およびカテ
シやサトウキビなどの植物や飲食店・家庭で排出される廃食油など)から製 ゴリー9 (輸送、配送(下流))におけるGHG排出量削減につながっています。",37,空気の汚染,0.307
