sentence,page,topic,similarity
"財務情報 非財務情報
1949年の設立以来培ってきた価値観や信念を明文化し、世界中のデンソー社員と共有したものです。",2,企業文化,0.3081
"1949年の創業以来、連 私たちデンソーの存在意義、果たすべき目的は、「環境・
綿と受け継がれてきた経営の襷を受け取り、日々感じるの 安心の軸で社会課題を解決する」ことです。",5,健康と安全,0.3155
"さらに、社会全体に目を転じると、 炭素や循環経済、交通事故死亡者ゼロなど、複雑化する今
高度な通信技術により世界は一つにつながり、生成AIの進 後の社会課題を解決していきます。",5,生物および食料資源の汚染,0.3003
"デンソーが描く未来を実現するための
業としての本来の目的を見失い、結果として、迷走・低迷し 3つのチャレンジについて、ご説明します。",5,絶滅リスク,0.3435
"ソフトウェア人財は、特に日本 2023年度からの3年間では、これら取り組みを加速させ、
では、農場の工場化を通じた環境にやさしい農業の実現、食 国内ではいわば「取り合い」状態が続いています。",6,生物および食料資源の汚染,0.3086
一方で、エネルギー事情やインフラ整備状況は、国 と、40年にわたる車載ソフトウェア開発の歴史において、競 うな人財マネジメントを進めていきます。,6,エネルギー,0.3171
一方で、エネルギー事情やインフラ整備状況は、国 と、40年にわたる車載ソフトウェア開発の歴史において、競 うな人財マネジメントを進めていきます。,6,生物および食料資源の汚染,0.3194
一方で、エネルギー事情やインフラ整備状況は、国 と、40年にわたる車載ソフトウェア開発の歴史において、競 うな人財マネジメントを進めていきます。,6,水の消費と取水,0.3351
一方で、エネルギー事情やインフラ整備状況は、国 と、40年にわたる車載ソフトウェア開発の歴史において、競 うな人財マネジメントを進めていきます。,6,健康と安全,0.3641
デンソーは、安全技術の 半導体と同じく、モビリティにおける重要性が増している 一人ひとりの主体的な改善活動につなげています。,6,健康と安全,0.3547
"また、持 「環境・安心の軸で社会課題を解決する」という私たちの
性能を高めるとともに、シンプルで安価な部品から、AIやセン のがソフトウェアです。",6,健康と安全,0.3688
"ソフトウェアのアップデートでクルマ 続的な社会価値の創出と事業成長を両立させるべく、事業 大きな目的は、デンソー1社で成し遂げられるものではあり
サ技術といった最先端技術を搭載した先進運転支援システ の機能を高めるSDV時代が到来し、ソフトウェア開発はより ポートフォリオの入れ替えも進めており、“環境・安心”の理 ません。",6,健康と安全,0.3015
"携しながら、将来にわたり成長を続けるための業界構造の
アとエレクトロニクス・メカの三位一体システムを具現化す 足元の部材費値上げや賃上げなどの環境変化に対して 変革に挑戦していきます。",6,気候変動への適応,0.3396
"今後も、
成熟し、働きがいや生きがいを大切にして自身のキャリアを ます。",7,労働条件,0.3175
"今後も、
成熟し、働きがいや生きがいを大切にして自身のキャリアを ます。",7,労働時間,0.344
"今後も、
成熟し、働きがいや生きがいを大切にして自身のキャリアを ます。",7,健康と安全,0.3864
"今後も、
成熟し、働きがいや生きがいを大切にして自身のキャリアを ます。",7,児童労働,0.3008
にご心配・ご迷惑をおかけしたことに対し、心よりお詫び申 ご心配・ご迷惑をおかけしてしまったこ ています。,7,非常に懸念の高い物質,0.3055
"この信用を守り、さらに積 続けることで、社会に貢献する新たな価値をいち早く生み出し、
み重ね次の世代に引き継いで、社会の期待に応え、未来への責 まだ無き道を切り拓いていきます。",8,水の消費と取水,0.321
