sentence,page,topic,similarity
"これら予測・予想・計画は、
value report 記述した時点で入手できた情報にもとづいた仮定ないし判断であり、これらには不確実性が含まれています。",3,健康と安全,0.355
その中でもムラタは、「 独自の製品を供 誘電体セラミックス材料の開発が進み、1973年に高品質と低価格を兼ね 年間1兆個以上のMLCCを世界中のお客様に供給しています。,6,マイクロプラスチック,0.4484
その中でもムラタは、「 独自の製品を供 誘電体セラミックス材料の開発が進み、1973年に高品質と低価格を兼ね 年間1兆個以上のMLCCを世界中のお客様に供給しています。,6,健康と安全,0.3189
"その後約 2024年3月には、MLCCの商用化が産業の発展に貢献したとして、世界
の壁を打ち破りたいと量産に挑戦しました。",6,マイクロプラスチック,0.441
"その後約 2024年3月には、MLCCの商用化が産業の発展に貢献したとして、世界
の壁を打ち破りたいと量産に挑戦しました。",6,健康と安全,0.3617
"8年の期間をかけて、材料の実用化と生産工程の構築を行い、1982年に 最大の電気・電子分野の国際学会であるIEEEより、「IEEE Milestone賞」
量産するに至りました。",6,エネルギー,0.3123
"8年の期間をかけて、材料の実用化と生産工程の構築を行い、1982年に 最大の電気・電子分野の国際学会であるIEEEより、「IEEE Milestone賞」
量産するに至りました。",6,空気の汚染,0.3167
"8年の期間をかけて、材料の実用化と生産工程の構築を行い、1982年に 最大の電気・電子分野の国際学会であるIEEEより、「IEEE Milestone賞」
量産するに至りました。",6,生物および食料資源の汚染,0.3473
"8年の期間をかけて、材料の実用化と生産工程の構築を行い、1982年に 最大の電気・電子分野の国際学会であるIEEEより、「IEEE Milestone賞」
量産するに至りました。",6,マイクロプラスチック,0.326
"8年の期間をかけて、材料の実用化と生産工程の構築を行い、1982年に 最大の電気・電子分野の国際学会であるIEEEより、「IEEE Milestone賞」
量産するに至りました。",6,水の消費と取水,0.3328
"8年の期間をかけて、材料の実用化と生産工程の構築を行い、1982年に 最大の電気・電子分野の国際学会であるIEEEより、「IEEE Milestone賞」
量産するに至りました。",6,海洋資源の採取と利用,0.3292
"8年の期間をかけて、材料の実用化と生産工程の構築を行い、1982年に 最大の電気・電子分野の国際学会であるIEEEより、「IEEE Milestone賞」
量産するに至りました。",6,健康と安全,0.3659
"8年の期間をかけて、材料の実用化と生産工程の構築を行い、1982年に 最大の電気・電子分野の国際学会であるIEEEより、「IEEE Milestone賞」
量産するに至りました。",6,平等と機会,0.3253
"セラミック応用製品とは低温同 安定した材料であるがゆえに、単にプレスするだけでは多層基板ができ マートフォンメーカーに提案したところ、これがお客様のニーズにぴた
時焼成セラミックス（LTCC）のことで、多層セラミックスの内部配線を利 なかったのです。",7,マイクロプラスチック,0.3711
"環境に強い ため、耐湿性が高く、高い信頼性の製
速通信で力を発揮します。",7,気候変動への適応,0.3154
"環境に強い ため、耐湿性が高く、高い信頼性の製
速通信で力を発揮します。",7,水の汚染,0.3052
"環境に強い ため、耐湿性が高く、高い信頼性の製
速通信で力を発揮します。",7,健康と安全,0.3606
"近年の資本市場において、経済価値だけではなく、いかに社会 針については、中長期的な市場成長率の高いパワーツール市場でのビジネスを継続すると
課題解決に貢献しているのかが企業に問われてきています。",13,健康と安全,0.3125
"持続的な企業価値向上につ ともに、当社が目指す再エネ100%調達の実現に資する蓄電システムの自社内での導入を
なげるためには、社会価値を経済価値の創出に結び付けて資本コストを下げることによっ 進めてショーケース化し、ビジネス機会の創出につなげていきたいと考えています。",13,エネルギー,0.3008
"持続的な企業価値向上につ ともに、当社が目指す再エネ100%調達の実現に資する蓄電システムの自社内での導入を
なげるためには、社会価値を経済価値の創出に結び付けて資本コストを下げることによっ 進めてショーケース化し、ビジネス機会の創出につなげていきたいと考えています。",13,健康と安全,0.3048
"実際、自動車の事故防止 設開始など、通信やモビリティ市場における中長期の部品需要拡大に備えた生産能力の
においては、サイバー空間でシミュレーションを重ね、精度を高めていくという動きが進 増強とサプライチェーンの複線化を進めました。",15,健康と安全,0.3371
"技術・品質・供給力などの総合力
高速通信や大規模演算を支えるインフラを整えるための高性能、高信頼性をともなった で競争優位性を築き、Global No.1であり続けることを目指します。",15,健康と安全,0.3256
"2024年9月にRE100達成時期目標の大幅な前倒しと、自社
およびサプライチェーンを含めたカーボンニュートラル目標を設定 しました。",16,生物および食料資源の汚染,0.3648
"Murata value report 2024
SECTION TO THE FUTURE 「文化の発展に貢献すること」、これはムラタのミッションであり、ムラタの存在意義です。",20,文化的権利,0.3537
"Murata value report 2024
SECTION TO THE FUTURE 「文化の発展に貢献すること」、これはムラタのミッションであり、ムラタの存在意義です。",20,企業文化,0.3009
"こ 生産管理システムでお客様情報と生産情報を組み合わせることで、
うして独自に開発、獲得した要素技術はプラットフォーム化され、 スピーディーかつタイムリーにお客様に「価値を届け」ています。",21,健康と安全,0.36
の3つを兼ね備え、各人がやりがいと成長をより リングを継続的に実行し、環境変化への感度を ための取り組みを加速させていきます。,23,気候変動への適応,0.3702
"産業界では、現在、医薬 通じてイノベーションを創出することで豊かな社会の実現に貢献し
などを用意しています。",28,健康と安全,0.391
時には、人事ローテーションというかたち 品や食料の製造や環境浄化などに有用微生物が活用されています ていきます。,28,生物および食料資源の汚染,0.4944
時には、人事ローテーションというかたち 品や食料の製造や環境浄化などに有用微生物が活用されています ていきます。,28,マイクロプラスチック,0.3674
時には、人事ローテーションというかたち 品や食料の製造や環境浄化などに有用微生物が活用されています ていきます。,28,海洋資源の使用,0.3329
時には、人事ローテーションというかたち 品や食料の製造や環境浄化などに有用微生物が活用されています ていきます。,28,海洋資源の採取と利用,0.3372
時には、人事ローテーションというかたち 品や食料の製造や環境浄化などに有用微生物が活用されています ていきます。,28,健康と安全,0.3475
"さらには、タイヤの適切な廃棄やリサイクル率の 事業機会
電力を活用して、ピークカットをすることができます。",29,エネルギー,0.3178
"さらには、タイヤの適切な廃棄やリサイクル率の 事業機会
電力を活用して、ピークカットをすることができます。",29,適切な賃金,0.3035
"さらには、タイヤの適切な廃棄やリサイクル率の 事業機会
電力を活用して、ピークカットをすることができます。",29,健康と安全,0.3192
"さらには、タイヤの適切な廃棄やリサイクル率の 事業機会
電力を活用して、ピークカットをすることができます。",29,平等と機会,0.3926
"ムラタは持続可能な社会の実現に向けて、気候変動や資源エ ◦ 電池・電源の活用や、モジュール・センサを用いた環境モニタリングの実現による脱炭素社会やサーキュラー SECTION 05 データ
環境 ネルギー不足を解決する事業を創出し、地球環境問題の解決に貢献していくために設定しました。",31,気候変動への適応,0.351
"2030年度 温 温 室 室 効 効 果 果 ガ ガ ス ス 排 排 出 出 量 量 （ （ S S c c o o p p e e 1 3） + ： 2 2 ）： 01 2 9 0 年 19 度 年 比 度 2 比 7. 4 5 6 % % 減 減 （ （ 3 8 2 7 5 万 万 t t - - C C O O 2 2 e 以 以 下 下 ） ） 策 年 を 度 実 比 施 34 し .6 、 % 20 減 23 ） 年 、S 度 co の pe S 3 co は pe 3 1 6 + 8 2 万 は t 1 -C 05 O 万 2（2 t- 0 C 1 O 9 2 年 e（2 度 01 比 9 SECTION 03 そして、未来へ
目標 再生可能エネルギー導入比率：75% 17.9%減）、再エネ導入率は36.5%となりました。",32,気候変動への適応,0.3185
"2030年度 温 温 室 室 効 効 果 果 ガ ガ ス ス 排 排 出 出 量 量 （ （ S S c c o o p p e e 1 3） + ： 2 2 ）： 01 2 9 0 年 19 度 年 比 度 2 比 7. 4 5 6 % % 減 減 （ （ 3 8 2 7 5 万 万 t t - - C C O O 2 2 e 以 以 下 下 ） ） 策 年 を 度 実 比 施 34 し .6 、 % 20 減 23 ） 年 、S 度 co の pe S 3 co は pe 3 1 6 + 8 2 万 は t 1 -C 05 O 万 2（2 t- 0 C 1 O 9 2 年 e（2 度 01 比 9 SECTION 03 そして、未来へ
目標 再生可能エネルギー導入比率：75% 17.9%減）、再エネ導入率は36.5%となりました。",32,空気の汚染,0.3175
