sentence,page,topic,similarity
"このMHI REPORTも2024事業計画のスタートに合わせて
誌面を刷新し、内容の充実を図りました。",4,健康と安全,0.3262
"急増する電力需要や旺盛な民間設備投資に対応し、高度経 となる中、世界最高効率のガスタービンや原子力発電プラン
済成長を支えました。",7,エネルギー,0.3243
"急増する電力需要や旺盛な民間設備投資に対応し、高度経 となる中、世界最高効率のガスタービンや原子力発電プラン
済成長を支えました。",7,水の消費と取水,0.3726
"急増する電力需要や旺盛な民間設備投資に対応し、高度経 となる中、世界最高効率のガスタービンや原子力発電プラン
済成長を支えました。",7,健康と安全,0.3287
"その後、深刻な造船不況に見舞われた当 ト、CO 2回収プラントなど、さまざまな製品やソリューションを
社は、発電設備や航空機等の成長分野に注力するとともに、海 提供し、持続可能な社会に向けて貢献しています。",7,気候変動への適応,0.3183
"その後、深刻な造船不況に見舞われた当 ト、CO 2回収プラントなど、さまざまな製品やソリューションを
社は、発電設備や航空機等の成長分野に注力するとともに、海 提供し、持続可能な社会に向けて貢献しています。",7,健康と安全,0.3426
"それは、「自らが 先輩方も、決して自社の都合ではなく、日本全体や世界全体
持つ技術や人材などを活用して、社会課題の解決に真正面 という高い視座で仕事に向き合っていました。",12,エネルギー,0.3002
"それは、「自らが 先輩方も、決して自社の都合ではなく、日本全体や世界全体
持つ技術や人材などを活用して、社会課題の解決に真正面 という高い視座で仕事に向き合っていました。",12,健康と安全,0.3007
"から向き合い、サステナブルで安全・安心・快適な社会の実 このように常に全体のことを考えて仕事をする姿勢は、
現に貢献する」という考え方です。",12,健康と安全,0.3492
"「MISSION NET ZERO」の実現に向けて
当社グループが2021年に宣言した「MISSION NET ね計画どおりCO 2排出量を削減することができています。",12,空気の汚染,0.3062
"進」「事業競争力の強化」の3つの領域で最適な戦略を立 した事業基盤をベースに安定的なキャッシュを生み出し、
て、成長の道筋を描いていきます。",15,健康と安全,0.321
"当社グループは、既存設備の と両立できる脱炭素化ソリューションを各地域の実情に応
高効率化や燃料転換による段階的なカーボンニュートラル じて提供していきます。",15,気候変動への適応,0.3343
"への移行の必要性を一貫して訴えていますが、以前は「石 伸長事業に係るもう一つの方針は、「国家安全保障への
炭火力だけでなく、すべての火力はフェードアウトして再生 貢献」です。",15,エネルギー,0.3323
"への移行の必要性を一貫して訴えていますが、以前は「石 伸長事業に係るもう一つの方針は、「国家安全保障への
炭火力だけでなく、すべての火力はフェードアウトして再生 貢献」です。",15,水の消費と取水,0.3369
"への移行の必要性を一貫して訴えていますが、以前は「石 伸長事業に係るもう一つの方針は、「国家安全保障への
炭火力だけでなく、すべての火力はフェードアウトして再生 貢献」です。",15,健康と安全,0.3463
"当社グループは、従来から一貫して防衛
中で、その様相が変わり、画一的な方策ではなく、それぞれ 領域に取り組み、日本の平和と安全に貢献してきました。",15,健康と安全,0.4153
"また、2030年までに2万人 が、そもそも何が問題であるのかを見極める力がより重要
強のデジタル人材を確保すべく、育成施策の充実および教 です。",15,水の汚染,0.3034
"また、2030年までに2万人 が、そもそも何が問題であるのかを見極める力がより重要
強のデジタル人材を確保すべく、育成施策の充実および教 です。",15,生物および食料資源の汚染,0.3236
"社会の変革を実現するハブになる
AIやデジタル技術が進化し、サイバー空間での価値創造 く。",16,健康と安全,0.3156
"それでも、人々が暮らしているリアル に私たちが新たなビジネスモデルを見出すこともできるは
な空間の重要性が落ちているわけではありません。",16,空気の汚染,0.3068
"それでも、人々が暮らしているリアル に私たちが新たなビジネスモデルを見出すこともできるは
な空間の重要性が落ちているわけではありません。",16,水の汚染,0.3182
"それでも、人々が暮らしているリアル に私たちが新たなビジネスモデルを見出すこともできるは
な空間の重要性が落ちているわけではありません。",16,生物および食料資源の汚染,0.3198
