sentence,page,topic,similarity
"2 戦 略の見直し
社会と地域の発展に貢献します。",2,水の汚染,0.3025
"2 戦 略の見直し
社会と地域の発展に貢献します。",2,土壌汚染,0.3004
"2 戦 略の見直し
社会と地域の発展に貢献します。",2,生物および食料資源の汚染,0.373
"2 戦 略の見直し
社会と地域の発展に貢献します。",2,健康と安全,0.3467
"本 邦最大級の機関投資家として、健全で収益性の高い
運用を行うとともに、持続可能な社会の実現に貢献する。",3,健康と安全,0.336
"だからこそ、今から取
議における議論にあたり、すべてのIR活動の記録に目 営上の大きな課題のひとつであると考えています。",7,ロビー活動,0.3006
"今後とも温かいご支援・ご協力を賜りますようお願い
ベーションを持ち、その力を最大限発揮できる環境を ングや小規模のラウンドテーブルなども有効に活用し、 また、Σビジネスを通じた地域経済の活性化と新たな 申し上げます。",7,循環経済,0.3196
"さらに、ROEの改善 ROEは2026年3月に4%以上、また、次期中計（2026
融政策が転換するなど、「金利のある世界」が話題となっ 標を2年前倒しで達成することができました。",8,循環経済,0.3264
"を「RORA（Return on Risk Asset）改善」と「財務レバ 年度〜）の早い時期に株主資本コストを上回る5%以上を
ています。",8,生物および食料資源の汚染,0.3016
"見直し後の中計においても、効率性の財務目標
リスク対比リターンの最大化に向けて成長戦略を推進 の推進、AML/CFT/CPF※、サイバーセキュリティ強化、 （OHR）についてより改善したものに見直しています。",9,健康と安全,0.33
"項をめぐるいろいろな情報を共有し、その後の取締役
社外取締役 会の議論につなげてきました。",11,非常に懸念の高い物質,0.3186
"酬制度はどうあるべきか、今の報酬水準は妥当か、今の報 下のマネジメント、継続的な人財育成の重要性等につい
私自身は現在、報酬委員会委員長を拝命しています。",12,適切な賃金,0.4031
その 酬が企業価値向上・成長に結び付く適切なものとなってい てお話しいただきました。,12,適切な賃金,0.3461
"投資先候補企 事業承継・事業再生投資やベンチャー投資、ESG投資な
業の発掘（ソーシング）を行い、地域の事業者へ出資し、 どに取り組んでまいります。",18,海洋資源の採取と利用,0.3281
また、2025年度の財務目標も前倒しで達成する等の 現中期経営計画（〜2025年度）中に4.0%以上、次期 中長期的にさらなる向上を目指していきます。,19,生物および食料資源の汚染,0.3271
"ゆうちょ
※2 連結・管理会計ベース。",23,循環経済,0.3311
"また、リスク管理を含む体制強 もに、ファイナンスを通じて、投融資先のさまざまな社会課題
化および基盤整備のため、マーケット関連部署の人員拡充を進めるとともに、マーケット人財の積極 解決に向けた取り組みをさらに後押ししていきます。",24,健康と安全,0.3046
"ことに加えて、そうした投資を通じて、新た
の 資金循環を進めます。",25,海洋資源の使用,0.3085
"ことに加えて、そうした投資を通じて、新た
の 資金循環を進めます。",25,海洋資源の採取と利用,0.3223
"ことに加えて、そうした投資を通じて、新た
の 資金循環を進めます。",25,循環経済,0.3236
私は、2018年に新卒でゆうちょ銀行に for JAPANと協業契約を締結しました。,26,適切な賃金,0.3029
私は、2018年に新卒でゆうちょ銀行に for JAPANと協業契約を締結しました。,26,健康と安全,0.3487
私は、2018年に新卒でゆうちょ銀行に for JAPANと協業契約を締結しました。,26,平等と機会,0.3032
