sentence,page,topic,similarity
"信頼：信 頼とは、一人ひとりがお互いを認めあい、足らざるところを補いあい、誠 創る喜び：お 客様や販売店様に喜んでいただくために、その期待を上回る価値
意を尽くして自らの役割を果たすことから生まれます。",4,健康と安全,0.3574
運営方針 ■ 理論とアイディアと時間を尊重すること。,4,エネルギー,0.3386
運営方針 ■ 理論とアイディアと時間を尊重すること。,4,水の消費と取水,0.3388
運営方針 ■ 理論とアイディアと時間を尊重すること。,4,労働時間,0.451
運営方針 ■ 理論とアイディアと時間を尊重すること。,4,健康と安全,0.3429
運営方針 ■ 理論とアイディアと時間を尊重すること。,4,平等と機会,0.331
運営方針 ■ 理論とアイディアと時間を尊重すること。,4,プライバシー,0.3477
"「 もっと遠くへ、もっと速く、もっと自由に移動したい」 で初めてとなる運転席用SRSエアバッグシステムを開発し、その後
い想いから始まり、現在、総合モビリティカンパニーとして、幅広 という想いは人間の根源的な欲求であり、その願いを叶えるモビリ のエアバッグの一般的な普及に大きく寄与しました。",7,健康と安全,0.3671
子どもの頃に初めて自転車に乗れたときの風を切る感覚、家族 私たちの夢と創造力から生まれるモビリティ、その「時間や空間 強めていきます。,7,エネルギー,0.3094
子どもの頃に初めて自転車に乗れたときの風を切る感覚、家族 私たちの夢と創造力から生まれるモビリティ、その「時間や空間 強めていきます。,7,空気の汚染,0.3186
子どもの頃に初めて自転車に乗れたときの風を切る感覚、家族 私たちの夢と創造力から生まれるモビリティ、その「時間や空間 強めていきます。,7,生物および食料資源の汚染,0.319
子どもの頃に初めて自転車に乗れたときの風を切る感覚、家族 私たちの夢と創造力から生まれるモビリティ、その「時間や空間 強めていきます。,7,水の消費と取水,0.3298
子どもの頃に初めて自転車に乗れたときの風を切る感覚、家族 私たちの夢と創造力から生まれるモビリティ、その「時間や空間 強めていきます。,7,健康と安全,0.3762
子どもの頃に初めて自転車に乗れたときの風を切る感覚、家族 私たちの夢と創造力から生まれるモビリティ、その「時間や空間 強めていきます。,7,平等と機会,0.3048
子どもの頃に初めて自転車に乗れたときの風を切る感覚、家族 私たちの夢と創造力から生まれるモビリティ、その「時間や空間 強めていきます。,7,児童労働,0.3324
"術といった互いの強みを活かし、バッテリー主要部品の性能を大きく
また、前述の通り、総合モビリティカンパニーである私たちに 向上させ、より提供価値の高い高性能なEVをお届けしていきます。",8,エネルギー,0.3117
"らの取り組みにより、高い収益性を持つ事業基盤の確立とカーボ
誰かがやってくれるのを待つのではなく、Hondaがフロントラ ンニュートラル社会実現への貢献を目指します。",8,健康と安全,0.3018
"二輪 転免許制度を含む法規制や交通ルールの整備に貢献する取り組み
用車や、大型インフラの電源システムについては、水素を活用した 車を最も多く社会に提供する企業として、すべての交通参加者に対する安 も進めています。",9,水の消費と取水,0.3547
"二輪 転免許制度を含む法規制や交通ルールの整備に貢献する取り組み
用車や、大型インフラの電源システムについては、水素を活用した 車を最も多く社会に提供する企業として、すべての交通参加者に対する安 も進めています。",9,健康と安全,0.329
"燃料電池（FC:Fuel Cell）システムの普及により、カーボンニュート 全の取り組みを積極的に牽引し、2050年に全世界でHondaの二輪車・
ラル化の実現を目指しています。",9,生物および食料資源の汚染,0.3026
"燃料電池（FC:Fuel Cell）システムの普及により、カーボンニュート 全の取り組みを積極的に牽引し、2050年に全世界でHondaの二輪車・
ラル化の実現を目指しています。",9,健康と安全,0.3043
"さらには、電力の安定供給や再生可能エネルギーの活用拡大を後 ここで必要となるのが、交通参加者がお互いの意図や感情を察
押しするエネルギーマネジメントの仕組みづくり、着脱式可搬バッ し、その人の状況を配慮することを支援する技術です。",9,エネルギー,0.3532
"さらには、電力の安定供給や再生可能エネルギーの活用拡大を後 ここで必要となるのが、交通参加者がお互いの意図や感情を察
押しするエネルギーマネジメントの仕組みづくり、着脱式可搬バッ し、その人の状況を配慮することを支援する技術です。",9,水の消費と取水,0.3439
"再生可能電力 バイオマス
複合的な性能が必要です。",9,エネルギー,0.3015
