sentence,page,topic,similarity
"データセンター内の設置スペースの効率化のために、ストレージ あたりの記憶容量の
増加が求められています。",6,健康と安全,0.3422
"データセンター内の設置スペースの効率化のために、ストレージ あたりの記憶容量の
増加が求められています。",7,健康と安全,0.3422
"データセンター内の設置スペースの効率化のために、ストレージ あたりの記憶容量の
増加が求められています。",8,健康と安全,0.3422
"MSCI およ
び MSCI インデックスの名称とロゴは、MSCI またはその関連会社の商標またはサービスマークです。",16,生物および食料資源の汚染,0.3535
"MSCI およ
び MSCI インデックスの名称とロゴは、MSCI またはその関連会社の商標またはサービスマークです。",16,水の消費と取水,0.3284
"MSCI およ
び MSCI インデックスの名称とロゴは、MSCI またはその関連会社の商標またはサービスマークです。",16,健康と安全,0.4219
"MSCI およ
び MSCI インデックスの名称とロゴは、MSCI またはその関連会社の商標またはサービスマークです。",16,平等と機会,0.349
び MSCI インデックスの名称とロゴは、MSCI またはその関連会社の商標またはサービスマークです。,16,生物および食料資源の汚染,0.3503
び MSCI インデックスの名称とロゴは、MSCI またはその関連会社の商標またはサービスマークです。,16,水の消費と取水,0.3166
び MSCI インデックスの名称とロゴは、MSCI またはその関連会社の商標またはサービスマークです。,16,健康と安全,0.4157
び MSCI インデックスの名称とロゴは、MSCI またはその関連会社の商標またはサービスマークです。,16,平等と機会,0.3405
"Morningstar はインデックス、またはロゴに関して明示
ックスまたはインデックスに含まれるデータの正確性、完全性、または適時性を保証しません。",16,エネルギー,0.3123
"Morningstar はインデックス、またはロゴに関して明示
ックスまたはインデックスに含まれるデータの正確性、完全性、または適時性を保証しません。",16,生物および食料資源の汚染,0.3016
"Morningstar はインデックス、またはロゴに関して明示
ックスまたはインデックスに含まれるデータの正確性、完全性、または適時性を保証しません。",16,健康と安全,0.3727
"前述のいずれにも制限することなく、いかなる場合においても、Morningstar またはその第三者のコンテンツプロバイダー
証を明示的に否認します。",16,生物および食料資源の汚染,0.3316
