sentence,page,topic,similarity
"また、Colorado Mシリーズは、ホワイトインクを追加し、使用できる用紙の種類を広げること
で、グラフィックアーツのポスターを手がけるお客さまのニーズをとらえ、好調に推移しました。",21,気候変動への適応,0.328
"また、Colorado Mシリーズは、ホワイトインクを追加し、使用できる用紙の種類を広げること
で、グラフィックアーツのポスターを手がけるお客さまのニーズをとらえ、好調に推移しました。",21,マイクロプラスチック,0.3203
"また、Colorado Mシリーズは、ホワイトインクを追加し、使用できる用紙の種類を広げること
で、グラフィックアーツのポスターを手がけるお客さまのニーズをとらえ、好調に推移しました。",21,健康と安全,0.3315
"________
メディカル 売上の成長と経費率を抑える取り組みにより、利益率を大きく改善させていきます。",29,水の消費と取水,0.3276
"これらの取り組みの結果、男 ジ
環境づくりに努めています。",31,児童労働,0.3047
"また自社の活動が環境に及ぼす正負ならびに潜在・ 顕在のインパクトを考慮し、環境分野におけるマテリアリティに
ついて「気候変動」「資源循環」「化学物質」「生物多様性」の4つを特定しています。",37,気候変動,0.3948
"また自社の活動が環境に及ぼす正負ならびに潜在・ 顕在のインパクトを考慮し、環境分野におけるマテリアリティに
ついて「気候変動」「資源循環」「化学物質」「生物多様性」の4つを特定しています。",37,気候変動への適応,0.4446
"また自社の活動が環境に及ぼす正負ならびに潜在・ 顕在のインパクトを考慮し、環境分野におけるマテリアリティに
ついて「気候変動」「資源循環」「化学物質」「生物多様性」の4つを特定しています。",37,気候変動の緩和,0.3488
"また自社の活動が環境に及ぼす正負ならびに潜在・ 顕在のインパクトを考慮し、環境分野におけるマテリアリティに
ついて「気候変動」「資源循環」「化学物質」「生物多様性」の4つを特定しています。",37,空気の汚染,0.3126
"また自社の活動が環境に及ぼす正負ならびに潜在・ 顕在のインパクトを考慮し、環境分野におけるマテリアリティに
ついて「気候変動」「資源循環」「化学物質」「生物多様性」の4つを特定しています。",37,水の汚染,0.3579
