sentence,page,topic,similarity
"このように収益基盤が大幅に強 ク成長と成長投資の両輪で、中長期的な利益成長を目指し
ることができます。",5,健康と安全,0.3344
"我々はこのテーマに常に向き合い、新た ないビジネスモデルも含まれていますが、将来の成長が
なビジネスチャンスを掴むための努力を惜しみません。",5,健康と安全,0.3009
"ユニットごとに ROIC
より大きなものにも取り組めると思っています。",6,マイクロプラスチック,0.3347
適切な資本配分、バラン 国での収益基盤に秀でたポート います。,16,適切な賃金,0.3256
ROEは15.2%と高水準 非資源分野の収益基盤の強化に取り組んできた成果を確 キャッシュを更に次の成長や株主還元に充てています。,17,健康と安全,0.3347
ビジネスノウハウ P.30 事業投資のプロセス,28,プライバシー,0.3151
ビジネスノウハウ P.30 事業投資のプロセス,28,企業文化,0.3742
"より重要な案件については、取締役会に付議
社外 ※1 投融資委員会：委員長、副委員長に加え、経営企画部長、法務部長、経理部長、財務部長、リスクマネジメント部長などで構成。",31,非常に懸念の高い物質,0.3486
"AR社はミナスジェライス州で創業し、約40年にわた 行し、近隣州のサンパウロ州やエスピリトサント州などで
る農業資材販売と適切な資材使用のコンサルティングサービスを通じ、地域農業生産者と も業容拡張を継続しています。",34,生物および食料資源の汚染,0.3236
"AR社はミナスジェライス州で創業し、約40年にわた 行し、近隣州のサンパウロ州やエスピリトサント州などで
る農業資材販売と適切な資材使用のコンサルティングサービスを通じ、地域農業生産者と も業容拡張を継続しています。",34,海洋資源の採取と利用,0.324
"AR社はミナスジェライス州で創業し、約40年にわた 行し、近隣州のサンパウロ州やエスピリトサント州などで
る農業資材販売と適切な資材使用のコンサルティングサービスを通じ、地域農業生産者と も業容拡張を継続しています。",34,健康と安全,0.3556
"当社は現在格付機関3社から投
資適格を付与されています（S&P BBB-、Fitch BBB+、Moodyʼs Baa3）。",37,生物および食料資源の汚染,0.3042
"当社は現在格付機関3社から投
資適格を付与されています（S&P BBB-、Fitch BBB+、Moodyʼs Baa3）。",37,健康と安全,0.3205
"03 Nowlake社では自動車分野以外のファイナンス領域の拡大も長期的な戦略としており、
個人ローン、担保付きローンのみならず、最近ではクレジットカードの提供を開始しました。",39,健康と安全,0.3133
"我々が提供するWestlake Black Visaカードは顧客の資金ニーズを満たすと共に、信用履歴
の構築にも繋がります。",39,水の消費と取水,0.3072
"我々が提供するWestlake Black Visaカードは顧客の資金ニーズを満たすと共に、信用履歴
の構築にも繋がります。",39,健康と安全,0.3725
"今後は、欧州・米国における事業
2001 年：SmartestEnergy社設立。",40,エネルギー,0.387
"今後は、欧州・米国における事業
2001 年：SmartestEnergy社設立。",40,健康と安全,0.3242
"ンガポールでは、お子さんとお母さまの3世代で赴任してい 特集 1 ：継続的な成長投資
私は、丸紅の社員の皆さんとコミュニケーションをとる機会 た女性社員もいました。",44,児童労働,0.3097
"社員の方々の健康は会社全体を支える経営の
今後の課題 この状況を打破するために、本社主導で、グループ会社も対 土台と言えます。",45,健康と安全,0.3419
"女性の健康に関しては、 メッセージ
ティ」という、社長や経営層が人財戦略でも重要度の高いアジェ 事施策の効果を評価・分析するために重要なツールです。",45,健康と安全,0.3175
"今後 フェムテックの活用も進めており、今後更なる健康経営施策の 価値創造のモデル
ンダについて議論する場を設けています。",45,健康と安全,0.3082
"特集 1 ：継続的な成長投資
手人財を募集・採用しています。",47,海洋資源の採取と利用,0.3216
"SECTION 1: 丸紅の価値創造
人財が活き活きと活躍できるように、ミッションを核とする人事制度を導入したうえで、人財開発や健康経営などの取り組みにも注力しています。",48,健康と安全,0.3264
"自部署以外の社員との交流や、イノベーショ
個人・組織ともに高いパフォーマンスを発揮するために「ワークライフマネジメント」を推進する ン風土の醸成に向けた取り組みがグローバルに広がっています。",51,児童労働,0.3314
"特集 2 ： CHRO ・社外取締役対談
SNSを通じた当社と退職者もしくは退職者同士のネットワーク形成や、ネットワークを通じた退職 北口： 私は新規事業の難しさと面白さを感じています。",52,生物および食料資源の汚染,0.3031
"特集 2 ： CHRO ・社外取締役対談
SNSを通じた当社と退職者もしくは退職者同士のネットワーク形成や、ネットワークを通じた退職 北口： 私は新規事業の難しさと面白さを感じています。",52,水の消費と取水,0.3195
