sentence,page,topic,similarity
東京エレクトロンは昨年2023 メーカーとしての専門性を生かし、半導体の技術革新を推進す グローバルNo.1であることが挙げられます。,3,マイクロプラスチック,0.3396
"当社としてのCSVを productsをタイムリーかつ継続的に創出することは、当社の 社員のキャリアパスに向けた施策や教育プログラムの充実化
を目指し、中長期的な利益の拡大と継続的な企業価値の向上 “TSV” (TELʼs Shared Value) と定め、事業活動において社会 生命線です。",3,労働時間,0.368
"当社としてのCSVを productsをタイムリーかつ継続的に創出することは、当社の 社員のキャリアパスに向けた施策や教育プログラムの充実化
を目指し、中長期的な利益の拡大と継続的な企業価値の向上 “TSV” (TELʼs Shared Value) と定め、事業活動において社会 生命線です。",3,健康と安全,0.3648
"当社としてのCSVを productsをタイムリーかつ継続的に創出することは、当社の 社員のキャリアパスに向けた施策や教育プログラムの充実化
を目指し、中長期的な利益の拡大と継続的な企業価値の向上 “TSV” (TELʼs Shared Value) と定め、事業活動において社会 生命線です。",3,児童労働,0.3161
"「利益は製品 またビジネス規模の拡大とともに、生産効率を向上すること や研究者などの育成もミッションと捉え、積極的に取り組んで
います。",3,健康と安全,0.3801
"これまで76年かけて 同時に、企業の継続的な成長に向けて不可欠なSafety、 社会において地球環境保全の重要性がより一層高まる中、当
5,300億米ドル規模に成長した市場が、わずか6~7年で約2倍 Quality、Complianceなどにも注力していきます。",3,空気の汚染,0.3069
"これまで76年かけて 同時に、企業の継続的な成長に向けて不可欠なSafety、 社会において地球環境保全の重要性がより一層高まる中、当
5,300億米ドル規模に成長した市場が、わずか6~7年で約2倍 Quality、Complianceなどにも注力していきます。",3,生物および食料資源の汚染,0.3292
"これまで76年かけて 同時に、企業の継続的な成長に向けて不可欠なSafety、 社会において地球環境保全の重要性がより一層高まる中、当
5,300億米ドル規模に成長した市場が、わずか6~7年で約2倍 Quality、Complianceなどにも注力していきます。",3,健康と安全,0.4197
継続的な企業価値の向上を確実に実現していくことで、真のグ 装置のプロセス性能と環境性能の両立 創造し、社会に提供してまいります。,3,生物および食料資源の汚染,0.3169
継続的な企業価値の向上を確実に実現していくことで、真のグ 装置のプロセス性能と環境性能の両立 創造し、社会に提供してまいります。,3,健康と安全,0.3491
"当社が事業を展開する半導体製造装置市場もさらに拡大して 当社では中期経営計画の達成を目指すにあたり、事業にお 年としていた長期環境目標ネットゼロの達成時期を2040年へ 引き続き、皆さまのご支援を賜りたく、何卒よろしくお願い申
いくと考えられます。",3,マイクロプラスチック,0.3019
"技術サービスとともに提供し、 意思決定を早くし、良いと考えること 安全と健康および地球環境への
お客さまの真の満足を追求します。",4,健康と安全,0.4459
"利益について 品質とサービスについて 安全と健康と環境について
それを大切にします。",4,空気の汚染,0.3394
"利益について 品質とサービスについて 安全と健康と環境について
それを大切にします。",4,水の汚染,0.316
