sentence,page,topic,similarity
"04 Sustainability
そして、大切にしてほしい。",2,海洋資源の採取と利用,0.302
"04 Sustainability
そして、大切にしてほしい。",2,健康と安全,0.3754
"針をよく理解し、経営陣の 1. 我が社は、企業の成長発展、社員の幸福、及び社会的責任の達成を一元化する
視点で考え、行動するため 正しい企業経営の推進に努める。",3,健康と安全,0.3123
"私たちは、常に自分自身で考え行動しながら、社員全員でベクトルを合わせ、
原因自分論 Ownership（オーナーシップ） 共通の目標である「共生社会」の実現を目指します。",5,労働時間,0.3169
"私たちは、常に自分自身で考え行動しながら、社員全員でベクトルを合わせ、
原因自分論 Ownership（オーナーシップ） 共通の目標である「共生社会」の実現を目指します。",5,健康と安全,0.3043
"私たちは、常に自分自身で考え行動しながら、社員全員でベクトルを合わせ、
原因自分論 Ownership（オーナーシップ） 共通の目標である「共生社会」の実現を目指します。",5,児童労働,0.3156
"この動きは、アジア 教育や女性の社会進出を後押しする活動を通じて、生理
品・サービスのカテゴリー特性を踏まえて女性に着目し はもちろん中東やアフリカへと広がっており、世界の消 用品市場を急速に拡大していきます。",10,生物および食料資源の汚染,0.3875
"この動きは、アジア 教育や女性の社会進出を後押しする活動を通じて、生理
品・サービスのカテゴリー特性を踏まえて女性に着目し はもちろん中東やアフリカへと広がっており、世界の消 用品市場を急速に拡大していきます。",10,水の消費と取水,0.3182
"この動きは、アジア 教育や女性の社会進出を後押しする活動を通じて、生理
品・サービスのカテゴリー特性を踏まえて女性に着目し はもちろん中東やアフリカへと広がっており、世界の消 用品市場を急速に拡大していきます。",10,海洋資源の採取と利用,0.3213
"この動きは、アジア 教育や女性の社会進出を後押しする活動を通じて、生理
品・サービスのカテゴリー特性を踏まえて女性に着目し はもちろん中東やアフリカへと広がっており、世界の消 用品市場を急速に拡大していきます。",10,健康と安全,0.3627
"もちろん個人差はありますが、多くの場合、女性 費トレンドは女性が生み出していると言っても過言では 成熟しつつある日本や中国などでは独自性の高いショー
と男性とでは体格や体力に差があります。",10,水の消費と取水,0.3391
"このような計画策定時点では予測し得 事業ポートフォリオ、エリアポートフォリオへの変革
ない事象の影響もあり、資源価格の高騰や為替変 に向けて基盤づくりを推し進めました。",13,気候変動への適応,0.3215
"ここでは、当社の価値創造がどのように形
04 Sustainability づくられてきたのかを紐解きます。",16,健康と安全,0.3349
"ここでは、当社の価値創造がどのように形
04 Sustainability づくられてきたのかを紐解きます。",16,企業文化,0.3584
"実践に際しては、環境変化を適切に察知し、目標達成に向けてア は、社員が発揮する「個の力」と、個の力を活かす「組織の力」の掛け算で増減すると、当社では考えて
クションプランを機敏に修正する仕組みである「OODA-Loop」メソッドを導入し、これを実践するこ います。",18,気候変動への適応,0.3037
"併せて、デジタル技術による消費者データの収集・分 振の経営」の実践を通じて、目標達成に必要な実効性の高い計画を立案すると同時に、立てた計画
析を強化し、生活や消費の奥深くに隠れている人々のニーズの本質を追求しています。",19,水の消費と取水,0.377
