sentence,page,topic,similarity
"格的なポストコロナを迎え、人々の往来がこれまでの活気を取り戻し、各地での催し物の復 こういった激しい環境変化のなか、イン
活やインバウンド需要の高まりを見せるなど、消費が活発化いたしました。",5,生物および食料資源の汚染,0.3069
"格的なポストコロナを迎え、人々の往来がこれまでの活気を取り戻し、各地での催し物の復 こういった激しい環境変化のなか、イン
活やインバウンド需要の高まりを見せるなど、消費が活発化いたしました。",5,水の消費と取水,0.3315
"長年続いたデフレから一転し、インフレ 的に販売したGMSやSMなどの小売事業
へシフトしているなか、企業の変化対応力が問われる局面に入りました。",5,気候変動への適応,0.3173
詳細は P.34 の商品／役員メッセージをご覧ください。,5,生物および食料資源の汚染,0.3198
詳細は P.29 デジタル／役員メッセージをご覧ください。,6,水の汚染,0.3137
詳細は P.29 デジタル／役員メッセージをご覧ください。,6,生物および食料資源の汚染,0.3172
"同時に、効率化による人時削減 地域においてお客さま目線に
に留まらず、従業員のリスキリングの取り組みを強化することで、一人ひとりの業務の質を 立った経営を実践しています。",6,児童労働,0.3461
"駐車場に太陽光発電設備の積極的な導入による創エネルギー（創エネ）などによって、2025
イオン九州（株）とウエルシアホールディングス（株）が地域の健康ステーションを目指し、 年までに国内のイオンモール全店舗の使用電力を100%再エネに転換してまいります。",7,エネルギー,0.3997
"駐車場に太陽光発電設備の積極的な導入による創エネルギー（創エネ）などによって、2025
イオン九州（株）とウエルシアホールディングス（株）が地域の健康ステーションを目指し、 年までに国内のイオンモール全店舗の使用電力を100%再エネに転換してまいります。",7,生物および食料資源の汚染,0.302
"駐車場に太陽光発電設備の積極的な導入による創エネルギー（創エネ）などによって、2025
イオン九州（株）とウエルシアホールディングス（株）が地域の健康ステーションを目指し、 年までに国内のイオンモール全店舗の使用電力を100%再エネに転換してまいります。",7,水の消費と取水,0.3192
"駐車場に太陽光発電設備の積極的な導入による創エネルギー（創エネ）などによって、2025
イオン九州（株）とウエルシアホールディングス（株）が地域の健康ステーションを目指し、 年までに国内のイオンモール全店舗の使用電力を100%再エネに転換してまいります。",7,健康と安全,0.3668
"そこから、小売業が成り立つためには平和が大前提 ても戦争は止まず、大震災や異常気象などの自然災害が頻発
持・増進にしても、能動的で意識的な関与なしにはもたらされ であり、小売業は平和の維持に貢献していかねばならないと しています。",9,健康と安全,0.3185
"イオンが目指しているのは、こうした平和への積極的な関
「人とのつながり」のなかで、他者とともによりよく人間的に 与・人間の幸福と規範の下支え・地域の繁栄への貢献です。",10,健康と安全,0.3461
