sentence,page,topic,similarity
"これらの記述または前提（仮定）は主観的なものであり、将来において不正確であることが判明したり、将来実現しない可
なお、詳細な財務データ等は、「MUFG Report 能性があります。",3,健康と安全,0.3104
"なお、本レポートにおける将来情報に関する記述は上記のとおり本レポートの作成時点のものであり、当社は、それらの情報を最新のものに随
2024 資料編」を、サステナビリティへの取り組み 時更新するという義務も方針も有していません。",3,健康と安全,0.3032
"また、本レポートに記載されている当グループ以外の企業等に関わる情報は、公開情報等から引用したもので
の詳細情報は「MUFG サステナビリティレポート あり、かかる情報の正確性・適切性等について当社は何らの検証も行っておらず、また、これを保証するものではありません。",3,健康と安全,0.3146
"まずは、今日の環境認識や世
金融庁による行政処分を受けて た。",6,生物および食料資源の汚染,0.3201
"一日も早 同じで、仕事や会議のスタイル、夜の会食等、昔とあまり変わってい 期的に収束するものではなく、この状況を意識しながらビジネスを
く皆さまの信頼を取り戻すことに注力し、持続的に成長 ないものも多い。",6,労働時間,0.3012
"この決意は、2024年4月からス AIは人々の生活や私たちが触れる全てのサービスに入り込み、ビジ
したくて」。",6,水の汚染,0.3181
"この決意は、2024年4月からス AIは人々の生活や私たちが触れる全てのサービスに入り込み、ビジ
したくて」。",6,生物および食料資源の汚染,0.3065
"この決意は、2024年4月からス AIは人々の生活や私たちが触れる全てのサービスに入り込み、ビジ
したくて」。",6,水の消費と取水,0.3182
"この決意は、2024年4月からス AIは人々の生活や私たちが触れる全てのサービスに入り込み、ビジ
したくて」。",6,健康と安全,0.3372
"この決意は、2024年4月からス AIは人々の生活や私たちが触れる全てのサービスに入り込み、ビジ
したくて」。",6,プライバシー,0.3072
"これは30年にわたる長期停滞 今後、生成AIの技術が磨かれ、サプライヤーの競争激化によ 間が、実際に経験していなくても本や映像から学べるのと同
にあった日本経済にとって大きなチャンスでもあります。",7,生物および食料資源の汚染,0.3022
"私たち人間には、こ
レンド、5〜10年後の金融の姿など、さまざまな観点で議論を深 てきました。",7,生物および食料資源の汚染,0.3074
"私たち人間には、こ
レンド、5〜10年後の金融の姿など、さまざまな観点で議論を深 てきました。",7,健康と安全,0.3032
"My Wayを伝える時には「自分にとってのMUFG Way」*9
なものにします。",9,空気の汚染,0.3094
"My Wayを伝える時には「自分にとってのMUFG Way」*9
なものにします。",9,健康と安全,0.3188
"My Wayは自分の信念、MUFG
意識し、世の中の変化を捉えて「成長をつかむ」。",9,気候変動,0.3079
"My Wayは自分の信念、MUFG
意識し、世の中の変化を捉えて「成長をつかむ」。",9,気候変動への適応,0.3329
"My Wayは自分の信念、MUFG
意識し、世の中の変化を捉えて「成長をつかむ」。",9,水の汚染,0.3004
"My Wayは自分の信念、MUFG
意識し、世の中の変化を捉えて「成長をつかむ」。",9,水の消費と取水,0.3152
"My Wayは自分の信念、MUFG
意識し、世の中の変化を捉えて「成長をつかむ」。",9,健康と安全,0.413
"この二つの重なる部分が「自分にとってのMUFG Way」で
して「未来につなぐ」。",9,健康と安全,0.3302
