sentence,page,topic,similarity
近年では、リテール 投資、株主還元強化の最適なバランスを実現」する 融等、将来の成長機会探索のための投資も検討しま の高い意見交換を数多く実施しました。,10,平等と機会,0.3027
"経済の持続的成長、貯蓄から投資へのシフト、さらには企業の新たなる とともに、システムの安定稼働・高品質なITサービスの
組織に柔軟さやしなやかさが芽生え、お客さまのため みずほ信託銀行は、エッジの効いた信託機能とグループ各社の機能 価値創造に向けた変革と進化への内外市場の期待の高さを表しています。",11,健康と安全,0.305
"それらの強み
運営の強みを土台として、価値創造のための資本（インプット）を強化しながら、社会価値の創出と企業価値をさらに高め （資本）を目指す姿に向かって、さらに高めていくことで、価値創造の持続的な強化に取り組んでいきます。",13,健康と安全,0.3411
"サステナビリティを取り巻く環境認識 ギーやEV化が必要となりますが、そのために必要となる希少 ランジションの進展には様々な違いがあるので、それぞれの 木原 色々な当事者をつながないと、過去とは決別できませ
鉱物資源をめぐる地政学リスクの増大や生物多様性の毀損に 状況に応じた社会やお客さまのニーズに丁寧に向き合い、「つ ん。",22,気候変動への適応,0.3603
"サステナビリティを取り巻く環境認識 ギーやEV化が必要となりますが、そのために必要となる希少 ランジションの進展には様々な違いがあるので、それぞれの 木原 色々な当事者をつながないと、過去とは決別できませ
鉱物資源をめぐる地政学リスクの増大や生物多様性の毀損に 状況に応じた社会やお客さまのニーズに丁寧に向き合い、「つ ん。",22,生物および食料資源の汚染,0.3441
"サステナビリティを取り巻く環境認識 ギーやEV化が必要となりますが、そのために必要となる希少 ランジションの進展には様々な違いがあるので、それぞれの 木原 色々な当事者をつながないと、過去とは決別できませ
鉱物資源をめぐる地政学リスクの増大や生物多様性の毀損に 状況に応じた社会やお客さまのニーズに丁寧に向き合い、「つ ん。",22,生物多様性の損失,0.3428
サス 的資本、人権に加えて、少子高齢化・長寿化が進むなかでは だ規制に沿った開示を行うだけでなく、わかりやすく発信す が必要になってきます。,22,平等と機会,0.3496
"2つ目は、社会のサス 画から、企業価値と社会価値の両方を創出すると掲げていま ていくことは非常に大きな話であり、グランドデザインを描
テナビリティです。",22,非常に懸念の高い物質,0.3159
"2つ目は、社会のサス 画から、企業価値と社会価値の両方を創出すると掲げていま ていくことは非常に大きな話であり、グランドデザインを描
テナビリティです。",22,健康と安全,0.3262
"〈み という社員のアイデアや意見を募り実現していく、社員ワーキ
値のベクトルを合わせる考え方として有効です。",23,労働時間,0.3102
嬉しい誤算であったのは、1~2年目の若手社員から「〈み 木原 本日はありがとうございました。,23,適切な賃金,0.3333
"や継続的なトレー 〈 み ず ほ 〉 サ ス テ ナ ビ リ
社員にとって働きがいを感じられる会社であるためには、社員一人ひとりの貢献とその成果に公正に報いていくことが重要です。",25,適切な賃金,0.3046
"や継続的なトレー 〈 み ず ほ 〉 サ ス テ ナ ビ リ
社員にとって働きがいを感じられる会社であるためには、社員一人ひとりの貢献とその成果に公正に報いていくことが重要です。",25,労働時間,0.3111
"や継続的なトレー 〈 み ず ほ 〉 サ ス テ ナ ビ リ
社員にとって働きがいを感じられる会社であるためには、社員一人ひとりの貢献とその成果に公正に報いていくことが重要です。",25,健康と安全,0.3068
"社員一人ひとりの行動を企業理念 ク
フアサインメントを通じた継続的な成長を後押ししています。",25,児童労働,0.3153
"人と組織を育てる ス
け、経営課題について議論する機会を提供しました。",27,生物および食料資源の汚染,0.3388
"人と組織を育てる ス
け、経営課題について議論する機会を提供しました。",27,労働時間,0.3021
"人と組織を育てる ス
け、経営課題について議論する機会を提供しました。",27,健康と安全,0.3364
"人と組織を育てる ス
け、経営課題について議論する機会を提供しました。",27,平等と機会,0.3931
本人の意向に応じ長期の休業取得もできる環境の プレゼンティーズム※2 新規 ※2. 病気や怪我がない状態を100%とした場合、過去4週間の自分の状態が何%かを問う。,28,健康と安全,0.3082
22年度 23年度 25年度 今後の方針 促進し、管理職を含む周囲の社員へも働きかける等、環境の整備 KPI設定 性の向上を図るには、プレゼンティー 15%以下 継続的な取り組みが必要です。,28,気候変動への適応,0.3123
〈 みずほ〉では、障がいのある社員が能力や個性を発揮できる職場環 KPI設定 ることが必要であり、社員の心身の健 70%維持 業務に関係なく休暇を取得できる環境の整備が課題です。,28,労働条件,0.3583
