sentence,page,topic,similarity
"したがって、実際の業績や活動計画は、
54 役員一覧 • IR資料室 将来の経営環境によって影響を受ける可能性があります。",2,水の汚染,0.3112
"したがって、実際の業績や活動計画は、
54 役員一覧 • IR資料室 将来の経営環境によって影響を受ける可能性があります。",2,生物および食料資源の汚染,0.3637
"したがって、実際の業績や活動計画は、
54 役員一覧 • IR資料室 将来の経営環境によって影響を受ける可能性があります。",2,健康と安全,0.3447
"したがって、実際の業績や活動計画は、
54 役員一覧 • IR資料室 将来の経営環境によって影響を受ける可能性があります。",2,ロビー活動,0.342
"自然災害リスクに晒されてきましたし、世界的な気候変動や地政学リスクの高まりにより、人々の
このような非常に厳しい状況のなかでも、グループ一体となり前を向いて進んでいかなければ 日常の生活基盤はより一層、不安定化しています。",4,気候変動,0.3705
"自然災害リスクに晒されてきましたし、世界的な気候変動や地政学リスクの高まりにより、人々の
このような非常に厳しい状況のなかでも、グループ一体となり前を向いて進んでいかなければ 日常の生活基盤はより一層、不安定化しています。",4,気候変動への適応,0.4136
"自然災害リスクに晒されてきましたし、世界的な気候変動や地政学リスクの高まりにより、人々の
このような非常に厳しい状況のなかでも、グループ一体となり前を向いて進んでいかなければ 日常の生活基盤はより一層、不安定化しています。",4,気候変動の緩和,0.3293
"自然災害リスクに晒されてきましたし、世界的な気候変動や地政学リスクの高まりにより、人々の
このような非常に厳しい状況のなかでも、グループ一体となり前を向いて進んでいかなければ 日常の生活基盤はより一層、不安定化しています。",4,生物および食料資源の汚染,0.3843
"自然災害リスクに晒されてきましたし、世界的な気候変動や地政学リスクの高まりにより、人々の
このような非常に厳しい状況のなかでも、グループ一体となり前を向いて進んでいかなければ 日常の生活基盤はより一層、不安定化しています。",4,健康と安全,0.3295
"国内損害保険事業では「新しい損保ジャパン」を目指し、今までの慣習を見直し、社会の変化に そして、各国・地域で展開する損害保険事業の知見・ノウハウを集約するセンター・オブ・エクセレン
対応できる事業基盤と収益基盤の変革を目指す「SJ-R」に全社をあげて取り組みます。",5,健康と安全,0.3059
"えて商品・サービスをつなぎ、この3年間で「ＳＯＭＰＯウェルビーイング」の事業基盤を整備し「、つ
そしてその先には２つの事業が連携を深め「、ＳＯＭＰＯ Ｐ＆Ｃ」として規模の経済を追求するこ なぐ・つながる」ビジネスを実装していきます。",5,健康と安全,0.3612
"とで、市場環境や顧客・リスクの変化に対応できるグローバル損害保険会社としての確固たる地 「ＳＯＭＰＯウェルビーイング」では、高齢化社会における健康、介護、老後資金にまつわる「不」を
位を築くことを目指します。",5,健康と安全,0.3778
"今年度は再スタートの1年目にあたりますので、まず取締役会
問題に関していえば、根本にあるのはすべてコミュニケーションの問題、これが非常に大きいので 議長としてもこの点にフォーカスしていきたいと思います。",7,非常に懸念の高い物質,0.3263
"パーパスについては、グループとして「“安心・安全・健康”であふれる未
化に関しては、これまでも意見表明し、すでに一部着手している部分もありますが、しっかりと具体 来へ」と本年度から再言語化されました。",8,健康と安全,0.3374
"私にとって最も重要なことは、現場の社員にどのように理
目次・編集方針 化し実効性を高めていきたいと考えています。",8,健康と安全,0.3062
"私が議長に就任した2024年4月以 響などにより自然災害が増え続けており、どのようにして身の安全を確保していくかといった課題が
降、毎月状況が報告され取締役会としてモニタリングを行っています。",8,健康と安全,0.3699
"関連する課題がいろいろと ありますし、先進国では少子高齢化と生産年齢人口の減少により介護や健康にまつわる課題が出て
出てきますが、とにかく今認識している課題をすべて俎上に載せて、取締役会で議論して方向性を きています。",8,健康と安全,0.3892
"が多い分、チャンスはいくらでもありますし、当社グループは事業の多様性を見ればわかるように、
グループの戦略でいえば、当社グループは多様な事業を持つグループであり、HD取締役会で チャンスをつかむことができる要素をたくさん持っていると私は思っています。",8,エネルギー,0.3071
