sentence,page,topic,similarity
"ビジネスモデルと資本の活用
MS&ADインシュアランス グループのビジネスモデルは、社会課題を解決するソリューションを提供することです。",7,水の消費と取水,0.3713
"ビジネスモデルと資本の活用
MS&ADインシュアランス グループのビジネスモデルは、社会課題を解決するソリューションを提供することです。",7,海洋資源の使用,0.3189
"ビジネスモデルと資本の活用
MS&ADインシュアランス グループのビジネスモデルは、社会課題を解決するソリューションを提供することです。",7,海洋資源の採取と利用,0.3513
"ビジネスモデルと資本の活用
MS&ADインシュアランス グループのビジネスモデルは、社会課題を解決するソリューションを提供することです。",7,健康と安全,0.3481
補償は生活や事業活動の回復だけでなく、精神的な支えにもな 全 変動や予期せぬ大規模な災害等に対する耐 サプライ ています。,7,気候変動への適応,0.3491
補償は生活や事業活動の回復だけでなく、精神的な支えにもな 全 変動や予期せぬ大規模な災害等に対する耐 サプライ ています。,7,生物および食料資源の汚染,0.3208
補償は生活や事業活動の回復だけでなく、精神的な支えにもな 全 変動や予期せぬ大規模な災害等に対する耐 サプライ ています。,7,健康と安全,0.3961
提供し、代理店と当社グループの互いの成長を追求し 持続可能性を守り、活力ある社会の発展に貢献してい 続可能性向上に取り組んでいます。,8,健康と安全,0.3806
"カテゴリ1は購入した製品・サービス(対象:紙･郵送)、カテゴリ3はス 収入保険料を基に選定した国内主要取引先（約3,300社）に対して、当社の保険引受先及び投融資先に係るGHG排出量削減率の2030年度までの中間目標として、2019年度比▲37%を設定
コープ1、2以外の燃料及びエネルギー活動、カテゴリ5は事業から出る廃棄物、カテゴリ6は従業員の出張、カテゴリ7は従業員の通勤、カテゴリ13はリース資産。",9,水の消費と取水,0.3063
"政策株式の売却で得た資金は、新たな事業投資や 時に、保険に関連するあらゆる手続きをデジタル化することで、お客さまの満足度・利
次世代システム・DX関連投資、資産運用に振り向けます。",12,健康と安全,0.3141
"供価値の強化に資するサービスを世に送り出してき 我々は、ロイズ・再保険事業を通じてアンダーライティングの知見を深め、リスク管理
ました。",12,健康と安全,0.3106
"引先のGHG排出量を削減することこそが、保険・金融 更に、大規模な開発に伴う生物多様性の毀損リスクやサ
サービス事業者としての使命であるはずです。",18,水の汚染,0.3148
