sentence,page,topic,similarity
"Messages to Our Stakeholders 73 グループサステナビリティ推進体制 本誌は「保険業法（第271条の25および第272条の40）」ならびに「保険業法施行規則（第210条の10の2および
第211条の82）」に基づいて作成したディスクロージャー資料（業務および財産の状況に関する説明書類）です。",2,健康と安全,0.3462
FTSE Blossom Japan IndexはグローバルなインデックスプロバイダーであるFTSE Russellが作成し、環境、社会、ガバナンス（ESG）について優れた対応を行っている日本企業のパフォーマンスを測定するために設計されたものです。,2,健康と安全,0.3377
"FTSE
第三者保証 Blossom Japan Indexはサステナブル投資のファンドや他の金融商品の作成・評価に広く利用されます。",2,健康と安全,0.3384
"共に歩み、未来をひらく このような中、2024年度にグループ企業理念を再策定し、第一生命グループが目指す新たな未来への指針として、パーパス（グ
ループの社会における存在意義）とバリューズ（大切にする価値観）を策定しました。",4,健康と安全,0.3612
"新しいパーパスでは、これまで大切にしてきた「一生涯のパートナー」という考え方を未来に向け再定義し、目指す姿を明確に
a brighter and more secure future しました。",4,健康と安全,0.3895
"「満ちた世界へ」という言葉には、グローバルで価値を提供し、 これまで以上に私たち自身が挑戦していく意志を、この言葉に
世界に対しサステナビリティやESGも含めたインパクトを創造 込めました。",4,健康と安全,0.3277
"「健康・医療」「つながり・絆」の4つの柱を中心に、お客さま しかしながら、生命保険に限らない幅広いサービス・価値提 2030年度に目指す姿（「グローバルトップティアに伍する保 このような保障と資産形成・承継の両面からのご提案に際
に幅広い価値を提供していくことを目指します。",6,健康と安全,0.3267
"そのためには、IT・デジタル戦略の加速、
気、長寿社会における老後の資金不安などに対する保障を提 「保険サービス業」への転換によって、お客さまの豊かで幸せ 本効率の実現」であり、これは必ず達成したいと考えています。",6,健康と安全,0.349
"この イナーの日々の活動へのサポート強化を実装し、顧客体験（CX）
ことがご提供するサービスの対価を通じて財務価値の増加に と生涯設計デザイナーの生産性を大きく向上させていきます。",6,健康と安全,0.3249
第一生命の生 また、保険市場の大きな成長が見込まれる新興国を含め、 ジー創出です。,6,健康と安全,0.3002
"そのため、第一生命全 提供するためには、強力なプラットフォームの獲得や非保険
その一方で、資本効率は8%程度と、依然として資本コストを 体としての営業業績をコロナ禍前の水準に完全に回復させるた 事業への展開が必要と感じていました。",6,健康と安全,0.3218
"20代、30代の若い世代のお客さま 会員を有していますが、当社のサポートにより、当初3年間で
組みにより、2024年度からの新中計期間において、当該期間中 のニーズにお応えするため、私たちの資産形成サービスや商 約200万人の新規会員獲得を見込んでいます。",6,生物および食料資源の汚染,0.3172
"20代、30代の若い世代のお客さま 会員を有していますが、当社のサポートにより、当初3年間で
組みにより、2024年度からの新中計期間において、当該期間中 のニーズにお応えするため、私たちの資産形成サービスや商 約200万人の新規会員獲得を見込んでいます。",6,水の消費と取水,0.3462
"20代、30代の若い世代のお客さま 会員を有していますが、当社のサポートにより、当初3年間で
組みにより、2024年度からの新中計期間において、当該期間中 のニーズにお応えするため、私たちの資産形成サービスや商 約200万人の新規会員獲得を見込んでいます。",6,海洋資源の使用,0.324
"20代、30代の若い世代のお客さま 会員を有していますが、当社のサポートにより、当初3年間で
組みにより、2024年度からの新中計期間において、当該期間中 のニーズにお応えするため、私たちの資産形成サービスや商 約200万人の新規会員獲得を見込んでいます。",6,海洋資源の採取と利用,0.3049
"すなわち、4 なく、事業の親和性にも説得力がある内容だったので、取締
体験価値に基づいて、国内の保険事業をどのように梃入れし、 つの体験価値、特に「つながり・絆」と「健康・医療」を推 役会として承認しました。",11,健康と安全,0.3436
"ビス業への拡充の方法論とそのエコシステム構築に買収とい ように協業していくのかなど、議論を行いましたが、取締役
この器を最大限に活用したいというのが、新しいパーパス、 う手段が適切なのか、100％買収する必要性があるのか、 会でもこれらの点が重要であるとの指摘がなされました。",11,水の消費と取水,0.3031
"重
19 そして新中計ですね。",11,健康と安全,0.3227
"しかしながら、本案件の希少性が非常に なグループガバナンスと契約関係を持つべきかについても、 受領した情報をもとにさらに議論が深まり、リスク量と期待す
高いことから、乗り越えるべき課題は多いものの、執行が覚悟 しっかりと議論ができたと思います。",11,非常に懸念の高い物質,0.3131
このよう はそういった新たにできた土壌を十二分に活用されているな といったことです。,12,土壌汚染,0.3829
このよう はそういった新たにできた土壌を十二分に活用されているな といったことです。,12,海洋資源の使用,0.3685
このよう はそういった新たにできた土壌を十二分に活用されているな といったことです。,12,海洋資源の採取と利用,0.3049
このよう はそういった新たにできた土壌を十二分に活用されているな といったことです。,12,砂漠化,0.3024
"私が社外取締役に就任した5年前と比べると、取締役会の
た各主体の責任・権限関係が整理されていくことによって、 取締役会レベルでは、健全な緊張関係、すなわち「プロダ 雰囲気はガラッと変わりました。",12,空気の汚染,0.323
"私が社外取締役に就任した5年前と比べると、取締役会の
た各主体の責任・権限関係が整理されていくことによって、 取締役会レベルでは、健全な緊張関係、すなわち「プロダ 雰囲気はガラッと変わりました。",12,生物および食料資源の汚染,0.3077
