sentence,page,topic,similarity
「事故のない、 リオの構築、効果的な再保険手配といった手段を駆使しながら、 い。,3,健康と安全,0.3513
"言い換えれば、当社が仕事をすればするほど、お客様の、社 も、当社が今後更に活躍できる、お役に立つべきフィールドは、
あっても被害の少ない、そんな世界を、やはりどうしても、つくり 保険の更なる普及・浸透に最大限の努力を注いでおりますが、あ 会の災害レジリエンスが高まり、社会コストが低減し、安心と安 まさに大きく広がっていると言えます。",3,健康と安全,0.3194
「保険業界は如何に社会に貢 の「価値提供」を飛躍的に拡充することで、災害に対してレジリ 共通の課題であり、今後グローバルにヨコ展開ができる。,3,健康と安全,0.3376
"これを
献していくのか」、この命題について、世界中の保険会社のトッ エントな、安心・安全な世界づくりに貢献していきたい。",3,健康と安全,0.3794
"これが実現できれば、損害発生率の低下、保険金
このうち、保険で補償されているのは、全体の3割程度にとど 支払単価の低下という形で、当社の「経済的価値」も向上する。",3,健康と安全,0.3375
「事故のない、 リオの構築、効果的な再保険手配といった手段を駆使しながら、 い。,4,健康と安全,0.3513
"この「価値創造アプローチ」により、世の中の期待に応え続け 2022 2023 2022 2023 階にあるほか、災害による想定被害を視覚的に表現できる3D
険会社のCEO達、約50名。",4,絶滅リスク,0.3192
"と言える、「グローバルなリスク分散」と「グローバルなグループ一 Group Leadership Institute）を昨年4月に創設し、私がその 可能な衛星データの活用など、最新のデジタル技術を駆使した
は今回初めて参加いたしました。",4,海洋資源の採取と利用,0.3201
"と言える、「グローバルなリスク分散」と「グローバルなグループ一 Group Leadership Institute）を昨年4月に創設し、私がその 可能な衛星データの活用など、最新のデジタル技術を駆使した
は今回初めて参加いたしました。",4,平等と機会,0.3264
「保険業界は如何に社会に貢 の「価値提供」を飛躍的に拡充することで、災害に対してレジリ 共通の課題であり、今後グローバルにヨコ展開ができる。,4,健康と安全,0.3376
"ただ、それ以上に、「保険を通じたリスクヘッジ手法の高度化」、 害に伴う損害を軽減する「ソリューション」の開発、社会実装に していくこと」が要される訳ですが、当社はこれまで、15年以上も 部パートナーと協創することで、価値提供の領域を拡大し続けて もちろん、当社のコアである保険事業を、世の中の課題やリスク
「エンゲージメントによる脱炭素社会実現への貢献」など、世の 向けた準備を進めております。",4,健康と安全,0.327
で、保険業界として社会に貢献すべきことは何か、各社CEOと を提供するサービスなどを通じて、気象警報や地割れ地点の情 ポートフォリオを実現することができてきました。,4,健康と安全,0.3293
当社は、M&Aも ありますが、当社を取り巻く事業環境は、加速度的に変化してお まいります。,4,気候変動,0.3451
"これが実現できれば、損害発生率の低下、保険金 を持った人材、タレント達を、仲間として迎え入れることができたこ 化に対応ができなくなる、そういった強い危機感を抱いていま
このうち、保険で補償されているのは、全体の3割程度にとど 支払単価の低下という形で、当社の「経済的価値」も向上する。",4,絶滅リスク,0.3113
つまり、残りの約7割について、これが即ち「プロ 同時に、損害額の低減により、当社は適正なマージンを確保した 社会課題、或いはリスクが、世界中で拡大・複雑化するなか、当社は 世の中はまさに不透明で不確実。,4,健康と安全,0.3574
"「+8％」には、経営としてのその想い、決意を込 業界および当社の慣行等が、いつしか、今の時代、世の中にそぐ
災対策の実行、そして、事故が発生した後の早期復旧・再発防 めております。",5,健康と安全,0.3671
"当社
ありますが、当社を取り巻く事業環境は、加速度的に変化してお まいります。",5,気候変動,0.3558
"当社
ありますが、当社を取り巻く事業環境は、加速度的に変化してお まいります。",5,循環経済,0.3301
"新たな課題/リスク 新たな課題/リスク えてきましたし、その過程で、着実に実力を高めてきたと考えて
は溢れているし、複雑化もしています。",5,健康と安全,0.346
"こうした価値創造の連関が発揮できる世界の実現をめざし
は元より、自然災害等による被害の軽減・回避、或いは、被災後の早 そして、社会的価値を生み出すことに伴い、例えば発生保険金の削 ます。",10,健康と安全,0.3335
"そして、その結果として当社の「経済的価値」、ひいては な自然災害が発生した際には、「事前対策による企業の操業停止期 また、例えば米国でも、PHLYが、気温湿度センサーの配布・活用を せんが、この定量化の挑戦を通じて、社会やお客様に提供している
「企業価値」向上にもつながるのではないか。",12,気候変動への適応,0.3034
"そして、その結果として当社の「経済的価値」、ひいては な自然災害が発生した際には、「事前対策による企業の操業停止期 また、例えば米国でも、PHLYが、気温湿度センサーの配布・活用を せんが、この定量化の挑戦を通じて、社会やお客様に提供している
「企業価値」向上にもつながるのではないか。",12,健康と安全,0.3187
"この脅威に対して、2015年に採択されたパリ協 り、日本でも、再生可能エネルギーの構成比率が、2011年度の
定では、世界共通の長期目標として「世界の平均気温の上昇 10.4%から、2022年度は21.7%と2倍以上に拡大。",13,気候変動への適応,0.3083
"この脅威に対して、2015年に採択されたパリ協 り、日本でも、再生可能エネルギーの構成比率が、2011年度の
定では、世界共通の長期目標として「世界の平均気温の上昇 10.4%から、2022年度は21.7%と2倍以上に拡大。",13,エネルギー,0.3201
"この脅威に対して、2015年に採択されたパリ協 り、日本でも、再生可能エネルギーの構成比率が、2011年度の
定では、世界共通の長期目標として「世界の平均気温の上昇 10.4%から、2022年度は21.7%と2倍以上に拡大。",13,健康と安全,0.3001
"一方で、気候変動というグ
ウハウも活用し、高度な保険商品やリスクコンサルティング、損害 に向けた提案・支援を行っています。",14,気候変動への適応,0.3365
"一方で、気候変動というグ
ウハウも活用し、高度な保険商品やリスクコンサルティング、損害 に向けた提案・支援を行っています。",14,健康と安全,0.3216
"現在は再生可能エネルギー 脱炭素経営支援サービス等の提供を通じて、脱炭素社会の実現に 共に、1999年から実施しているマングローブ植林を通じて、GHG 当社は創設からTCFDに関わるなど、気候関連の様々な国際イニシ
業界の世界トップ10社のうち8社を顧客とし、世界38か国、2,000 貢献していきます。",14,気候変動への適応,0.3418
"現在は再生可能エネルギー 脱炭素経営支援サービス等の提供を通じて、脱炭素社会の実現に 共に、1999年から実施しているマングローブ植林を通じて、GHG 当社は創設からTCFDに関わるなど、気候関連の様々な国際イニシ
業界の世界トップ10社のうち8社を顧客とし、世界38か国、2,000 貢献していきます。",14,循環経済,0.3097
"や、蓄えた金融資産が寿命より先に尽きるリスクも高まっていま また、少子化も相俟って、労働力不足も深刻化している日本にお
す。",15,絶滅リスク,0.3804
"がんや心臓病、脳卒中などの生活習慣病を患う方も増えて いては、社員が心身共に健康で働けるように企業がサポートす
おり、国民医療費の負担も増大。",15,健康と安全,0.395
"ニーズを的確に捉えた独自性の高い商品・サービスの開発・提供 「保険」の提供のみならず、「ソリューション」の提供もめざし、
を通じて、健康で長生きできる人生を後押しします。",15,健康と安全,0.479
"また、自社における「健康経営」のノウハウを活かした こうした取組みを通じて少子高齢化社会の先頭を走る日本の課
「健康経営の支援」にも取り組んでいます。",15,健康と安全,0.3281
"を通じて当社はリスク量を適切にコントロールし、ボラティリティを
ルを持つ会社を買収する、そのautonomyを大事にし、彼ら本来の強 界中で、利益成長をさらに加速させることができると確信しています。",16,健康と安全,0.3618
"を通じて当社はリスク量を適切にコントロールし、ボラティリティを
ルを持つ会社を買収する、そのautonomyを大事にし、彼ら本来の強 界中で、利益成長をさらに加速させることができると確信しています。",16,平等と機会,0.3006
"結果的に、TMK、Highland、および買収会社にとって、
9% フォリオの入れ替えも機動的に実行してきました。",16,気候変動への適応,0.3103
"結果的に、TMK、Highland、および買収会社にとって、
9% フォリオの入れ替えも機動的に実行してきました。",16,生物および食料資源の汚染,0.3021
"30%
35% 分散後リスク量 8% 分散後リスク量 2022年のHighland Insurance Solutionsの売却です。",16,絶滅リスク,0.3694
"例えば、TMHCCの元CEOであるChrisは、Co-Head of International Businessとして
TMSR PHLY グループCDIO International事業をリードしてきました。",17,空気の汚染,0.3108
"例えば、TMHCCの元CEOであるChrisは、Co-Head of International Businessとして
TMSR PHLY グループCDIO International事業をリードしてきました。",17,水の汚染,0.327
