sentence,page,topic,similarity
"GROUP MISSION 〜私たちが果たしたい使命〜
今日という営みのなかで、ふと心が動く瞬間だったり。",4,労働時間,0.3396
"GROUP MISSION 〜私たちが果たしたい使命〜
今日という営みのなかで、ふと心が動く瞬間だったり。",4,ロビー活動,0.3299
"価値創造を続けていく企業としての方針を定めたものが、この て「成長・効率・還元」を三位一体で捉えた経営の推進に取り組
「& INNOVATION 2030」です。",17,健康と安全,0.3329
"ライフサイエンスコ 解決に貢献し、新たな需要の取り込みと新たなマーケットの創
を目指してまいります。",18,水の消費と取水,0.3114
"ライフサイエンスコ 解決に貢献し、新たな需要の取り込みと新たなマーケットの創
を目指してまいります。",18,健康と安全,0.3278
当社グループ まず、BSの資産コントロールは、総資産の規模とともに資産 拡大とマネジメント収益の拡大につなげてまいります。,18,健康と安全,0.3265
その会員数は、活動開始1年間で252まで拡大してお 入替を推進し、将来の成長投資などに振り向ける原資としてい の健全性の維持が大変重要です。,18,健康と安全,0.316
"宇宙開発は裾野が広く、モビリティ・グリーンテッ また、ROE改善のもう一つの施策として、当社普遍のビジネス ランスを企図して、D/Eレシオを通じた適正な財務レバレッジの
し、「場」と「コミュニティ」の展開メニューを拡充してまいります。",18,循環経済,0.3045
"当社グループは、さ 業の成長を促し、都市の競争力の向上や経済の発展へとつな
ベーションを起こしていくためには、不動産業だけでなく、あら まざまなバックグラウンドや価値観を有する多様な人材が、持て がっていく。",19,健康と安全,0.3113
"マテリアリティごとの指標・目標
重要な課題項目抽出 ・ 社会視点・当社視点双方を考慮し、当社グループが特に取り組むべき「重要な18項目」を抽出。",21,非常に懸念の高い物質,0.3371
"・「 安定的な配当」とともに、「自己株式の機動的･継続的な取得」を通じて、「1株当たり価値の向上」
・ 気候変動への取り組みをはじめ、環境との共生に努め、地球規模での持続可能な社会の構築に貢献。",22,気候変動への適応,0.356
"［スポーツ・エンターテインメントを通じた「感動体験」の創出］
■ イベント・コンテンツ提供による「感動体験」の創出。",25,エネルギー,0.3066
"［スポーツ・エンターテインメントを通じた「感動体験」の創出］
■ イベント・コンテンツ提供による「感動体験」の創出。",25,生物および食料資源の汚染,0.3206
