sentence,page,topic,similarity
"構造の変化、そして人手不足の時代の到来は、経営環
お客さま・地域の皆さまからの信頼を基盤に、 そして「ネットワーク」は、人の移動だけではなく、物 境の変化として織り込んでいました。",8,気候変動,0.3001
"構造の変化、そして人手不足の時代の到来は、経営環
お客さま・地域の皆さまからの信頼を基盤に、 そして「ネットワーク」は、人の移動だけではなく、物 境の変化として織り込んでいました。",8,気候変動への適応,0.3146
"構造の変化、そして人手不足の時代の到来は、経営環
お客さま・地域の皆さまからの信頼を基盤に、 そして「ネットワーク」は、人の移動だけではなく、物 境の変化として織り込んでいました。",8,生物および食料資源の汚染,0.3091
"構造の変化、そして人手不足の時代の到来は、経営環
お客さま・地域の皆さまからの信頼を基盤に、 そして「ネットワーク」は、人の移動だけではなく、物 境の変化として織り込んでいました。",8,水の消費と取水,0.3152
"構造の変化、そして人手不足の時代の到来は、経営環
お客さま・地域の皆さまからの信頼を基盤に、 そして「ネットワーク」は、人の移動だけではなく、物 境の変化として織り込んでいました。",8,健康と安全,0.3247
"国人旅行者向け鉄道パスの価格改定など、お客さまの BANK」が営業を開始し、えきねっとやモバイル Suica を日本や世界各地に発信し、それがまたフィードバック
私たちは、鉄道事業者として「安全」を経営のトッププ 流動促進と収益の拡大に取り組みました。",8,健康と安全,0.3495
「究極の安全」を追求して JR東日本スマートロジスティクスの設立、不動産事業 する計画です。,8,健康と安全,0.3544
「内なるグローバル化」によ 「変革2027」を策定した2018年当時から、既に人 そして、私たちが取り組む新たなサービスや価値創 できると確信しています。,8,生物および食料資源の汚染,0.3185
「内なるグローバル化」によ 「変革2027」を策定した2018年当時から、既に人 そして、私たちが取り組む新たなサービスや価値創 できると確信しています。,8,健康と安全,0.3578
"これ と一緒に「持続可能な交通体系のあり方」を検討してい 創 造
などの技術革新、そして地球規模の気候変動など、社 的に導入するだけでなく、これまでの技術的蓄積から に基づいて、グループ社員が「融合と連携」により価値 く考えです。",9,気候変動への適応,0.3133
私たち 化をめざすとともに、事業活動を通じた社会的な課題 な事業で地域と向き合うことも重要です。,9,水の汚染,0.3036
私たち 化をめざすとともに、事業活動を通じた社会的な課題 な事業で地域と向き合うことも重要です。,9,健康と安全,0.3097
私たち 化をめざすとともに、事業活動を通じた社会的な課題 な事業で地域と向き合うことも重要です。,9,ロビー活動,0.3035
"ていただくために観光素材を磨き上げ、そのエリアの 略
ということであれば、新たにシニアマーケットを創造で ているのは、安全で安定した輸送システムです。",9,健康と安全,0.3733
私たちのめざしているモビリティと生活 ステムに置き換えていくことによって、生産性の高い事 ナンス業務の効率化などを推進するほか、インバウン あらゆる産業振興にも取り組んでいます。,9,生物および食料資源の汚染,0.3013
私たちのめざしているモビリティと生活 ステムに置き換えていくことによって、生産性の高い事 ナンス業務の効率化などを推進するほか、インバウン あらゆる産業振興にも取り組んでいます。,9,健康と安全,0.383
新型コロナウイルス感染症に 見据え、顧客データなどの情報を踏まえたマーケット 率や利回りの向上に取り組みます。,9,健康と安全,0.3213
これらの交通ネットワークを最適に組 出や消費エネルギーが最も少ないという鉄道の環境 取組みも進めていきたいと考えています。,10,エネルギー,0.3302
これらの交通ネットワークを最適に組 出や消費エネルギーが最も少ないという鉄道の環境 取組みも進めていきたいと考えています。,10,空気の汚染,0.3038
これらの交通ネットワークを最適に組 出や消費エネルギーが最も少ないという鉄道の環境 取組みも進めていきたいと考えています。,10,生物および食料資源の汚染,0.3108
これらの交通ネットワークを最適に組 出や消費エネルギーが最も少ないという鉄道の環境 取組みも進めていきたいと考えています。,10,水の消費と取水,0.3395
これらの交通ネットワークを最適に組 出や消費エネルギーが最も少ないという鉄道の環境 取組みも進めていきたいと考えています。,10,健康と安全,0.3656
"ま 私の発するメッセージは、常にグループ全員に向けて 私たちは、株主や投資家の皆さまに当社グループの
用を通じて、移動のみならずお客さまのあらゆる生活 た、人権を尊重した事業活動も強化し、人権基本方針、 います。",10,健康と安全,0.3073
"制度の新設や研修講座の設置、健康経営の 事業をより一層ご理解いただくための建設的な対話の
シーンにおいて体験価値を高めていきます。",10,健康と安全,0.3021
ESG経営は、私たちの経営の中核的な視座で 織の構築など、経営戦略とそれに適合する人材戦略が 努め、事業の持続的な成長と中長期的な企業価値の の利益を振り向けていきます。,10,エネルギー,0.3093
ESG経営は、私たちの経営の中核的な視座で 織の構築など、経営戦略とそれに適合する人材戦略が 努め、事業の持続的な成長と中長期的な企業価値の の利益を振り向けていきます。,10,海洋資源の採取と利用,0.3229
ESG経営は、私たちの経営の中核的な視座で 織の構築など、経営戦略とそれに適合する人材戦略が 努め、事業の持続的な成長と中長期的な企業価値の の利益を振り向けていきます。,10,健康と安全,0.3691
"を図るとともに、グループの発展につながる「攻め」と 員と一緒につくっていきたいという強い想いを持って
具体的には、人類全体の地球的な課題である脱炭 「守り」のリスクマネジメントを遂行していく考えです。",10,健康と安全,0.3038
鉄道は、環境優位性の高い交通手段である一 の向上や経営体質の強化を実現するため、仕事と組 活をご提供していきたいと思います。,10,労働条件,0.32
鉄道は、環境優位性の高い交通手段である一 の向上や経営体質の強化を実現するため、仕事と組 活をご提供していきたいと思います。,10,健康と安全,0.3687
環境にやさしい移動へのニーズの高まりもあ を広げることによって、社員の成長、働きがいをグルー ループにご期待ください。,10,健康と安全,0.3341
環境にやさしい移動へのニーズの高まりもあ を広げることによって、社員の成長、働きがいをグルー ループにご期待ください。,10,児童労働,0.3026
"• お客さまと暮らしを支えるサービス、デジタル、安全安心をつな ル ー
研修時間 「ON1000」応募 プログラム応募総数 • アジアを中心に新たなビジネスモデルを構築します。",11,労働時間,0.3008
"また、資源循環社会 すべての事業で新技術・DXへ積極的に取り組み、
及び生物多様性の実現をめざした取組みをリードします。",13,生物および食料資源の汚染,0.3686
"また、資源循環社会 すべての事業で新技術・DXへ積極的に取り組み、
及び生物多様性の実現をめざした取組みをリードします。",13,海洋資源の採取と利用,0.303
"また、資源循環社会 すべての事業で新技術・DXへ積極的に取り組み、
及び生物多様性の実現をめざした取組みをリードします。",13,生物多様性の損失,0.3502
"• あらゆる事業においてサービス・付加価値を向上するとともに、
しました。",13,健康と安全,0.3232
"今後は“ヒトが生活するうえでの「豊かさ」”を起点とし、リアルなネットワークと外部の技術・知見を組み合わせた に加速し、鉄道を中心とする「モビリティ」に関する事業とお 領域を拡大し、収益力を向上 ョ ン
新たなサービスを創造し、社会に提供していきます。",14,エネルギー,0.384
"今後は“ヒトが生活するうえでの「豊かさ」”を起点とし、リアルなネットワークと外部の技術・知見を組み合わせた に加速し、鉄道を中心とする「モビリティ」に関する事業とお 領域を拡大し、収益力を向上 ョ ン
新たなサービスを創造し、社会に提供していきます。",14,水の消費と取水,0.3065
"今後は“ヒトが生活するうえでの「豊かさ」”を起点とし、リアルなネットワークと外部の技術・知見を組み合わせた に加速し、鉄道を中心とする「モビリティ」に関する事業とお 領域を拡大し、収益力を向上 ョ ン
新たなサービスを創造し、社会に提供していきます。",14,健康と安全,0.3909
当社グルー の源泉であり、安全安心な日常生活、地域の豊かさ、脱炭素 シュ・フローがプラスに転じる見通しです。,15,健康と安全,0.3274
"ス
「「融融合合とと連連携携」」 経済価値 推進します。",15,循環経済,0.3017
"全社員参加型経営の実現により、ROA目標の達成を
し、収益性と資産効率の向上の取組みによるキャッシュの継 めざします。",16,水の消費と取水,0.3017
"全社員参加型経営の実現により、ROA目標の達成を
し、収益性と資産効率の向上の取組みによるキャッシュの継 めざします。",16,海洋資源の採取と利用,0.331
"また、環境省主催の「ESGファイナンス・アワード・ジャパン（資金調達者部門）」にお 1,200 910 1,010 960 4.0 600 537 540 560 5.6%6.0
いて、2024年2月に「環境大臣賞 銀賞」を受賞しました。",17,水の汚染,0.3287
"また、環境省主催の「ESGファイナンス・アワード・ジャパン（資金調達者部門）」にお 1,200 910 1,010 960 4.0 600 537 540 560 5.6%6.0
いて、2024年2月に「環境大臣賞 銀賞」を受賞しました。",17,生物および食料資源の汚染,0.3343
"また、環境省主催の「ESGファイナンス・アワード・ジャパン（資金調達者部門）」にお 1,200 910 1,010 960 4.0 600 537 540 560 5.6%6.0
いて、2024年2月に「環境大臣賞 銀賞」を受賞しました。",17,海洋資源の使用,0.3663
"また、環境省主催の「ESGファイナンス・アワード・ジャパン（資金調達者部門）」にお 1,200 910 1,010 960 4.0 600 537 540 560 5.6%6.0
いて、2024年2月に「環境大臣賞 銀賞」を受賞しました。",17,海洋資源の採取と利用,0.3348
"また、環境省主催の「ESGファイナンス・アワード・ジャパン（資金調達者部門）」にお 1,200 910 1,010 960 4.0 600 537 540 560 5.6%6.0
いて、2024年2月に「環境大臣賞 銀賞」を受賞しました。",17,循環経済,0.3087
"また、環境省主催の「ESGファイナンス・アワード・ジャパン（資金調達者部門）」にお 1,200 910 1,010 960 4.0 600 537 540 560 5.6%6.0
いて、2024年2月に「環境大臣賞 銀賞」を受賞しました。",17,動物福祉,0.3161
"また、 日常生活における快適性や利便性をさらに高める「くらし
「お客さま・地域の皆さまからの信頼」に応えます。",18,健康と安全,0.3176
"この信頼がグループの 成長戦略 成長戦略 ト ロ
さまざまな事業の基盤となっています。",19,健康と安全,0.3128
"お客さまにとってより便利で安心でき、働く人にとっ ッ
や構造改革を通じた仕事のしくみを変革することで、スピー サステナブルな鉄道事業運営をめざします。",19,健康と安全,0.3841
