sentence,page,topic,similarity
"6 ビジネスモデルと3つのインプット
また、「年度末」は当該年度の末日を意味します。",3,水の消費と取水,0.3281
"6 ビジネスモデルと3つのインプット
また、「年度末」は当該年度の末日を意味します。",3,労働時間,0.3024
"その後、Arm Holdings Limitedは社名をArm Holdings plcに変更し、2023年9月14日
に新規株式公開でNasdaq Global Select Marketへ上場しました。",3,海洋資源の採取と利用,0.3222
"その後、Arm Holdings Limitedは社名をArm Holdings plcに変更し、2023年9月14日
に新規株式公開でNasdaq Global Select Marketへ上場しました。",3,健康と安全,0.358
"2 財務的資本 3 人的資本
投資活動に投じる財務的資本。",9,海洋資源の使用,0.3231
"2 財務的資本 3 人的資本
投資活動に投じる財務的資本。",9,海洋資源の採取と利用,0.3057
"私は「進化と増殖」に 始した後、その勢いのまま2006年にボーダ
尽きると考えています。",14,生物および食料資源の汚染,0.3028
"私は「進化と増殖」に 始した後、その勢いのまま2006年にボーダ
尽きると考えています。",14,健康と安全,0.367
"しかし、このエンジニア増員による研究開発
3. MOIC（Multiple of Invested Capital：投下資本倍率）は株式価値に係る投資およびリターンをもとに算出しています（税金考慮前）。",15,健康と安全,0.3256
4. Equity IRRは初回投資実施から2024年6月20日までの株式価値に係るIRRです（税金考慮前）。,15,非常に懸念の高い物質,0.3133
"例えば、2024年には英国のWayve は先日時価総額世界一*4となったNVIDIAの
私が今とても興奮しているのは、ついに当社 レベルに過ぎません。",16,空気の汚染,0.3574
"例えば、2024年には英国のWayve は先日時価総額世界一*4となったNVIDIAの
私が今とても興奮しているのは、ついに当社 レベルに過ぎません。",16,水の汚染,0.3635
"例えば、2024年には英国のWayve は先日時価総額世界一*4となったNVIDIAの
私が今とても興奮しているのは、ついに当社 レベルに過ぎません。",16,非常に懸念の高い物質,0.3007
この数年、 *5 LTVの詳細は21ページをご覧ください。,17,水の汚染,0.3236
この数年、 *5 LTVの詳細は21ページをご覧ください。,17,健康と安全,0.3084
"テクノロジーの
しているように、ASI実現のためのAIチップ ルールや仕組みが劇的に変わります。",17,健康と安全,0.3058
"ASI実現 と根源に関わるような疑問が沸々と湧いてき て、われわれの使命である人類の進化に貢献
のためにはAIデータセンターやAIロボットも ませんか。",17,健康と安全,0.3118
"母親は脳梗塞を
いずれもグループの総力を挙げて推進し 患いました。",17,エネルギー,0.3136
"2024年3月末のNAVは27.8兆円と、1年前 創業から1994年の上場（店頭公開）当時のメ
から約2倍に成長しました。",18,海洋資源の使用,0.3081
"2024年3月末のNAVは27.8兆円と、1年前 創業から1994年の上場（店頭公開）当時のメ
から約2倍に成長しました。",18,海洋資源の採取と利用,0.3114
"また、世の中の企業群は今後、それぞれ
2023年度を振り返ると、最大のイベント ない存在になっているのではないでしょうか。",19,マイクロプラスチック,0.3057
われわれは、 クロした財務運営であり、それがわれわれの 変数もあります。,21,循環経済,0.3522
"LTV25%未満は非常に安全性の 90%
高い基準であり、負債を返済する保有株式価値が十二分にある状態を示しています。",23,水の汚染,0.3076
"LTV25%未満は非常に安全性の 90%
高い基準であり、負債を返済する保有株式価値が十二分にある状態を示しています。",23,非常に懸念の高い物質,0.3302
"LTV25%未満は非常に安全性の 90%
高い基準であり、負債を返済する保有株式価値が十二分にある状態を示しています。",23,水の消費と取水,0.3042
"LTV25%未満は非常に安全性の 90%
高い基準であり、負債を返済する保有株式価値が十二分にある状態を示しています。",23,適切な賃金,0.3224
"LTV25%未満は非常に安全性の 90%
高い基準であり、負債を返済する保有株式価値が十二分にある状態を示しています。",23,健康と安全,0.381
"そして今日、エネルギー効 プション型のライセンス契約である「アーム・
在り方を左右する存在となりつつあります。",25,エネルギー,0.3245
定義し、自動車産業の変革やIoT社会の繁栄 率は、企業や消費者が電気代を削減すること トータル・アクセス」を導入しました。,25,水の消費と取水,0.3112
定義し、自動車産業の変革やIoT社会の繁栄 率は、企業や消費者が電気代を削減すること トータル・アクセス」を導入しました。,25,健康と安全,0.3051
